source	target	count
B cell	CD4-positive, alpha-beta T cell	73
B cell	CD8-positive, alpha-beta T cell	78
B cell	enterocyte of epithelium of large intestine	130
B cell	fibroblast	105
B cell	gut endothelial cell	57
B cell	intestinal crypt stem cell of large intestine	77
B cell	intestinal enteroendocrine cell	55
B cell	intestinal tuft cell	42
B cell	large intestine goblet cell	104
B cell	mast cell	23
B cell	monocyte	89
B cell	neutrophil	27
B cell	paneth cell of colon	66
B cell	plasma cell	9
B cell	transit amplifying cell of colon	65
CD4-positive, alpha-beta T cell	B cell	70
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	122
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	220
CD4-positive, alpha-beta T cell	fibroblast	177
CD4-positive, alpha-beta T cell	gut endothelial cell	101
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	140
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	86
CD4-positive, alpha-beta T cell	intestinal tuft cell	73
CD4-positive, alpha-beta T cell	large intestine goblet cell	184
CD4-positive, alpha-beta T cell	mast cell	26
CD4-positive, alpha-beta T cell	monocyte	150
CD4-positive, alpha-beta T cell	neutrophil	43
CD4-positive, alpha-beta T cell	paneth cell of colon	122
CD4-positive, alpha-beta T cell	plasma cell	13
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	109
CD8-positive, alpha-beta T cell	B cell	68
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	116
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	225
CD8-positive, alpha-beta T cell	fibroblast	177
CD8-positive, alpha-beta T cell	gut endothelial cell	102
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	140
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	85
CD8-positive, alpha-beta T cell	intestinal tuft cell	69
CD8-positive, alpha-beta T cell	large intestine goblet cell	190
CD8-positive, alpha-beta T cell	mast cell	25
CD8-positive, alpha-beta T cell	monocyte	150
CD8-positive, alpha-beta T cell	neutrophil	40
CD8-positive, alpha-beta T cell	paneth cell of colon	126
CD8-positive, alpha-beta T cell	plasma cell	14
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	110
enterocyte of epithelium of large intestine	B cell	106
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	234
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	217
enterocyte of epithelium of large intestine	fibroblast	461
enterocyte of epithelium of large intestine	gut endothelial cell	227
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	302
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	196
enterocyte of epithelium of large intestine	intestinal tuft cell	150
enterocyte of epithelium of large intestine	large intestine goblet cell	459
enterocyte of epithelium of large intestine	mast cell	41
enterocyte of epithelium of large intestine	monocyte	356
enterocyte of epithelium of large intestine	neutrophil	66
enterocyte of epithelium of large intestine	paneth cell of colon	288
enterocyte of epithelium of large intestine	plasma cell	28
enterocyte of epithelium of large intestine	transit amplifying cell of colon	232
fibroblast	B cell	101
fibroblast	CD4-positive, alpha-beta T cell	201
fibroblast	CD8-positive, alpha-beta T cell	188
fibroblast	enterocyte of epithelium of large intestine	444
fibroblast	gut endothelial cell	192
fibroblast	intestinal crypt stem cell of large intestine	267
fibroblast	intestinal enteroendocrine cell	175
fibroblast	intestinal tuft cell	139
fibroblast	large intestine goblet cell	384
fibroblast	mast cell	41
fibroblast	monocyte	310
fibroblast	neutrophil	59
fibroblast	paneth cell of colon	247
