column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	CADM1	CADM1	0.018	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CADM1	NECTIN3	0.328	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN1	NECTIN3	0.343	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.321	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM1	CEACAM6	0.005	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM6	0.004	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM6	CEACAM6	0.004	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CD8A	0.202	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM1	0.014	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	TGM2	ADGRG1	0.037	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	DAG1	CELSR3	0.037	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	DAG1	NRXN3	0.036	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CLSTN1	NRXN3	0.114	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CLSTN2	NRXN3	0.029	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	CLSTN3	NRXN3	0.045	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	LRRTM2	NRXN3	0.002	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	NLGN2	NRXN3	0.01	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	NLGN4Y	NRXN3	0.004	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
B cell|CD4-positive, alpha-beta T cell	GJA3	GJA1	0.01	167	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM293.LGZW.236_reg001
