gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cell	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	fibroblast	gut endothelial cell	intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	intestinal tuft cell	large intestine goblet cell	mast cell	monocyte	paneth cell of colon	plasma cell	transit amplifying cell of colon
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.063	0.089	0.269	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.063	0.089	0.269	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.063	0.089	0.269	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.01	0.005	0.002	0.138	0.217	0.0	0.392	0.0	0.051	0.044	0.0	0.0	0.106	0.0	0.325
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.01	0.005	0.002	0.138	0.217	0.0	0.392	0.0	0.051	0.044	0.0	0.0	0.106	0.0	0.325
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.01	0.005	0.002	0.138	0.217	0.0	0.392	0.0	0.051	0.044	0.0	0.0	0.106	0.0	0.325
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.058	0.105	0.02	0.022	0.189	1.153	0.45	0.0	0.0	0.0	5.263	0.0	0.023	0.147	0.125
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.083	0.053	0.018	0.067	0.01	0.458	0.366	0.0	0.004	0.0	0.0	0.0	1.144	0.0	0.045
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.008	0.0	0.011	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.008	0.0	0.011	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.008	0.0	0.011	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.163	0.189	0.279	0.106	0.012	1.155	1.274	0.0	0.126	0.0	0.0	0.0	0.026	0.0	0.501
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.163	0.189	0.279	0.106	0.012	1.155	1.274	0.0	0.126	0.0	0.0	0.0	0.026	0.0	0.501
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.163	0.189	0.279	0.106	0.012	1.155	1.274	0.0	0.126	0.0	0.0	0.0	0.026	0.0	0.501
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.163	0.189	0.279	0.106	0.012	1.155	1.274	0.0	0.126	0.0	0.0	0.0	0.026	0.0	0.501
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.001	0.0	0.0	0.143	0.403	0.0	0.658	0.0	0.0	0.035	0.0	0.0	0.114	0.0	0.255
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.001	0.0	0.0	0.143	0.403	0.0	0.658	0.0	0.0	0.035	0.0	0.0	0.114	0.0	0.255
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.274	0.0	0.0	0.0	0.0	0.0	0.0
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	CYP11A1	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	CYP3A4	0.0	0.0	0.017	0.015	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.0	0.0	0.0	0.146	0.051	0.0	0.125	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.204
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.0	0.0	0.0	0.146	0.051	0.0	0.125	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.204
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.0	0.0	0.0	0.146	0.051	0.0	0.125	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.204
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.123	0.176	0.109	0.077	0.332	0.0	0.379	0.0	0.095	0.0	0.0	0.0	0.005	0.0	0.138
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.123	0.176	0.109	0.077	0.332	0.0	0.379	0.0	0.095	0.0	0.0	0.0	0.005	0.0	0.138
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.123	0.176	0.109	0.077	0.332	0.0	0.379	0.0	0.095	0.0	0.0	0.0	0.005	0.0	0.138
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.007	0.002	0.055	0.009	0.0	0.0	0.0	0.0	0.156	0.0	0.0	0.086	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.0	0.007	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.274	0.0	0.0	0.005	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.0	0.024	0.009	0.02	0.084	1.328	0.036	0.0	0.0	0.0	4.664	0.0	0.017	0.086	0.0
