source	target	count
B cell	CD4-positive, alpha-beta T cell	77
B cell	CD8-positive, alpha-beta T cell	75
B cell	enterocyte of epithelium of large intestine	101
B cell	fibroblast	81
B cell	gut endothelial cell	48
B cell	intestinal crypt stem cell of large intestine	45
B cell	intestinal enteroendocrine cell	17
B cell	intestinal tuft cell	22
B cell	large intestine goblet cell	62
B cell	monocyte	51
B cell	neutrophil	20
B cell	paneth cell of colon	39
B cell	plasma cell	15
B cell	transit amplifying cell of colon	35
CD4-positive, alpha-beta T cell	B cell	83
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	180
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	305
CD4-positive, alpha-beta T cell	fibroblast	245
CD4-positive, alpha-beta T cell	gut endothelial cell	142
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	128
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	43
CD4-positive, alpha-beta T cell	intestinal tuft cell	54
CD4-positive, alpha-beta T cell	large intestine goblet cell	202
CD4-positive, alpha-beta T cell	monocyte	162
CD4-positive, alpha-beta T cell	neutrophil	42
CD4-positive, alpha-beta T cell	paneth cell of colon	113
CD4-positive, alpha-beta T cell	plasma cell	38
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	100
CD8-positive, alpha-beta T cell	B cell	77
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	164
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	259
CD8-positive, alpha-beta T cell	fibroblast	206
CD8-positive, alpha-beta T cell	gut endothelial cell	131
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	112
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	35
CD8-positive, alpha-beta T cell	intestinal tuft cell	44
CD8-positive, alpha-beta T cell	large intestine goblet cell	174
CD8-positive, alpha-beta T cell	monocyte	142
CD8-positive, alpha-beta T cell	neutrophil	34
CD8-positive, alpha-beta T cell	paneth cell of colon	97
CD8-positive, alpha-beta T cell	plasma cell	31
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	88
enterocyte of epithelium of large intestine	B cell	91
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	263
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	238
enterocyte of epithelium of large intestine	fibroblast	363
enterocyte of epithelium of large intestine	gut endothelial cell	209
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	175
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	48
enterocyte of epithelium of large intestine	intestinal tuft cell	75
enterocyte of epithelium of large intestine	large intestine goblet cell	280
enterocyte of epithelium of large intestine	monocyte	249
enterocyte of epithelium of large intestine	neutrophil	41
enterocyte of epithelium of large intestine	paneth cell of colon	154
enterocyte of epithelium of large intestine	plasma cell	42
enterocyte of epithelium of large intestine	transit amplifying cell of colon	142
fibroblast	B cell	94
fibroblast	CD4-positive, alpha-beta T cell	262
fibroblast	CD8-positive, alpha-beta T cell	236
fibroblast	enterocyte of epithelium of large intestine	430
fibroblast	gut endothelial cell	206
fibroblast	intestinal crypt stem cell of large intestine	187
fibroblast	intestinal enteroendocrine cell	59
fibroblast	intestinal tuft cell	81
fibroblast	large intestine goblet cell	300
fibroblast	monocyte	255
fibroblast	neutrophil	46
fibroblast	paneth cell of colon	160
fibroblast	plasma cell	41
fibroblast	transit amplifying cell of colon	146
gut endothelial cell	B cell	49
gut endothelial cell	CD4-positive, alpha-beta T cell	121
gut endothelial cell	CD8-positive, alpha-beta T cell	119
gut endothelial cell	enterocyte of epithelium of large intestine	195
gut endothelial cell	fibroblast	158
gut endothelial cell	intestinal crypt stem cell of large intestine	87
gut endothelial cell	intestinal enteroendocrine cell	19
gut endothelial cell	intestinal tuft cell	30
gut endothelial cell	large intestine goblet cell	136
gut endothelial cell	monocyte	109
gut endothelial cell	neutrophil	20
gut endothelial cell	paneth cell of colon	72
gut endothelial cell	plasma cell	18
gut endothelial cell	transit amplifying cell of colon	68
intestinal crypt stem cell of large intestine	B cell	45
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	117
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	111
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	199
intestinal crypt stem cell of large intestine	fibroblast	176
intestinal crypt stem cell of large intestine	gut endothelial cell	99
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	27
