column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.385	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CD8A	0.307	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM1	0.093	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	JAM3	JAM3	0.154	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.188	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	NECTIN3	TIGIT	0.171	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	POMC	MC1R	0.102	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.172	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	ANGPT2	TEK	0.037	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	ANXA1	FPR1	0.059	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CD80	NGFR	0.615	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL4	ACKR2	0.038	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL5	ACKR2	0.034	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL5	CCR1	0.028	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL5	CCR4	0.235	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL5	ACKR1	0.025	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL28	CCR10	0.096	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL4	CCR5	0.126	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CCL5	CCR5	0.121	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	EFNA4	EPHA1	0.102	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	EFNA4	EPHA2	0.068	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	EFNA4	EPHA4	0.087	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	FGF9	FGFR3	0.056	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	HLA-E	KLRC1	0.996	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	HLA-E	KLRC2	1.009	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	HLA-E	KLRK1	1.003	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	HLA-E	VSIR	1.099	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	HLA-F	VSIR	0.419	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	LTB	LTBR	0.271	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	LPAR2	ADGRE5	1.152	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	CD55	ADGRE5	1.744	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
B cell|CD4-positive, alpha-beta T cell	PDGFD	PDGFRB	0.056	73	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM393.TMDX.795_reg004
