source	target	count
B cell	CD4-positive, alpha-beta T cell	97
B cell	CD8-positive, alpha-beta T cell	99
B cell	enterocyte of epithelium of large intestine	188
B cell	fibroblast	128
B cell	gut endothelial cell	77
B cell	intestinal crypt stem cell of large intestine	88
B cell	intestinal enteroendocrine cell	65
B cell	intestinal tuft cell	67
B cell	large intestine goblet cell	148
B cell	mast cell	36
B cell	monocyte	108
B cell	neutrophil	30
B cell	paneth cell of colon	92
B cell	plasma cell	41
B cell	transit amplifying cell of colon	80
CD4-positive, alpha-beta T cell	B cell	97
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	148
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	297
CD4-positive, alpha-beta T cell	fibroblast	204
CD4-positive, alpha-beta T cell	gut endothelial cell	130
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	147
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	111
CD4-positive, alpha-beta T cell	intestinal tuft cell	104
CD4-positive, alpha-beta T cell	large intestine goblet cell	246
CD4-positive, alpha-beta T cell	mast cell	48
CD4-positive, alpha-beta T cell	monocyte	179
CD4-positive, alpha-beta T cell	neutrophil	46
CD4-positive, alpha-beta T cell	paneth cell of colon	153
CD4-positive, alpha-beta T cell	plasma cell	52
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	132
CD8-positive, alpha-beta T cell	B cell	104
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	152
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	300
CD8-positive, alpha-beta T cell	fibroblast	214
CD8-positive, alpha-beta T cell	gut endothelial cell	137
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	156
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	118
CD8-positive, alpha-beta T cell	intestinal tuft cell	103
CD8-positive, alpha-beta T cell	large intestine goblet cell	250
CD8-positive, alpha-beta T cell	mast cell	46
CD8-positive, alpha-beta T cell	monocyte	186
CD8-positive, alpha-beta T cell	neutrophil	49
CD8-positive, alpha-beta T cell	paneth cell of colon	156
CD8-positive, alpha-beta T cell	plasma cell	58
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	142
enterocyte of epithelium of large intestine	B cell	175
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	288
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	283
enterocyte of epithelium of large intestine	fibroblast	515
enterocyte of epithelium of large intestine	gut endothelial cell	297
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	314
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	257
enterocyte of epithelium of large intestine	intestinal tuft cell	235
enterocyte of epithelium of large intestine	large intestine goblet cell	608
enterocyte of epithelium of large intestine	mast cell	88
enterocyte of epithelium of large intestine	monocyte	425
enterocyte of epithelium of large intestine	neutrophil	80
enterocyte of epithelium of large intestine	paneth cell of colon	355
enterocyte of epithelium of large intestine	plasma cell	100
enterocyte of epithelium of large intestine	transit amplifying cell of colon	291
fibroblast	B cell	145
fibroblast	CD4-positive, alpha-beta T cell	231
fibroblast	CD8-positive, alpha-beta T cell	229
fibroblast	enterocyte of epithelium of large intestine	557
fibroblast	gut endothelial cell	237
fibroblast	intestinal crypt stem cell of large intestine	263
fibroblast	intestinal enteroendocrine cell	204
fibroblast	intestinal tuft cell	197
fibroblast	large intestine goblet cell	479
fibroblast	mast cell	75
fibroblast	monocyte	343
fibroblast	neutrophil	73
fibroblast	paneth cell of colon	285
fibroblast	plasma cell	85
fibroblast	transit amplifying cell of colon	241
gut endothelial cell	B cell	79
gut endothelial cell	CD4-positive, alpha-beta T cell	119
gut endothelial cell	CD8-positive, alpha-beta T cell	114
gut endothelial cell	enterocyte of epithelium of large intestine	258
gut endothelial cell	fibroblast	200
gut endothelial cell	intestinal crypt stem cell of large intestine	134
gut endothelial cell	intestinal enteroendocrine cell	104
gut endothelial cell	intestinal tuft cell	100
gut endothelial cell	large intestine goblet cell	226
gut endothelial cell	mast cell	47
gut endothelial cell	monocyte	168
gut endothelial cell	neutrophil	39
gut endothelial cell	paneth cell of colon	138
gut endothelial cell	plasma cell	47
gut endothelial cell	transit amplifying cell of colon	126
intestinal crypt stem cell of large intestine	B cell	94
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	141
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	144
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	349
intestinal crypt stem cell of large intestine	fibroblast	258
intestinal crypt stem cell of large intestine	gut endothelial cell	156
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	131
intestinal crypt stem cell of large intestine	intestinal tuft cell	129
intestinal crypt stem cell of large intestine	large intestine goblet cell	306
intestinal crypt stem cell of large intestine	mast cell	50
intestinal crypt stem cell of large intestine	monocyte	232
intestinal crypt stem cell of large intestine	neutrophil	42
intestinal crypt stem cell of large intestine	paneth cell of colon	178
intestinal crypt stem cell of large intestine	plasma cell	60
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	155
intestinal enteroendocrine cell	B cell	71
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	107
intestinal enteroendocrine cell	CD8-positive, alpha-beta T cell	105
intestinal enteroendocrine cell	enterocyte of epithelium of large intestine	260
intestinal enteroendocrine cell	fibroblast	192
intestinal enteroendocrine cell	gut endothelial cell	119
intestinal enteroendocrine cell	intestinal crypt stem cell of large intestine	124
intestinal enteroendocrine cell	intestinal tuft cell	91
intestinal enteroendocrine cell	large intestine goblet cell	223
intestinal enteroendocrine cell	mast cell	35
intestinal enteroendocrine cell	monocyte	165
intestinal enteroendocrine cell	neutrophil	32
intestinal enteroendocrine cell	paneth cell of colon	137
intestinal enteroendocrine cell	plasma cell	39
intestinal enteroendocrine cell	transit amplifying cell of colon	114
intestinal tuft cell	B cell	65
intestinal tuft cell	CD4-positive, alpha-beta T cell	97
intestinal tuft cell	CD8-positive, alpha-beta T cell	97
intestinal tuft cell	enterocyte of epithelium of large intestine	217
intestinal tuft cell	fibroblast	159
intestinal tuft cell	gut endothelial cell	103
intestinal tuft cell	intestinal crypt stem cell of large intestine	116
intestinal tuft cell	intestinal enteroendocrine cell	84
intestinal tuft cell	large intestine goblet cell	189
intestinal tuft cell	mast cell	33
intestinal tuft cell	monocyte	150
intestinal tuft cell	neutrophil	25
intestinal tuft cell	paneth cell of colon	117
intestinal tuft cell	plasma cell	42
intestinal tuft cell	transit amplifying cell of colon	109
large intestine goblet cell	B cell	142
large intestine goblet cell	CD4-positive, alpha-beta T cell	230
large intestine goblet cell	CD8-positive, alpha-beta T cell	228
large intestine goblet cell	enterocyte of epithelium of large intestine	546
large intestine goblet cell	fibroblast	400
large intestine goblet cell	gut endothelial cell	244
large intestine goblet cell	intestinal crypt stem cell of large intestine	253
large intestine goblet cell	intestinal enteroendocrine cell	204
large intestine goblet cell	intestinal tuft cell	179
large intestine goblet cell	mast cell	76
large intestine goblet cell	monocyte	333
large intestine goblet cell	neutrophil	66
large intestine goblet cell	paneth cell of colon	280
large intestine goblet cell	plasma cell	82
large intestine goblet cell	transit amplifying cell of colon	235
mast cell	B cell	29
mast cell	CD4-positive, alpha-beta T cell	37
mast cell	CD8-positive, alpha-beta T cell	38
mast cell	enterocyte of epithelium of large intestine	77
mast cell	fibroblast	56
mast cell	gut endothelial cell	40
mast cell	intestinal crypt stem cell of large intestine	39
mast cell	intestinal enteroendocrine cell	31
mast cell	intestinal tuft cell	27
mast cell	large intestine goblet cell	63
mast cell	monocyte	47
mast cell	neutrophil	13
mast cell	paneth cell of colon	42
mast cell	plasma cell	19
mast cell	transit amplifying cell of colon	39
monocyte	B cell	108
monocyte	CD4-positive, alpha-beta T cell	187
monocyte	CD8-positive, alpha-beta T cell	173
monocyte	enterocyte of epithelium of large intestine	445
monocyte	fibroblast	330
monocyte	gut endothelial cell	183
monocyte	intestinal crypt stem cell of large intestine	210
monocyte	intestinal enteroendocrine cell	167
monocyte	intestinal tuft cell	166
monocyte	large intestine goblet cell	387
monocyte	mast cell	62
monocyte	neutrophil	51
monocyte	paneth cell of colon	231
monocyte	plasma cell	72
monocyte	transit amplifying cell of colon	189
neutrophil	B cell	25
neutrophil	CD4-positive, alpha-beta T cell	34
neutrophil	CD8-positive, alpha-beta T cell	39
neutrophil	enterocyte of epithelium of large intestine	72
neutrophil	fibroblast	50
neutrophil	gut endothelial cell	33
neutrophil	intestinal crypt stem cell of large intestine	37
neutrophil	intestinal enteroendocrine cell	26
neutrophil	intestinal tuft cell	24
neutrophil	large intestine goblet cell	63
neutrophil	mast cell	12
neutrophil	monocyte	36
neutrophil	paneth cell of colon	33
neutrophil	plasma cell	13
neutrophil	transit amplifying cell of colon	33
paneth cell of colon	B cell	101
paneth cell of colon	CD4-positive, alpha-beta T cell	158
paneth cell of colon	CD8-positive, alpha-beta T cell	160
paneth cell of colon	enterocyte of epithelium of large intestine	394
paneth cell of colon	fibroblast	282
paneth cell of colon	gut endothelial cell	172
paneth cell of colon	intestinal crypt stem cell of large intestine	180
paneth cell of colon	intestinal enteroendocrine cell	151
paneth cell of colon	intestinal tuft cell	131
paneth cell of colon	large intestine goblet cell	342
paneth cell of colon	mast cell	53
paneth cell of colon	monocyte	245
paneth cell of colon	neutrophil	50
paneth cell of colon	plasma cell	60
paneth cell of colon	transit amplifying cell of colon	168
plasma cell	B cell	54
plasma cell	CD4-positive, alpha-beta T cell	77
plasma cell	CD8-positive, alpha-beta T cell	76
plasma cell	enterocyte of epithelium of large intestine	152
plasma cell	fibroblast	113
plasma cell	gut endothelial cell	69
plasma cell	intestinal crypt stem cell of large intestine	79
plasma cell	intestinal enteroendocrine cell	50
plasma cell	intestinal tuft cell	49
plasma cell	large intestine goblet cell	127
plasma cell	mast cell	22
plasma cell	monocyte	85
plasma cell	neutrophil	18
plasma cell	paneth cell of colon	75
plasma cell	transit amplifying cell of colon	72
transit amplifying cell of colon	B cell	83
transit amplifying cell of colon	CD4-positive, alpha-beta T cell	134
transit amplifying cell of colon	CD8-positive, alpha-beta T cell	129
transit amplifying cell of colon	enterocyte of epithelium of large intestine	336
transit amplifying cell of colon	fibroblast	247
transit amplifying cell of colon	gut endothelial cell	147
transit amplifying cell of colon	intestinal crypt stem cell of large intestine	163
transit amplifying cell of colon	intestinal enteroendocrine cell	130
transit amplifying cell of colon	intestinal tuft cell	120
transit amplifying cell of colon	large intestine goblet cell	292
transit amplifying cell of colon	mast cell	44
