source	target	count
B cell	CD4-positive, alpha-beta T cell	71
B cell	CD8-positive, alpha-beta T cell	80
B cell	enterocyte of epithelium of large intestine	133
B cell	fibroblast	102
B cell	gut endothelial cell	50
B cell	intestinal crypt stem cell of large intestine	81
B cell	intestinal enteroendocrine cell	56
B cell	intestinal tuft cell	49
B cell	large intestine goblet cell	97
B cell	mast cell	18
B cell	monocyte	80
B cell	neutrophil	24
B cell	paneth cell of colon	67
B cell	plasma cell	23
B cell	transit amplifying cell of colon	67
CD4-positive, alpha-beta T cell	B cell	68
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	118
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	213
CD4-positive, alpha-beta T cell	fibroblast	158
CD4-positive, alpha-beta T cell	gut endothelial cell	86
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	131
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	89
CD4-positive, alpha-beta T cell	intestinal tuft cell	85
CD4-positive, alpha-beta T cell	large intestine goblet cell	156
CD4-positive, alpha-beta T cell	mast cell	30
CD4-positive, alpha-beta T cell	monocyte	130
CD4-positive, alpha-beta T cell	neutrophil	35
CD4-positive, alpha-beta T cell	paneth cell of colon	117
CD4-positive, alpha-beta T cell	plasma cell	43
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	109
CD8-positive, alpha-beta T cell	B cell	69
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	108
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	220
CD8-positive, alpha-beta T cell	fibroblast	177
CD8-positive, alpha-beta T cell	gut endothelial cell	93
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	136
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	95
CD8-positive, alpha-beta T cell	intestinal tuft cell	92
CD8-positive, alpha-beta T cell	large intestine goblet cell	168
CD8-positive, alpha-beta T cell	mast cell	28
CD8-positive, alpha-beta T cell	monocyte	143
CD8-positive, alpha-beta T cell	neutrophil	35
CD8-positive, alpha-beta T cell	paneth cell of colon	122
CD8-positive, alpha-beta T cell	plasma cell	44
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	113
enterocyte of epithelium of large intestine	B cell	100
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	195
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	208
enterocyte of epithelium of large intestine	fibroblast	404
enterocyte of epithelium of large intestine	gut endothelial cell	196
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	288
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	207
enterocyte of epithelium of large intestine	intestinal tuft cell	201
enterocyte of epithelium of large intestine	large intestine goblet cell	360
enterocyte of epithelium of large intestine	mast cell	49
enterocyte of epithelium of large intestine	monocyte	319
enterocyte of epithelium of large intestine	neutrophil	51
enterocyte of epithelium of large intestine	paneth cell of colon	257
enterocyte of epithelium of large intestine	plasma cell	77
enterocyte of epithelium of large intestine	transit amplifying cell of colon	234
fibroblast	B cell	95
fibroblast	CD4-positive, alpha-beta T cell	166
fibroblast	CD8-positive, alpha-beta T cell	189
fibroblast	enterocyte of epithelium of large intestine	427
fibroblast	gut endothelial cell	173
fibroblast	intestinal crypt stem cell of large intestine	255
fibroblast	intestinal enteroendocrine cell	184
fibroblast	intestinal tuft cell	186
fibroblast	large intestine goblet cell	315
fibroblast	mast cell	39
fibroblast	monocyte	285
fibroblast	neutrophil	50
fibroblast	paneth cell of colon	226
fibroblast	plasma cell	70
fibroblast	transit amplifying cell of colon	209
gut endothelial cell	B cell	46
gut endothelial cell	CD4-positive, alpha-beta T cell	73
gut endothelial cell	CD8-positive, alpha-beta T cell	89
gut endothelial cell	enterocyte of epithelium of large intestine	186
gut endothelial cell	fibroblast	156
gut endothelial cell	intestinal crypt stem cell of large intestine	114
gut endothelial cell	intestinal enteroendocrine cell	83
gut endothelial cell	intestinal tuft cell	86
gut endothelial cell	large intestine goblet cell	141
gut endothelial cell	mast cell	22
gut endothelial cell	monocyte	123
gut endothelial cell	neutrophil	25
gut endothelial cell	paneth cell of colon	107
gut endothelial cell	plasma cell	33
gut endothelial cell	transit amplifying cell of colon	102
intestinal crypt stem cell of large intestine	B cell	60
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	110
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	122
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	278
intestinal crypt stem cell of large intestine	fibroblast	235
intestinal crypt stem cell of large intestine	gut endothelial cell	114
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	122
intestinal crypt stem cell of large intestine	intestinal tuft cell	125
intestinal crypt stem cell of large intestine	large intestine goblet cell	212
intestinal crypt stem cell of large intestine	mast cell	27
intestinal crypt stem cell of large intestine	monocyte	190
intestinal crypt stem cell of large intestine	neutrophil	29
intestinal crypt stem cell of large intestine	paneth cell of colon	154
intestinal crypt stem cell of large intestine	plasma cell	51
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	146
intestinal enteroendocrine cell	B cell	46
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	74
intestinal enteroendocrine cell	CD8-positive, alpha-beta T cell	87
intestinal enteroendocrine cell	enterocyte of epithelium of large intestine	193
intestinal enteroendocrine cell	fibroblast	161
intestinal enteroendocrine cell	gut endothelial cell	80
intestinal enteroendocrine cell	intestinal crypt stem cell of large intestine	118
intestinal enteroendocrine cell	intestinal tuft cell	88
intestinal enteroendocrine cell	large intestine goblet cell	143
intestinal enteroendocrine cell	mast cell	20
intestinal enteroendocrine cell	monocyte	129
intestinal enteroendocrine cell	neutrophil	21
intestinal enteroendocrine cell	paneth cell of colon	110
