source	target	count
B cell	CD4-positive, alpha-beta T cell	104
B cell	CD8-positive, alpha-beta T cell	104
B cell	enterocyte of epithelium of large intestine	198
B cell	fibroblast	132
B cell	gut endothelial cell	70
B cell	intestinal crypt stem cell of large intestine	101
B cell	intestinal enteroendocrine cell	71
B cell	intestinal tuft cell	75
B cell	large intestine goblet cell	153
B cell	mast cell	41
B cell	monocyte	113
B cell	neutrophil	33
B cell	paneth cell of colon	90
B cell	plasma cell	45
B cell	transit amplifying cell of colon	85
CD4-positive, alpha-beta T cell	B cell	105
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	153
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	310
CD4-positive, alpha-beta T cell	fibroblast	215
CD4-positive, alpha-beta T cell	gut endothelial cell	113
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	160
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	112
CD4-positive, alpha-beta T cell	intestinal tuft cell	113
CD4-positive, alpha-beta T cell	large intestine goblet cell	251
CD4-positive, alpha-beta T cell	mast cell	56
CD4-positive, alpha-beta T cell	monocyte	187
CD4-positive, alpha-beta T cell	neutrophil	49
CD4-positive, alpha-beta T cell	paneth cell of colon	148
CD4-positive, alpha-beta T cell	plasma cell	62
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	136
CD8-positive, alpha-beta T cell	B cell	106
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	151
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	295
CD8-positive, alpha-beta T cell	fibroblast	203
CD8-positive, alpha-beta T cell	gut endothelial cell	114
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	157
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	109
CD8-positive, alpha-beta T cell	intestinal tuft cell	105
CD8-positive, alpha-beta T cell	large intestine goblet cell	237
CD8-positive, alpha-beta T cell	mast cell	51
CD8-positive, alpha-beta T cell	monocyte	175
CD8-positive, alpha-beta T cell	neutrophil	49
CD8-positive, alpha-beta T cell	paneth cell of colon	142
CD8-positive, alpha-beta T cell	plasma cell	63
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	138
enterocyte of epithelium of large intestine	B cell	193
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	304
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	295
enterocyte of epithelium of large intestine	fibroblast	520
enterocyte of epithelium of large intestine	gut endothelial cell	238
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	363
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	259
enterocyte of epithelium of large intestine	intestinal tuft cell	252
enterocyte of epithelium of large intestine	large intestine goblet cell	613
enterocyte of epithelium of large intestine	mast cell	97
enterocyte of epithelium of large intestine	monocyte	425
enterocyte of epithelium of large intestine	neutrophil	90
enterocyte of epithelium of large intestine	paneth cell of colon	347
enterocyte of epithelium of large intestine	plasma cell	111
enterocyte of epithelium of large intestine	transit amplifying cell of colon	291
fibroblast	B cell	162
fibroblast	CD4-positive, alpha-beta T cell	243
fibroblast	CD8-positive, alpha-beta T cell	238
fibroblast	enterocyte of epithelium of large intestine	570
fibroblast	gut endothelial cell	194
fibroblast	intestinal crypt stem cell of large intestine	296
fibroblast	intestinal enteroendocrine cell	204
fibroblast	intestinal tuft cell	203
fibroblast	large intestine goblet cell	476
fibroblast	mast cell	81
fibroblast	monocyte	341
fibroblast	neutrophil	80
fibroblast	paneth cell of colon	267
fibroblast	plasma cell	90
