column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	CADM1	NECTIN3	0.3	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN1	NECTIN3	0.304	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.303	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CD8A	0.249	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM1	0.015	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	TGM2	ADGRG1	0.037	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	ITGAL	0.13	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	SPN	0.25	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	JAM2	JAM3	0.085	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	JAM3	JAM3	0.146	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.084	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN3	TIGIT	0.082	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	POMC	MC1R	0.064	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	LRFN4	PTPRS	0.098	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	APP	CD74	0.114	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	APP	SORL1	0.189	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.106	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	ANXA1	FPR1	0.021	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	APOA1	ABCA1	0.067	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	CD80	NGFR	1.273	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	LRPAP1	SORT1	0.407	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	CCL4	ACKR2	0.025	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	CCL5	ACKR2	0.061	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
B cell|CD4-positive, alpha-beta T cell	CCL22	DPP4	0.458	91	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM538.PGFT.538_reg001
