source	target	count
B cell	CD4-positive, alpha-beta T cell	86
B cell	CD8-positive, alpha-beta T cell	87
B cell	enterocyte of epithelium of large intestine	150
B cell	fibroblast	108
B cell	gut endothelial cell	66
B cell	intestinal crypt stem cell of large intestine	79
B cell	intestinal enteroendocrine cell	54
B cell	intestinal tuft cell	56
B cell	large intestine goblet cell	117
B cell	mast cell	32
B cell	monocyte	84
B cell	neutrophil	28
B cell	paneth cell of colon	65
B cell	plasma cell	34
B cell	transit amplifying cell of colon	63
CD4-positive, alpha-beta T cell	B cell	89
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	148
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	276
CD4-positive, alpha-beta T cell	fibroblast	210
CD4-positive, alpha-beta T cell	gut endothelial cell	134
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	153
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	104
CD4-positive, alpha-beta T cell	intestinal tuft cell	108
CD4-positive, alpha-beta T cell	large intestine goblet cell	238
CD4-positive, alpha-beta T cell	mast cell	46
CD4-positive, alpha-beta T cell	monocyte	173
CD4-positive, alpha-beta T cell	neutrophil	42
CD4-positive, alpha-beta T cell	paneth cell of colon	126
CD4-positive, alpha-beta T cell	plasma cell	54
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	127
CD8-positive, alpha-beta T cell	B cell	92
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	150
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	284
CD8-positive, alpha-beta T cell	fibroblast	214
CD8-positive, alpha-beta T cell	gut endothelial cell	137
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	162
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	108
CD8-positive, alpha-beta T cell	intestinal tuft cell	104
CD8-positive, alpha-beta T cell	large intestine goblet cell	241
CD8-positive, alpha-beta T cell	mast cell	46
CD8-positive, alpha-beta T cell	monocyte	177
CD8-positive, alpha-beta T cell	neutrophil	46
CD8-positive, alpha-beta T cell	paneth cell of colon	130
CD8-positive, alpha-beta T cell	plasma cell	55
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	132
enterocyte of epithelium of large intestine	B cell	126
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	266
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	263
enterocyte of epithelium of large intestine	fibroblast	467
enterocyte of epithelium of large intestine	gut endothelial cell	271
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	313
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	227
enterocyte of epithelium of large intestine	intestinal tuft cell	206
enterocyte of epithelium of large intestine	large intestine goblet cell	528
