source	target	count
B cell	CD4-positive, alpha-beta T cell	65
B cell	CD8-positive, alpha-beta T cell	70
B cell	enterocyte of epithelium of large intestine	112
B cell	fibroblast	83
B cell	gut endothelial cell	43
B cell	intestinal crypt stem cell of large intestine	63
B cell	intestinal enteroendocrine cell	37
B cell	intestinal tuft cell	38
B cell	large intestine goblet cell	82
B cell	mast cell	15
B cell	monocyte	63
B cell	neutrophil	26
B cell	paneth cell of colon	47
B cell	plasma cell	26
B cell	transit amplifying cell of colon	48
CD4-positive, alpha-beta T cell	B cell	76
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	150
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	275
CD4-positive, alpha-beta T cell	fibroblast	211
CD4-positive, alpha-beta T cell	gut endothelial cell	101
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	145
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	92
CD4-positive, alpha-beta T cell	intestinal tuft cell	85
CD4-positive, alpha-beta T cell	large intestine goblet cell	203
CD4-positive, alpha-beta T cell	mast cell	38
CD4-positive, alpha-beta T cell	monocyte	167
CD4-positive, alpha-beta T cell	neutrophil	52
CD4-positive, alpha-beta T cell	paneth cell of colon	113
CD4-positive, alpha-beta T cell	plasma cell	61
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	121
CD8-positive, alpha-beta T cell	B cell	74
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	131
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	252
CD8-positive, alpha-beta T cell	fibroblast	190
CD8-positive, alpha-beta T cell	gut endothelial cell	99
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	140
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	87
CD8-positive, alpha-beta T cell	intestinal tuft cell	82
CD8-positive, alpha-beta T cell	large intestine goblet cell	185
CD8-positive, alpha-beta T cell	mast cell	38
CD8-positive, alpha-beta T cell	monocyte	146
CD8-positive, alpha-beta T cell	neutrophil	49
CD8-positive, alpha-beta T cell	paneth cell of colon	106
CD8-positive, alpha-beta T cell	plasma cell	58
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	115
enterocyte of epithelium of large intestine	B cell	100
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	225
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	235
enterocyte of epithelium of large intestine	fibroblast	419
enterocyte of epithelium of large intestine	gut endothelial cell	183
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	265
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	175
enterocyte of epithelium of large intestine	intestinal tuft cell	165
enterocyte of epithelium of large intestine	large intestine goblet cell	399
enterocyte of epithelium of large intestine	mast cell	62
enterocyte of epithelium of large intestine	monocyte	309
enterocyte of epithelium of large intestine	neutrophil	71
enterocyte of epithelium of large intestine	paneth cell of colon	209
enterocyte of epithelium of large intestine	plasma cell	93
enterocyte of epithelium of large intestine	transit amplifying cell of colon	227
fibroblast	B cell	92
fibroblast	CD4-positive, alpha-beta T cell	210
fibroblast	CD8-positive, alpha-beta T cell	214
fibroblast	enterocyte of epithelium of large intestine	479
fibroblast	gut endothelial cell	167
fibroblast	intestinal crypt stem cell of large intestine	243
fibroblast	intestinal enteroendocrine cell	157
fibroblast	intestinal tuft cell	156
fibroblast	large intestine goblet cell	356
fibroblast	mast cell	54
fibroblast	monocyte	278
fibroblast	neutrophil	70
fibroblast	paneth cell of colon	187
fibroblast	plasma cell	87
fibroblast	transit amplifying cell of colon	205
gut endothelial cell	B cell	47
gut endothelial cell	CD4-positive, alpha-beta T cell	82
gut endothelial cell	CD8-positive, alpha-beta T cell	91
gut endothelial cell	enterocyte of epithelium of large intestine	178
gut endothelial cell	fibroblast	145
gut endothelial cell	intestinal crypt stem cell of large intestine	99
gut endothelial cell	intestinal enteroendocrine cell	66
gut endothelial cell	intestinal tuft cell	60
gut endothelial cell	large intestine goblet cell	135
gut endothelial cell	mast cell	24
gut endothelial cell	monocyte	104
gut endothelial cell	neutrophil	30
gut endothelial cell	paneth cell of colon	81
gut endothelial cell	plasma cell	36
gut endothelial cell	transit amplifying cell of colon	89
intestinal crypt stem cell of large intestine	B cell	57
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	120
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	129
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	284
intestinal crypt stem cell of large intestine	fibroblast	223
intestinal crypt stem cell of large intestine	gut endothelial cell	102
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	94
intestinal crypt stem cell of large intestine	intestinal tuft cell	96
intestinal crypt stem cell of large intestine	large intestine goblet cell	212
intestinal crypt stem cell of large intestine	mast cell	34
intestinal crypt stem cell of large intestine	monocyte	168
intestinal crypt stem cell of large intestine	neutrophil	42
intestinal crypt stem cell of large intestine	paneth cell of colon	116
intestinal crypt stem cell of large intestine	plasma cell	60
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	131
intestinal enteroendocrine cell	B cell	39
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	84
intestinal enteroendocrine cell	CD8-positive, alpha-beta T cell	94
intestinal enteroendocrine cell	enterocyte of epithelium of large intestine	201
intestinal enteroendocrine cell	fibroblast	158
intestinal enteroendocrine cell	gut endothelial cell	66
intestinal enteroendocrine cell	intestinal crypt stem cell of large intestine	99
intestinal enteroendocrine cell	intestinal tuft cell	65
intestinal enteroendocrine cell	large intestine goblet cell	143
