column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	NECTIN1	NECTIN3	0.345	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.326	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	TGM2	ADGRG1	0.031	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	GJC1	GJC1	0.028	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	ITGAL	0.135	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	SPN	0.327	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	JAM2	JAM3	0.072	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	JAM3	JAM3	0.063	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.1	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN3	TIGIT	0.095	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	POMC	MC1R	0.051	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	LRFN4	PTPRS	0.077	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	APP	CD74	0.095	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	APP	SORL1	0.199	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.166	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	ANGPT2	TEK	0.453	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	APOA1	ABCA1	0.071	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	CD80	NGFR	0.949	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	LRPAP1	SORT1	0.42	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	CCL5	CCR4	0.314	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	RARRES2	CCRL2	0.057	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	CCL5	ACKR1	0.041	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	CCL5	CCR5	0.227	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	CCL5	GPR75	0.042	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	CXCL16	CXCR6	0.571	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	EDN1	EDNRB	0.032	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
B cell|CD4-positive, alpha-beta T cell	EFNA3	EPHA1	0.222	104	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM657.JVPV.825_reg001
