source	target	count
B cell	CD4-positive, alpha-beta T cell	133
B cell	CD8-positive, alpha-beta T cell	118
B cell	enterocyte of epithelium of large intestine	136
B cell	fibroblast	129
B cell	gut endothelial cell	56
B cell	intestinal crypt stem cell of large intestine	76
B cell	intestinal tuft cell	22
B cell	large intestine goblet cell	88
B cell	mast cell	6
B cell	monocyte	104
B cell	paneth cell of colon	69
B cell	plasma cell	43
B cell	transit amplifying cell of colon	75
CD4-positive, alpha-beta T cell	B cell	155
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	165
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	204
CD4-positive, alpha-beta T cell	fibroblast	207
CD4-positive, alpha-beta T cell	gut endothelial cell	88
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	125
CD4-positive, alpha-beta T cell	intestinal tuft cell	33
CD4-positive, alpha-beta T cell	large intestine goblet cell	138
CD4-positive, alpha-beta T cell	mast cell	12
CD4-positive, alpha-beta T cell	monocyte	139
CD4-positive, alpha-beta T cell	paneth cell of colon	110
CD4-positive, alpha-beta T cell	plasma cell	54
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	113
CD8-positive, alpha-beta T cell	B cell	136
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	167
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	171
CD8-positive, alpha-beta T cell	fibroblast	162
CD8-positive, alpha-beta T cell	gut endothelial cell	74
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	107
CD8-positive, alpha-beta T cell	intestinal tuft cell	26
CD8-positive, alpha-beta T cell	large intestine goblet cell	115
CD8-positive, alpha-beta T cell	mast cell	10
CD8-positive, alpha-beta T cell	monocyte	114
CD8-positive, alpha-beta T cell	paneth cell of colon	94
CD8-positive, alpha-beta T cell	plasma cell	48
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	99
enterocyte of epithelium of large intestine	B cell	143
