column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	CADM1	CADM1	0.007	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	CADM1	NECTIN3	0.296	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN1	NECTIN3	0.318	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.315	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM6	0.027	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CD8A	0.233	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM1	0.044	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	TGM2	ADGRG1	0.017	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	DAG1	CELSR3	0.014	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	GJA3	GJA1	0.005	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	GJC1	GJA1	0.024	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	ITGAL	0.08	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	SPN	0.228	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	JAM2	JAM3	0.111	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	JAM3	JAM3	0.259	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	CHL1	L1CAM	0.019	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.114	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN3	TIGIT	0.176	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	ENTPD1	ADORA2B	0.364	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	POMC	MC1R	0.186	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	LRFN4	PTPRS	0.008	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	APP	CD74	0.138	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	APP	SORL1	0.191	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	APP	TNFRSF21	0.024	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	PI16	TNFRSF21	0.009	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.145	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
B cell|CD4-positive, alpha-beta T cell	APOA1	ABCA1	0.048	133	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM658.HHLH.689_reg001
