source	target	count
B cell	CD4-positive, alpha-beta T cell	84
B cell	CD8-positive, alpha-beta T cell	86
B cell	enterocyte of epithelium of large intestine	152
B cell	fibroblast	120
B cell	gut endothelial cell	64
B cell	intestinal crypt stem cell of large intestine	88
B cell	intestinal enteroendocrine cell	58
B cell	intestinal tuft cell	57
B cell	large intestine goblet cell	128
B cell	mast cell	31
B cell	monocyte	91
B cell	neutrophil	38
B cell	paneth cell of colon	64
B cell	plasma cell	29
B cell	transit amplifying cell of colon	72
CD4-positive, alpha-beta T cell	B cell	79
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	144
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	271
CD4-positive, alpha-beta T cell	fibroblast	210
CD4-positive, alpha-beta T cell	gut endothelial cell	109
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	163
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	102
CD4-positive, alpha-beta T cell	intestinal tuft cell	103
CD4-positive, alpha-beta T cell	large intestine goblet cell	238
CD4-positive, alpha-beta T cell	mast cell	40
CD4-positive, alpha-beta T cell	monocyte	170
CD4-positive, alpha-beta T cell	neutrophil	62
CD4-positive, alpha-beta T cell	paneth cell of colon	131
CD4-positive, alpha-beta T cell	plasma cell	59
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	136
CD8-positive, alpha-beta T cell	B cell	82
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	145
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	276
CD8-positive, alpha-beta T cell	fibroblast	211
CD8-positive, alpha-beta T cell	gut endothelial cell	113
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	161
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	103
CD8-positive, alpha-beta T cell	intestinal tuft cell	102
CD8-positive, alpha-beta T cell	large intestine goblet cell	239
CD8-positive, alpha-beta T cell	mast cell	43
CD8-positive, alpha-beta T cell	monocyte	171
CD8-positive, alpha-beta T cell	neutrophil	64
CD8-positive, alpha-beta T cell	paneth cell of colon	133
CD8-positive, alpha-beta T cell	plasma cell	62
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	136
enterocyte of epithelium of large intestine	B cell	126
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	243
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	262
enterocyte of epithelium of large intestine	fibroblast	478
enterocyte of epithelium of large intestine	gut endothelial cell	236
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	331
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	222
enterocyte of epithelium of large intestine	intestinal tuft cell	212
enterocyte of epithelium of large intestine	large intestine goblet cell	541
enterocyte of epithelium of large intestine	mast cell	68
enterocyte of epithelium of large intestine	monocyte	362
enterocyte of epithelium of large intestine	neutrophil	96
enterocyte of epithelium of large intestine	paneth cell of colon	271
enterocyte of epithelium of large intestine	plasma cell	98
enterocyte of epithelium of large intestine	transit amplifying cell of colon	272
fibroblast	B cell	111
fibroblast	CD4-positive, alpha-beta T cell	218
