source	target	count
B cell	CD4-positive, alpha-beta T cell	76
B cell	CD8-positive, alpha-beta T cell	80
B cell	enterocyte of epithelium of large intestine	126
B cell	fibroblast	97
B cell	gut endothelial cell	48
B cell	intestinal crypt stem cell of large intestine	73
B cell	intestinal enteroendocrine cell	46
B cell	intestinal tuft cell	33
B cell	large intestine goblet cell	97
B cell	mast cell	16
B cell	monocyte	72
B cell	neutrophil	37
B cell	paneth cell of colon	50
B cell	plasma cell	28
B cell	transit amplifying cell of colon	66
CD4-positive, alpha-beta T cell	B cell	67
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	130
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	248
CD4-positive, alpha-beta T cell	fibroblast	196
CD4-positive, alpha-beta T cell	gut endothelial cell	103
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	147
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	96
CD4-positive, alpha-beta T cell	intestinal tuft cell	75
CD4-positive, alpha-beta T cell	large intestine goblet cell	200
CD4-positive, alpha-beta T cell	mast cell	31
CD4-positive, alpha-beta T cell	monocyte	153
CD4-positive, alpha-beta T cell	neutrophil	60
CD4-positive, alpha-beta T cell	paneth cell of colon	120
CD4-positive, alpha-beta T cell	plasma cell	59
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	134
CD8-positive, alpha-beta T cell	B cell	70
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	137
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	248
CD8-positive, alpha-beta T cell	fibroblast	190
CD8-positive, alpha-beta T cell	gut endothelial cell	103
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	152
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	100
CD8-positive, alpha-beta T cell	intestinal tuft cell	74
CD8-positive, alpha-beta T cell	large intestine goblet cell	200
CD8-positive, alpha-beta T cell	mast cell	30
CD8-positive, alpha-beta T cell	monocyte	150
CD8-positive, alpha-beta T cell	neutrophil	59
CD8-positive, alpha-beta T cell	paneth cell of colon	127
CD8-positive, alpha-beta T cell	plasma cell	62
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	138
enterocyte of epithelium of large intestine	B cell	102
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	250
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	226
enterocyte of epithelium of large intestine	fibroblast	461
enterocyte of epithelium of large intestine	gut endothelial cell	210
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	314
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	216
enterocyte of epithelium of large intestine	intestinal tuft cell	168
enterocyte of epithelium of large intestine	large intestine goblet cell	464
enterocyte of epithelium of large intestine	mast cell	52
enterocyte of epithelium of large intestine	monocyte	341
enterocyte of epithelium of large intestine	neutrophil	83
enterocyte of epithelium of large intestine	paneth cell of colon	273
enterocyte of epithelium of large intestine	plasma cell	101
enterocyte of epithelium of large intestine	transit amplifying cell of colon	275
fibroblast	B cell	93
fibroblast	CD4-positive, alpha-beta T cell	217
fibroblast	CD8-positive, alpha-beta T cell	199
fibroblast	enterocyte of epithelium of large intestine	476
fibroblast	gut endothelial cell	184
fibroblast	intestinal crypt stem cell of large intestine	270
fibroblast	intestinal enteroendocrine cell	184
