source	target	count
B cell	CD4-positive, alpha-beta T cell	99
B cell	CD8-positive, alpha-beta T cell	102
B cell	enterocyte of epithelium of large intestine	179
B cell	fibroblast	128
B cell	gut endothelial cell	85
B cell	intestinal crypt stem cell of large intestine	94
B cell	intestinal enteroendocrine cell	66
B cell	intestinal tuft cell	71
B cell	large intestine goblet cell	143
B cell	mast cell	34
B cell	monocyte	110
B cell	neutrophil	38
B cell	paneth cell of colon	90
B cell	plasma cell	27
B cell	transit amplifying cell of colon	79
CD4-positive, alpha-beta T cell	B cell	92
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	152
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	307
CD4-positive, alpha-beta T cell	fibroblast	223
CD4-positive, alpha-beta T cell	gut endothelial cell	144
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	152
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	110
CD4-positive, alpha-beta T cell	intestinal tuft cell	113
CD4-positive, alpha-beta T cell	large intestine goblet cell	257
CD4-positive, alpha-beta T cell	mast cell	41
CD4-positive, alpha-beta T cell	monocyte	191
CD4-positive, alpha-beta T cell	neutrophil	53
CD4-positive, alpha-beta T cell	paneth cell of colon	164
CD4-positive, alpha-beta T cell	plasma cell	39
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	132
CD8-positive, alpha-beta T cell	B cell	92
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	141
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	276
CD8-positive, alpha-beta T cell	fibroblast	199
CD8-positive, alpha-beta T cell	gut endothelial cell	133
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	145
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	106
CD8-positive, alpha-beta T cell	intestinal tuft cell	103
CD8-positive, alpha-beta T cell	large intestine goblet cell	224
CD8-positive, alpha-beta T cell	mast cell	38
CD8-positive, alpha-beta T cell	monocyte	168
CD8-positive, alpha-beta T cell	neutrophil	51
CD8-positive, alpha-beta T cell	paneth cell of colon	148
CD8-positive, alpha-beta T cell	plasma cell	35
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	124
enterocyte of epithelium of large intestine	B cell	150
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	283
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	270
enterocyte of epithelium of large intestine	fibroblast	499
enterocyte of epithelium of large intestine	gut endothelial cell	291
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	317
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	240
enterocyte of epithelium of large intestine	intestinal tuft cell	231
enterocyte of epithelium of large intestine	large intestine goblet cell	577
enterocyte of epithelium of large intestine	mast cell	68
enterocyte of epithelium of large intestine	monocyte	404
enterocyte of epithelium of large intestine	neutrophil	88
enterocyte of epithelium of large intestine	paneth cell of colon	342
enterocyte of epithelium of large intestine	plasma cell	72
enterocyte of epithelium of large intestine	transit amplifying cell of colon	268
fibroblast	B cell	134
fibroblast	CD4-positive, alpha-beta T cell	227
fibroblast	CD8-positive, alpha-beta T cell	222
fibroblast	enterocyte of epithelium of large intestine	523
fibroblast	gut endothelial cell	237
fibroblast	intestinal crypt stem cell of large intestine	263
fibroblast	intestinal enteroendocrine cell	199
fibroblast	intestinal tuft cell	195
fibroblast	large intestine goblet cell	454
fibroblast	mast cell	60
fibroblast	monocyte	322
fibroblast	neutrophil	80
fibroblast	paneth cell of colon	274
fibroblast	plasma cell	61
fibroblast	transit amplifying cell of colon	223
gut endothelial cell	B cell	77
