source	target	count
B cell	CD4-positive, alpha-beta T cell	122
B cell	CD8-positive, alpha-beta T cell	115
B cell	enterocyte of epithelium of large intestine	153
B cell	fibroblast	148
B cell	gut endothelial cell	65
B cell	intestinal crypt stem cell of large intestine	99
B cell	intestinal enteroendocrine cell	36
B cell	intestinal tuft cell	41
B cell	large intestine goblet cell	105
B cell	mast cell	33
B cell	monocyte	109
B cell	neutrophil	37
B cell	paneth cell of colon	69
B cell	plasma cell	46
B cell	transit amplifying cell of colon	84
CD4-positive, alpha-beta T cell	B cell	144
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	173
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	235
CD4-positive, alpha-beta T cell	fibroblast	239
CD4-positive, alpha-beta T cell	gut endothelial cell	98
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	153
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	56
CD4-positive, alpha-beta T cell	intestinal tuft cell	65
CD4-positive, alpha-beta T cell	large intestine goblet cell	174
CD4-positive, alpha-beta T cell	mast cell	54
CD4-positive, alpha-beta T cell	monocyte	160
CD4-positive, alpha-beta T cell	neutrophil	56
CD4-positive, alpha-beta T cell	paneth cell of colon	121
CD4-positive, alpha-beta T cell	plasma cell	77
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	139
CD8-positive, alpha-beta T cell	B cell	123
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	158
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	196
CD8-positive, alpha-beta T cell	fibroblast	184
CD8-positive, alpha-beta T cell	gut endothelial cell	82
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	126
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	44
CD8-positive, alpha-beta T cell	intestinal tuft cell	53
CD8-positive, alpha-beta T cell	large intestine goblet cell	132
CD8-positive, alpha-beta T cell	mast cell	45
CD8-positive, alpha-beta T cell	monocyte	129
CD8-positive, alpha-beta T cell	neutrophil	48
CD8-positive, alpha-beta T cell	paneth cell of colon	100
CD8-positive, alpha-beta T cell	plasma cell	62
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	115
enterocyte of epithelium of large intestine	B cell	146
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	216
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	191
enterocyte of epithelium of large intestine	fibroblast	300
enterocyte of epithelium of large intestine	gut endothelial cell	122
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	185
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	59
enterocyte of epithelium of large intestine	intestinal tuft cell	79
enterocyte of epithelium of large intestine	large intestine goblet cell	211
enterocyte of epithelium of large intestine	mast cell	47
enterocyte of epithelium of large intestine	monocyte	200
enterocyte of epithelium of large intestine	neutrophil	49
enterocyte of epithelium of large intestine	paneth cell of colon	147
enterocyte of epithelium of large intestine	plasma cell	77
enterocyte of epithelium of large intestine	transit amplifying cell of colon	168
fibroblast	B cell	167
fibroblast	CD4-positive, alpha-beta T cell	249
fibroblast	CD8-positive, alpha-beta T cell	212
fibroblast	enterocyte of epithelium of large intestine	323
fibroblast	gut endothelial cell	134
fibroblast	intestinal crypt stem cell of large intestine	209
fibroblast	intestinal enteroendocrine cell	69
fibroblast	intestinal tuft cell	92
fibroblast	large intestine goblet cell	234
fibroblast	mast cell	56
fibroblast	monocyte	230
fibroblast	neutrophil	60
fibroblast	paneth cell of colon	161
fibroblast	plasma cell	92
fibroblast	transit amplifying cell of colon	185
gut endothelial cell	B cell	70
gut endothelial cell	CD4-positive, alpha-beta T cell	86
gut endothelial cell	CD8-positive, alpha-beta T cell	73
gut endothelial cell	enterocyte of epithelium of large intestine	118
gut endothelial cell	fibroblast	125
gut endothelial cell	intestinal crypt stem cell of large intestine	79
gut endothelial cell	intestinal enteroendocrine cell	25
gut endothelial cell	intestinal tuft cell	37
gut endothelial cell	large intestine goblet cell	96
gut endothelial cell	mast cell	22
gut endothelial cell	monocyte	80
gut endothelial cell	neutrophil	31
gut endothelial cell	paneth cell of colon	64
gut endothelial cell	plasma cell	31
gut endothelial cell	transit amplifying cell of colon	75
intestinal crypt stem cell of large intestine	B cell	105
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	138
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	123
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	183
intestinal crypt stem cell of large intestine	fibroblast	191
intestinal crypt stem cell of large intestine	gut endothelial cell	74
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	40
intestinal crypt stem cell of large intestine	intestinal tuft cell	57
intestinal crypt stem cell of large intestine	large intestine goblet cell	140
intestinal crypt stem cell of large intestine	mast cell	32
intestinal crypt stem cell of large intestine	monocyte	133
intestinal crypt stem cell of large intestine	neutrophil	29
intestinal crypt stem cell of large intestine	paneth cell of colon	103
intestinal crypt stem cell of large intestine	plasma cell	51
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	122
intestinal enteroendocrine cell	B cell	36
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	50
intestinal enteroendocrine cell	CD8-positive, alpha-beta T cell	43
intestinal enteroendocrine cell	enterocyte of epithelium of large intestine	71
intestinal enteroendocrine cell	fibroblast	68
intestinal enteroendocrine cell	gut endothelial cell	24
intestinal enteroendocrine cell	intestinal crypt stem cell of large intestine	43
intestinal enteroendocrine cell	intestinal tuft cell	22
intestinal enteroendocrine cell	large intestine goblet cell	48
intestinal enteroendocrine cell	mast cell	11
intestinal enteroendocrine cell	monocyte	40
intestinal enteroendocrine cell	neutrophil	14
intestinal enteroendocrine cell	paneth cell of colon	41
intestinal enteroendocrine cell	plasma cell	15
intestinal enteroendocrine cell	transit amplifying cell of colon	43
intestinal tuft cell	B cell	35
intestinal tuft cell	CD4-positive, alpha-beta T cell	52
intestinal tuft cell	CD8-positive, alpha-beta T cell	47
intestinal tuft cell	enterocyte of epithelium of large intestine	71
intestinal tuft cell	fibroblast	73
intestinal tuft cell	gut endothelial cell	27
intestinal tuft cell	intestinal crypt stem cell of large intestine	49
intestinal tuft cell	intestinal enteroendocrine cell	21
intestinal tuft cell	large intestine goblet cell	65
intestinal tuft cell	mast cell	11
intestinal tuft cell	monocyte	42
intestinal tuft cell	neutrophil	15
intestinal tuft cell	paneth cell of colon	40
intestinal tuft cell	plasma cell	21
intestinal tuft cell	transit amplifying cell of colon	51
large intestine goblet cell	B cell	109
large intestine goblet cell	CD4-positive, alpha-beta T cell	154
large intestine goblet cell	CD8-positive, alpha-beta T cell	133
large intestine goblet cell	enterocyte of epithelium of large intestine	214
large intestine goblet cell	fibroblast	220
large intestine goblet cell	gut endothelial cell	84
large intestine goblet cell	intestinal crypt stem cell of large intestine	141
large intestine goblet cell	intestinal enteroendocrine cell	50
large intestine goblet cell	intestinal tuft cell	57
large intestine goblet cell	mast cell	37
large intestine goblet cell	monocyte	153
large intestine goblet cell	neutrophil	38
large intestine goblet cell	paneth cell of colon	120
large intestine goblet cell	plasma cell	53
large intestine goblet cell	transit amplifying cell of colon	138
mast cell	B cell	31
mast cell	CD4-positive, alpha-beta T cell	44
mast cell	CD8-positive, alpha-beta T cell	44
mast cell	enterocyte of epithelium of large intestine	56
mast cell	fibroblast	55
mast cell	gut endothelial cell	30
mast cell	intestinal crypt stem cell of large intestine	31
mast cell	intestinal enteroendocrine cell	14
mast cell	intestinal tuft cell	16
mast cell	large intestine goblet cell	39
mast cell	monocyte	31
mast cell	neutrophil	21
mast cell	paneth cell of colon	26
mast cell	plasma cell	17
mast cell	transit amplifying cell of colon	30
monocyte	B cell	106
monocyte	CD4-positive, alpha-beta T cell	157
monocyte	CD8-positive, alpha-beta T cell	132
monocyte	enterocyte of epithelium of large intestine	215
monocyte	fibroblast	223
monocyte	gut endothelial cell	85
monocyte	intestinal crypt stem cell of large intestine	127
monocyte	intestinal enteroendocrine cell	45
monocyte	intestinal tuft cell	63
monocyte	large intestine goblet cell	156
monocyte	mast cell	36
monocyte	neutrophil	41
