column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	CADM1	CADM1	0.017	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	CADM1	NECTIN3	0.263	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN1	NECTIN3	0.297	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.259	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	TGM2	ADGRG1	0.03	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	GJA3	GJA1	0.06	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	GJC1	GJA1	0.027	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	ITGAL	0.152	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	SPN	0.257	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	JAM2	JAM3	0.105	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	JAM3	JAM3	0.216	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.138	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN3	TIGIT	0.2	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	ENTPD1	ADORA3	0.361	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	POMC	MC1R	0.058	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	LRFN4	PTPRS	0.028	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	APP	CD74	0.107	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	APP	SORL1	0.214	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	APP	TNFRSF21	0.017	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.13	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	ANXA1	FPR1	0.041	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
B cell|CD4-positive, alpha-beta T cell	APOA1	ABCA1	0.051	122	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM754.SFBF.894_reg001
