source	target	count
B cell	CD4-positive, alpha-beta T cell	66
B cell	CD8-positive, alpha-beta T cell	74
B cell	enterocyte of epithelium of large intestine	117
B cell	fibroblast	84
B cell	gut endothelial cell	52
B cell	intestinal crypt stem cell of large intestine	74
B cell	intestinal enteroendocrine cell	53
B cell	intestinal tuft cell	45
B cell	large intestine goblet cell	92
B cell	mast cell	16
B cell	monocyte	72
B cell	neutrophil	30
B cell	paneth cell of colon	56
B cell	plasma cell	24
B cell	transit amplifying cell of colon	65
CD4-positive, alpha-beta T cell	B cell	70
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	121
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	223
CD4-positive, alpha-beta T cell	fibroblast	184
CD4-positive, alpha-beta T cell	gut endothelial cell	102
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	144
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	96
CD4-positive, alpha-beta T cell	intestinal tuft cell	87
CD4-positive, alpha-beta T cell	large intestine goblet cell	177
CD4-positive, alpha-beta T cell	mast cell	35
CD4-positive, alpha-beta T cell	monocyte	153
CD4-positive, alpha-beta T cell	neutrophil	50
CD4-positive, alpha-beta T cell	paneth cell of colon	116
CD4-positive, alpha-beta T cell	plasma cell	35
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	128
CD8-positive, alpha-beta T cell	B cell	73
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	118
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	230
CD8-positive, alpha-beta T cell	fibroblast	176
CD8-positive, alpha-beta T cell	gut endothelial cell	104
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	147
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	95
CD8-positive, alpha-beta T cell	intestinal tuft cell	85
CD8-positive, alpha-beta T cell	large intestine goblet cell	180
CD8-positive, alpha-beta T cell	mast cell	37
CD8-positive, alpha-beta T cell	monocyte	151
CD8-positive, alpha-beta T cell	neutrophil	49
CD8-positive, alpha-beta T cell	paneth cell of colon	115
CD8-positive, alpha-beta T cell	plasma cell	36
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	126
enterocyte of epithelium of large intestine	B cell	101
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	195
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	198
enterocyte of epithelium of large intestine	fibroblast	380
enterocyte of epithelium of large intestine	gut endothelial cell	194
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	285
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	194
enterocyte of epithelium of large intestine	intestinal tuft cell	167
enterocyte of epithelium of large intestine	large intestine goblet cell	373
enterocyte of epithelium of large intestine	mast cell	62
enterocyte of epithelium of large intestine	monocyte	319
enterocyte of epithelium of large intestine	neutrophil	71
enterocyte of epithelium of large intestine	paneth cell of colon	214
enterocyte of epithelium of large intestine	plasma cell	48
enterocyte of epithelium of large intestine	transit amplifying cell of colon	240
fibroblast	B cell	96
fibroblast	CD4-positive, alpha-beta T cell	181
fibroblast	CD8-positive, alpha-beta T cell	178
fibroblast	enterocyte of epithelium of large intestine	435
fibroblast	gut endothelial cell	178
fibroblast	intestinal crypt stem cell of large intestine	268
fibroblast	intestinal enteroendocrine cell	186
fibroblast	intestinal tuft cell	159
fibroblast	large intestine goblet cell	351
fibroblast	mast cell	49
fibroblast	monocyte	302
fibroblast	neutrophil	69
fibroblast	paneth cell of colon	199
fibroblast	plasma cell	44
fibroblast	transit amplifying cell of colon	222
gut endothelial cell	B cell	50
gut endothelial cell	CD4-positive, alpha-beta T cell	81
gut endothelial cell	CD8-positive, alpha-beta T cell	90
gut endothelial cell	enterocyte of epithelium of large intestine	182
gut endothelial cell	fibroblast	152
gut endothelial cell	intestinal crypt stem cell of large intestine	115
gut endothelial cell	intestinal enteroendocrine cell	80
gut endothelial cell	intestinal tuft cell	66
gut endothelial cell	large intestine goblet cell	146
gut endothelial cell	mast cell	28
gut endothelial cell	monocyte	122
gut endothelial cell	neutrophil	32
gut endothelial cell	paneth cell of colon	92
gut endothelial cell	plasma cell	22
gut endothelial cell	transit amplifying cell of colon	103
intestinal crypt stem cell of large intestine	B cell	59
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	109
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	108
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	265
intestinal crypt stem cell of large intestine	fibroblast	222
intestinal crypt stem cell of large intestine	gut endothelial cell	112
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	113
intestinal crypt stem cell of large intestine	intestinal tuft cell	103
intestinal crypt stem cell of large intestine	large intestine goblet cell	218
intestinal crypt stem cell of large intestine	mast cell	35
intestinal crypt stem cell of large intestine	monocyte	192
intestinal crypt stem cell of large intestine	neutrophil	40
intestinal crypt stem cell of large intestine	paneth cell of colon	128
intestinal crypt stem cell of large intestine	plasma cell	32
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	146
intestinal enteroendocrine cell	B cell	43
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	77
