source	target	count
B cell	CD4-positive, alpha-beta T cell	103
B cell	CD8-positive, alpha-beta T cell	103
B cell	enterocyte of epithelium of large intestine	170
B cell	fibroblast	133
B cell	gut endothelial cell	73
B cell	intestinal crypt stem cell of large intestine	100
B cell	intestinal enteroendocrine cell	66
B cell	intestinal tuft cell	69
B cell	large intestine goblet cell	130
B cell	mast cell	26
B cell	monocyte	93
B cell	neutrophil	25
B cell	paneth cell of colon	82
B cell	plasma cell	36
B cell	transit amplifying cell of colon	77
CD4-positive, alpha-beta T cell	B cell	124
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	165
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	292
CD4-positive, alpha-beta T cell	fibroblast	232
CD4-positive, alpha-beta T cell	gut endothelial cell	119
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	159
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	102
CD4-positive, alpha-beta T cell	intestinal tuft cell	103
CD4-positive, alpha-beta T cell	large intestine goblet cell	236
CD4-positive, alpha-beta T cell	mast cell	31
CD4-positive, alpha-beta T cell	monocyte	153
CD4-positive, alpha-beta T cell	neutrophil	39
CD4-positive, alpha-beta T cell	paneth cell of colon	146
CD4-positive, alpha-beta T cell	plasma cell	53
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	124
CD8-positive, alpha-beta T cell	B cell	116
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	145
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	265
CD8-positive, alpha-beta T cell	fibroblast	203
CD8-positive, alpha-beta T cell	gut endothelial cell	107
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	150
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	96
CD8-positive, alpha-beta T cell	intestinal tuft cell	96
CD8-positive, alpha-beta T cell	large intestine goblet cell	208
CD8-positive, alpha-beta T cell	mast cell	27
CD8-positive, alpha-beta T cell	monocyte	132
CD8-positive, alpha-beta T cell	neutrophil	37
CD8-positive, alpha-beta T cell	paneth cell of colon	133
CD8-positive, alpha-beta T cell	plasma cell	50
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	115
enterocyte of epithelium of large intestine	B cell	175
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	241
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	277
enterocyte of epithelium of large intestine	fibroblast	421
enterocyte of epithelium of large intestine	gut endothelial cell	199
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	262
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	171
enterocyte of epithelium of large intestine	intestinal tuft cell	166
enterocyte of epithelium of large intestine	large intestine goblet cell	438
