source	target	count
B cell	CD4-positive, alpha-beta T cell	160
B cell	CD8-positive, alpha-beta T cell	155
B cell	enterocyte of epithelium of large intestine	210
B cell	fibroblast	188
B cell	gut endothelial cell	70
B cell	intestinal crypt stem cell of large intestine	126
B cell	intestinal enteroendocrine cell	58
B cell	intestinal tuft cell	49
B cell	large intestine goblet cell	146
B cell	mast cell	46
B cell	monocyte	127
B cell	neutrophil	35
B cell	paneth cell of colon	105
B cell	plasma cell	64
B cell	transit amplifying cell of colon	106
CD4-positive, alpha-beta T cell	B cell	173
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	200
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	288
CD4-positive, alpha-beta T cell	fibroblast	260
CD4-positive, alpha-beta T cell	gut endothelial cell	97
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	176
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	82
CD4-positive, alpha-beta T cell	intestinal tuft cell	62
CD4-positive, alpha-beta T cell	large intestine goblet cell	207
CD4-positive, alpha-beta T cell	mast cell	51
CD4-positive, alpha-beta T cell	monocyte	163
CD4-positive, alpha-beta T cell	neutrophil	48
CD4-positive, alpha-beta T cell	paneth cell of colon	151
CD4-positive, alpha-beta T cell	plasma cell	81
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	152
CD8-positive, alpha-beta T cell	B cell	148
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	183
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	244
CD8-positive, alpha-beta T cell	fibroblast	224
CD8-positive, alpha-beta T cell	gut endothelial cell	87
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	148
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	73
CD8-positive, alpha-beta T cell	intestinal tuft cell	54
CD8-positive, alpha-beta T cell	large intestine goblet cell	173
CD8-positive, alpha-beta T cell	mast cell	51
CD8-positive, alpha-beta T cell	monocyte	143
CD8-positive, alpha-beta T cell	neutrophil	44
CD8-positive, alpha-beta T cell	paneth cell of colon	125
CD8-positive, alpha-beta T cell	plasma cell	69
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	127
enterocyte of epithelium of large intestine	B cell	191
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	266
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	248
enterocyte of epithelium of large intestine	fibroblast	343
enterocyte of epithelium of large intestine	gut endothelial cell	130
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	211
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	95
enterocyte of epithelium of large intestine	intestinal tuft cell	84
enterocyte of epithelium of large intestine	large intestine goblet cell	268
enterocyte of epithelium of large intestine	mast cell	60
enterocyte of epithelium of large intestine	monocyte	215
enterocyte of epithelium of large intestine	neutrophil	48
enterocyte of epithelium of large intestine	paneth cell of colon	183
enterocyte of epithelium of large intestine	plasma cell	96
enterocyte of epithelium of large intestine	transit amplifying cell of colon	178
fibroblast	B cell	199
fibroblast	CD4-positive, alpha-beta T cell	276
fibroblast	CD8-positive, alpha-beta T cell	258
fibroblast	enterocyte of epithelium of large intestine	382
fibroblast	gut endothelial cell	130
fibroblast	intestinal crypt stem cell of large intestine	220
fibroblast	intestinal enteroendocrine cell	95
fibroblast	intestinal tuft cell	90
fibroblast	large intestine goblet cell	287
fibroblast	mast cell	62
fibroblast	monocyte	233
fibroblast	neutrophil	51
fibroblast	paneth cell of colon	192
fibroblast	plasma cell	101
fibroblast	transit amplifying cell of colon	183
gut endothelial cell	B cell	85
gut endothelial cell	CD4-positive, alpha-beta T cell	104
gut endothelial cell	CD8-positive, alpha-beta T cell	96
gut endothelial cell	enterocyte of epithelium of large intestine	148
gut endothelial cell	fibroblast	136
gut endothelial cell	intestinal crypt stem cell of large intestine	87
gut endothelial cell	intestinal enteroendocrine cell	34
gut endothelial cell	intestinal tuft cell	40
gut endothelial cell	large intestine goblet cell	112
gut endothelial cell	mast cell	29
gut endothelial cell	monocyte	82
gut endothelial cell	neutrophil	24
gut endothelial cell	paneth cell of colon	83
gut endothelial cell	plasma cell	35
gut endothelial cell	transit amplifying cell of colon	74
intestinal crypt stem cell of large intestine	B cell	129
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	157
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	142
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	219
intestinal crypt stem cell of large intestine	fibroblast	202
intestinal crypt stem cell of large intestine	gut endothelial cell	75
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	63
intestinal crypt stem cell of large intestine	intestinal tuft cell	60
intestinal crypt stem cell of large intestine	large intestine goblet cell	170
intestinal crypt stem cell of large intestine	mast cell	45
intestinal crypt stem cell of large intestine	monocyte	128
intestinal crypt stem cell of large intestine	neutrophil	29
intestinal crypt stem cell of large intestine	paneth cell of colon	123
intestinal crypt stem cell of large intestine	plasma cell	64
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	127
intestinal enteroendocrine cell	B cell	66
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	79
intestinal enteroendocrine cell	CD8-positive, alpha-beta T cell	77
intestinal enteroendocrine cell	enterocyte of epithelium of large intestine	123
intestinal enteroendocrine cell	fibroblast	106
