column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	CADM1	CADM1	0.041	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	CADM1	NECTIN3	0.344	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN1	NECTIN3	0.315	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.321	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM6	0.005	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM6	CEACAM6	0.002	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CD8A	0.185	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	CEACAM5	CEACAM1	0.015	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	TGM2	ADGRG1	0.038	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	DAG1	CELSR3	0.102	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	GJA3	GJA1	0.05	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	GJC1	GJA1	0.054	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	GJA3	GJC1	0.048	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	GJC1	GJC1	0.052	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	ITGAL	0.116	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	ICAM1	SPN	0.215	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	JAM2	JAM3	0.14	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	JAM3	JAM3	0.266	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	L1CAM	L1CAM	0.011	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.151	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN3	TIGIT	0.206	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	ENTPD1	ADORA2B	0.386	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	ENTPD1	ADORA3	0.392	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	ASIP	MC1R	0.017	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	POMC	MC1R	0.111	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	LRFN4	PTPRS	0.046	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	APP	CD74	0.113	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	APP	SORL1	0.211	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	APP	TNFRSF21	0.02	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.111	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
B cell|CD4-positive, alpha-beta T cell	ANGPT2	TEK	0.04	160	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM937.XPRG.696_reg001
