source	target	count
B cell	CD4-positive, alpha-beta T cell	97
B cell	CD8-positive, alpha-beta T cell	100
B cell	enterocyte of epithelium of large intestine	163
B cell	fibroblast	122
B cell	gut endothelial cell	59
B cell	intestinal crypt stem cell of large intestine	84
B cell	intestinal enteroendocrine cell	58
B cell	intestinal tuft cell	60
B cell	large intestine goblet cell	121
B cell	mast cell	20
B cell	monocyte	86
B cell	neutrophil	24
B cell	paneth cell of colon	68
B cell	plasma cell	39
B cell	transit amplifying cell of colon	63
CD4-positive, alpha-beta T cell	B cell	100
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	142
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	256
CD4-positive, alpha-beta T cell	fibroblast	195
CD4-positive, alpha-beta T cell	gut endothelial cell	93
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	132
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	87
CD4-positive, alpha-beta T cell	intestinal tuft cell	87
CD4-positive, alpha-beta T cell	large intestine goblet cell	200
CD4-positive, alpha-beta T cell	mast cell	22
CD4-positive, alpha-beta T cell	monocyte	141
CD4-positive, alpha-beta T cell	neutrophil	38
CD4-positive, alpha-beta T cell	paneth cell of colon	113
CD4-positive, alpha-beta T cell	plasma cell	53
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	95
CD8-positive, alpha-beta T cell	B cell	102
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	132
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	240
CD8-positive, alpha-beta T cell	fibroblast	179
CD8-positive, alpha-beta T cell	gut endothelial cell	89
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	129
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	83
CD8-positive, alpha-beta T cell	intestinal tuft cell	91
CD8-positive, alpha-beta T cell	large intestine goblet cell	182
CD8-positive, alpha-beta T cell	mast cell	21
CD8-positive, alpha-beta T cell	monocyte	134
CD8-positive, alpha-beta T cell	neutrophil	34
CD8-positive, alpha-beta T cell	paneth cell of colon	109
CD8-positive, alpha-beta T cell	plasma cell	51
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	94
enterocyte of epithelium of large intestine	B cell	159
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	241
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	250
enterocyte of epithelium of large intestine	fibroblast	415
enterocyte of epithelium of large intestine	gut endothelial cell	178
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	251
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	161
enterocyte of epithelium of large intestine	intestinal tuft cell	185
enterocyte of epithelium of large intestine	large intestine goblet cell	433
enterocyte of epithelium of large intestine	mast cell	39
