column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	NECTIN2	NECTIN3	0.771	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	GJC1	GJC1	1.518	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	NECTIN2	TIGIT	0.606	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	APP	CD74	0.321	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	APP	SORL1	0.357	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	APLP2	PIGR	0.2	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	LRPAP1	SORT1	0.326	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	RARRES2	CCRL2	0.34	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	EFNA5	EPHA4	0.98	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	EFNB2	EPHA4	0.466	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	GAS6	TYRO3	0.509	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	HLA-E	VSIR	0.792	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	CD55	ADGRE5	1.556	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	PODXL2	SELL	1.249	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
B cell|CD4-positive, alpha-beta T cell	TGFB1	TGFBR3	0.361	22	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM972.WNBG.933_reg001
