source	target	count
B cell	CD4-positive, alpha-beta T cell	11
B cell	CD8-positive, alpha-beta T cell	14
B cell	enterocyte of epithelium of large intestine	19
B cell	fibroblast	16
B cell	gut endothelial cell	9
B cell	intestinal crypt stem cell of large intestine	13
B cell	intestinal enteroendocrine cell	9
B cell	intestinal tuft cell	5
B cell	large intestine goblet cell	10
B cell	monocyte	12
B cell	paneth cell of colon	9
B cell	transit amplifying cell of colon	12
CD4-positive, alpha-beta T cell	B cell	15
CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	64
CD4-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	131
CD4-positive, alpha-beta T cell	fibroblast	102
CD4-positive, alpha-beta T cell	gut endothelial cell	55
CD4-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	86
CD4-positive, alpha-beta T cell	intestinal enteroendocrine cell	46
CD4-positive, alpha-beta T cell	intestinal tuft cell	42
CD4-positive, alpha-beta T cell	large intestine goblet cell	90
CD4-positive, alpha-beta T cell	monocyte	82
CD4-positive, alpha-beta T cell	paneth cell of colon	70
CD4-positive, alpha-beta T cell	transit amplifying cell of colon	75
CD8-positive, alpha-beta T cell	B cell	13
CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	64
CD8-positive, alpha-beta T cell	enterocyte of epithelium of large intestine	146
CD8-positive, alpha-beta T cell	fibroblast	114
CD8-positive, alpha-beta T cell	gut endothelial cell	64
CD8-positive, alpha-beta T cell	intestinal crypt stem cell of large intestine	95
CD8-positive, alpha-beta T cell	intestinal enteroendocrine cell	53
CD8-positive, alpha-beta T cell	intestinal tuft cell	47
CD8-positive, alpha-beta T cell	large intestine goblet cell	97
CD8-positive, alpha-beta T cell	monocyte	86
CD8-positive, alpha-beta T cell	paneth cell of colon	79
CD8-positive, alpha-beta T cell	transit amplifying cell of colon	84
enterocyte of epithelium of large intestine	B cell	22
enterocyte of epithelium of large intestine	CD4-positive, alpha-beta T cell	107
enterocyte of epithelium of large intestine	CD8-positive, alpha-beta T cell	113
enterocyte of epithelium of large intestine	fibroblast	273
enterocyte of epithelium of large intestine	gut endothelial cell	119
enterocyte of epithelium of large intestine	intestinal crypt stem cell of large intestine	203
enterocyte of epithelium of large intestine	intestinal enteroendocrine cell	110
enterocyte of epithelium of large intestine	intestinal tuft cell	102
enterocyte of epithelium of large intestine	large intestine goblet cell	227
enterocyte of epithelium of large intestine	monocyte	206
enterocyte of epithelium of large intestine	paneth cell of colon	160
enterocyte of epithelium of large intestine	transit amplifying cell of colon	169
fibroblast	B cell	22
fibroblast	CD4-positive, alpha-beta T cell	104
fibroblast	CD8-positive, alpha-beta T cell	109
fibroblast	enterocyte of epithelium of large intestine	313
fibroblast	gut endothelial cell	114
fibroblast	intestinal crypt stem cell of large intestine	197
fibroblast	intestinal enteroendocrine cell	113
fibroblast	intestinal tuft cell	101
fibroblast	large intestine goblet cell	217
fibroblast	monocyte	199
fibroblast	paneth cell of colon	154
fibroblast	transit amplifying cell of colon	169
gut endothelial cell	B cell	8
gut endothelial cell	CD4-positive, alpha-beta T cell	42
gut endothelial cell	CD8-positive, alpha-beta T cell	48
gut endothelial cell	enterocyte of epithelium of large intestine	128
gut endothelial cell	fibroblast	96
gut endothelial cell	intestinal crypt stem cell of large intestine	83
gut endothelial cell	intestinal enteroendocrine cell	43
gut endothelial cell	intestinal tuft cell	43
gut endothelial cell	large intestine goblet cell	86
gut endothelial cell	monocyte	79
gut endothelial cell	paneth cell of colon	69
gut endothelial cell	transit amplifying cell of colon	73
intestinal crypt stem cell of large intestine	B cell	16
intestinal crypt stem cell of large intestine	CD4-positive, alpha-beta T cell	75
intestinal crypt stem cell of large intestine	CD8-positive, alpha-beta T cell	79
intestinal crypt stem cell of large intestine	enterocyte of epithelium of large intestine	221
intestinal crypt stem cell of large intestine	fibroblast	176
intestinal crypt stem cell of large intestine	gut endothelial cell	81
intestinal crypt stem cell of large intestine	intestinal enteroendocrine cell	74
intestinal crypt stem cell of large intestine	intestinal tuft cell	66
intestinal crypt stem cell of large intestine	large intestine goblet cell	153
intestinal crypt stem cell of large intestine	monocyte	133
intestinal crypt stem cell of large intestine	paneth cell of colon	111
intestinal crypt stem cell of large intestine	transit amplifying cell of colon	116
intestinal enteroendocrine cell	B cell	7
intestinal enteroendocrine cell	CD4-positive, alpha-beta T cell	37
intestinal enteroendocrine cell	CD8-positive, alpha-beta T cell	43
intestinal enteroendocrine cell	enterocyte of epithelium of large intestine	106
intestinal enteroendocrine cell	fibroblast	80
intestinal enteroendocrine cell	gut endothelial cell	31
intestinal enteroendocrine cell	intestinal crypt stem cell of large intestine	67
intestinal enteroendocrine cell	intestinal tuft cell	32
intestinal enteroendocrine cell	large intestine goblet cell	71
intestinal enteroendocrine cell	monocyte	59
intestinal enteroendocrine cell	paneth cell of colon	61
intestinal enteroendocrine cell	transit amplifying cell of colon	58
intestinal tuft cell	B cell	9
intestinal tuft cell	CD4-positive, alpha-beta T cell	37
