column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD4-positive, alpha-beta T cell	HLA-E	VSIR	1.1	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	CD55	ADGRE5	1.904	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	SEMA3E	PLXND1	0.646	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	TGFB1	TGFBR3	0.603	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	TNF	TNFRSF1A	0.335	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	TNF	TNFRSF1B	0.896	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	ALCAM	CD6	1.098	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	CD47	SIRPG	0.396	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	CD58	CD2	2.221	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	CD96	NECTIN1	0.232	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD4-positive, alpha-beta T cell	PPIA	BSG	1.081	11	B cell	CD4-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	HLA-E	KLRC1	1.26	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	HLA-E	KLRC2	2.335	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	HLA-E	VSIR	1.017	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	CD55	ADGRE5	1.705	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	SEMA3E	PLXND1	0.59	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	TGFB1	TGFBR3	0.583	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	TNF	TNFRSF1A	0.338	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
B cell|CD8-positive, alpha-beta T cell	TNF	TNFRSF1B	1.107	14	B cell	CD8-positive, alpha-beta T cell	large_intestine	HBM996.CGFD.228_reg001
