source	target	count
B cell	CD141-positive myeloid dendritic cell	92
B cell	CD1c-positive myeloid dendritic cell	79
B cell	T cell	156
B cell	classical monocyte	65
B cell	effector CD4-positive, alpha-beta T cell	166
B cell	effector CD8-positive, alpha-beta T cell	169
B cell	endothelial cell	132
B cell	erythrocyte	15
B cell	hematopoietic stem cell	46
B cell	innate lymphoid cell	124
B cell	intermediate monocyte	72
B cell	macrophage	142
B cell	mast cell	35
B cell	mature NK T cell	98
B cell	mature conventional dendritic cell	21
B cell	neutrophil	40
B cell	non-classical monocyte	7
B cell	plasma cell	90
B cell	regulatory T cell	120
B cell	stromal cell	117
B cell	type I NK T cell	143
CD141-positive myeloid dendritic cell	B cell	104
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	74
CD141-positive myeloid dendritic cell	T cell	159
CD141-positive myeloid dendritic cell	classical monocyte	66
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	171
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	165
CD141-positive myeloid dendritic cell	endothelial cell	133
CD141-positive myeloid dendritic cell	erythrocyte	22
CD141-positive myeloid dendritic cell	hematopoietic stem cell	41
CD141-positive myeloid dendritic cell	innate lymphoid cell	126
CD141-positive myeloid dendritic cell	intermediate monocyte	72
CD141-positive myeloid dendritic cell	macrophage	144
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	102
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	24
CD141-positive myeloid dendritic cell	neutrophil	39
CD141-positive myeloid dendritic cell	non-classical monocyte	7
CD141-positive myeloid dendritic cell	plasma cell	78
CD141-positive myeloid dendritic cell	regulatory T cell	124
CD141-positive myeloid dendritic cell	stromal cell	111
CD141-positive myeloid dendritic cell	type I NK T cell	147
CD1c-positive myeloid dendritic cell	B cell	58
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	60
CD1c-positive myeloid dendritic cell	T cell	98
CD1c-positive myeloid dendritic cell	classical monocyte	52
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	107
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	108
CD1c-positive myeloid dendritic cell	endothelial cell	73
CD1c-positive myeloid dendritic cell	erythrocyte	15
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	22
CD1c-positive myeloid dendritic cell	innate lymphoid cell	75
CD1c-positive myeloid dendritic cell	intermediate monocyte	53
CD1c-positive myeloid dendritic cell	macrophage	97
CD1c-positive myeloid dendritic cell	mast cell	21
CD1c-positive myeloid dendritic cell	mature NK T cell	61
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	16
CD1c-positive myeloid dendritic cell	neutrophil	32
CD1c-positive myeloid dendritic cell	non-classical monocyte	6
CD1c-positive myeloid dendritic cell	plasma cell	55
CD1c-positive myeloid dendritic cell	regulatory T cell	80
CD1c-positive myeloid dendritic cell	stromal cell	58
CD1c-positive myeloid dendritic cell	type I NK T cell	98
T cell	B cell	147
T cell	CD141-positive myeloid dendritic cell	150
T cell	CD1c-positive myeloid dendritic cell	104
T cell	classical monocyte	94
T cell	effector CD4-positive, alpha-beta T cell	239
T cell	effector CD8-positive, alpha-beta T cell	231
T cell	endothelial cell	216
T cell	erythrocyte	32
T cell	hematopoietic stem cell	65
T cell	innate lymphoid cell	179
T cell	intermediate monocyte	102
T cell	macrophage	207
T cell	mast cell	48
T cell	mature NK T cell	150
T cell	mature conventional dendritic cell	31
T cell	neutrophil	57
T cell	non-classical monocyte	8
T cell	plasma cell	127
T cell	regulatory T cell	175
T cell	stromal cell	189
T cell	type I NK T cell	203
classical monocyte	B cell	54
classical monocyte	CD141-positive myeloid dendritic cell	53
classical monocyte	CD1c-positive myeloid dendritic cell	47
classical monocyte	T cell	92
classical monocyte	effector CD4-positive, alpha-beta T cell	97
classical monocyte	effector CD8-positive, alpha-beta T cell	98
classical monocyte	endothelial cell	71
classical monocyte	erythrocyte	14
classical monocyte	hematopoietic stem cell	23
classical monocyte	innate lymphoid cell	67
classical monocyte	intermediate monocyte	46
classical monocyte	macrophage	83
classical monocyte	mast cell	20
classical monocyte	mature NK T cell	56
classical monocyte	mature conventional dendritic cell	12
classical monocyte	neutrophil	27
classical monocyte	non-classical monocyte	6
classical monocyte	plasma cell	46
classical monocyte	regulatory T cell	75
classical monocyte	stromal cell	54
classical monocyte	type I NK T cell	90
effector CD4-positive, alpha-beta T cell	B cell	160
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	159
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	113
effector CD4-positive, alpha-beta T cell	T cell	242
effector CD4-positive, alpha-beta T cell	classical monocyte	101
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	257
effector CD4-positive, alpha-beta T cell	endothelial cell	232
effector CD4-positive, alpha-beta T cell	erythrocyte	31
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	66
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	191
