source	target	count
B cell	CD141-positive myeloid dendritic cell	29
B cell	CD1c-positive myeloid dendritic cell	32
B cell	T cell	25
B cell	classical monocyte	27
B cell	effector CD4-positive, alpha-beta T cell	19
B cell	effector CD8-positive, alpha-beta T cell	22
B cell	endothelial cell	69
B cell	erythrocyte	3
B cell	hematopoietic stem cell	14
B cell	innate lymphoid cell	17
B cell	intermediate monocyte	35
B cell	macrophage	55
B cell	mast cell	11
B cell	mature NK T cell	15
B cell	mature conventional dendritic cell	29
B cell	neutrophil	14
B cell	non-classical monocyte	13
B cell	plasma cell	16
B cell	regulatory T cell	19
B cell	stromal cell	71
B cell	type I NK T cell	17
CD141-positive myeloid dendritic cell	B cell	25
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	36
CD141-positive myeloid dendritic cell	T cell	23
CD141-positive myeloid dendritic cell	classical monocyte	29
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	16
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	15
CD141-positive myeloid dendritic cell	endothelial cell	59
CD141-positive myeloid dendritic cell	erythrocyte	7
CD141-positive myeloid dendritic cell	hematopoietic stem cell	12
CD141-positive myeloid dendritic cell	innate lymphoid cell	23
CD141-positive myeloid dendritic cell	intermediate monocyte	34
CD141-positive myeloid dendritic cell	macrophage	59
CD141-positive myeloid dendritic cell	mast cell	9
CD141-positive myeloid dendritic cell	mature NK T cell	14
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	28
CD141-positive myeloid dendritic cell	neutrophil	14
CD141-positive myeloid dendritic cell	non-classical monocyte	17
CD141-positive myeloid dendritic cell	plasma cell	21
CD141-positive myeloid dendritic cell	regulatory T cell	15
CD141-positive myeloid dendritic cell	stromal cell	62
CD141-positive myeloid dendritic cell	type I NK T cell	19
CD1c-positive myeloid dendritic cell	B cell	23
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	32
CD1c-positive myeloid dendritic cell	T cell	18
CD1c-positive myeloid dendritic cell	classical monocyte	33
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	17
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	14
CD1c-positive myeloid dendritic cell	endothelial cell	54
CD1c-positive myeloid dendritic cell	erythrocyte	3
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	12
CD1c-positive myeloid dendritic cell	innate lymphoid cell	20
CD1c-positive myeloid dendritic cell	intermediate monocyte	40
CD1c-positive myeloid dendritic cell	macrophage	60
CD1c-positive myeloid dendritic cell	mast cell	10
CD1c-positive myeloid dendritic cell	mature NK T cell	13
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	28
CD1c-positive myeloid dendritic cell	neutrophil	19
CD1c-positive myeloid dendritic cell	non-classical monocyte	20
CD1c-positive myeloid dendritic cell	plasma cell	24
CD1c-positive myeloid dendritic cell	regulatory T cell	16
CD1c-positive myeloid dendritic cell	stromal cell	50
CD1c-positive myeloid dendritic cell	type I NK T cell	14
T cell	B cell	26
T cell	CD141-positive myeloid dendritic cell	27
T cell	CD1c-positive myeloid dendritic cell	19
T cell	classical monocyte	12
T cell	effector CD4-positive, alpha-beta T cell	15
T cell	effector CD8-positive, alpha-beta T cell	19
T cell	endothelial cell	49
T cell	erythrocyte	2
T cell	hematopoietic stem cell	10
T cell	innate lymphoid cell	9
T cell	intermediate monocyte	15
T cell	macrophage	37
T cell	mast cell	6
T cell	mature NK T cell	16
T cell	mature conventional dendritic cell	21
T cell	neutrophil	8
T cell	non-classical monocyte	8
T cell	plasma cell	7
T cell	regulatory T cell	12
T cell	stromal cell	49
T cell	type I NK T cell	12
classical monocyte	B cell	18
classical monocyte	CD141-positive myeloid dendritic cell	21
classical monocyte	CD1c-positive myeloid dendritic cell	31
classical monocyte	T cell	14
classical monocyte	effector CD4-positive, alpha-beta T cell	9
classical monocyte	effector CD8-positive, alpha-beta T cell	8
classical monocyte	endothelial cell	47
classical monocyte	erythrocyte	4
classical monocyte	hematopoietic stem cell	7
classical monocyte	innate lymphoid cell	14
classical monocyte	intermediate monocyte	32
classical monocyte	macrophage	45
classical monocyte	mast cell	7
classical monocyte	mature NK T cell	8
classical monocyte	mature conventional dendritic cell	17
classical monocyte	neutrophil	12
classical monocyte	non-classical monocyte	15
classical monocyte	plasma cell	19
classical monocyte	regulatory T cell	8
classical monocyte	stromal cell	31
classical monocyte	type I NK T cell	11
effector CD4-positive, alpha-beta T cell	B cell	18
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	24
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	22
effector CD4-positive, alpha-beta T cell	T cell	19
effector CD4-positive, alpha-beta T cell	classical monocyte	18
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	10
effector CD4-positive, alpha-beta T cell	endothelial cell	52
effector CD4-positive, alpha-beta T cell	erythrocyte	1
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	11
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	12
effector CD4-positive, alpha-beta T cell	intermediate monocyte	23
effector CD4-positive, alpha-beta T cell	macrophage	35
effector CD4-positive, alpha-beta T cell	mast cell	5
effector CD4-positive, alpha-beta T cell	mature NK T cell	7
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	19
effector CD4-positive, alpha-beta T cell	neutrophil	6
effector CD4-positive, alpha-beta T cell	non-classical monocyte	11
effector CD4-positive, alpha-beta T cell	plasma cell	13
effector CD4-positive, alpha-beta T cell	regulatory T cell	8
effector CD4-positive, alpha-beta T cell	stromal cell	46
effector CD4-positive, alpha-beta T cell	type I NK T cell	10
effector CD8-positive, alpha-beta T cell	B cell	26
effector CD8-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	23
effector CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	24
effector CD8-positive, alpha-beta T cell	T cell	24
effector CD8-positive, alpha-beta T cell	classical monocyte	13
effector CD8-positive, alpha-beta T cell	effector CD4-positive, alpha-beta T cell	15
effector CD8-positive, alpha-beta T cell	endothelial cell	45
effector CD8-positive, alpha-beta T cell	erythrocyte	3
effector CD8-positive, alpha-beta T cell	hematopoietic stem cell	14
effector CD8-positive, alpha-beta T cell	innate lymphoid cell	14
effector CD8-positive, alpha-beta T cell	intermediate monocyte	18
effector CD8-positive, alpha-beta T cell	macrophage	39
effector CD8-positive, alpha-beta T cell	mast cell	5
effector CD8-positive, alpha-beta T cell	mature NK T cell	14
effector CD8-positive, alpha-beta T cell	mature conventional dendritic cell	21
effector CD8-positive, alpha-beta T cell	neutrophil	11
effector CD8-positive, alpha-beta T cell	non-classical monocyte	12
effector CD8-positive, alpha-beta T cell	plasma cell	13
effector CD8-positive, alpha-beta T cell	regulatory T cell	15
effector CD8-positive, alpha-beta T cell	stromal cell	55
effector CD8-positive, alpha-beta T cell	type I NK T cell	10
endothelial cell	B cell	57
endothelial cell	CD141-positive myeloid dendritic cell	62
endothelial cell	CD1c-positive myeloid dendritic cell	73
endothelial cell	T cell	58
endothelial cell	classical monocyte	67
