column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD141-positive myeloid dendritic cell	CADM3	CADM1	0.334	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	CEACAM1	SELE	1.622	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	COL4A3	ADGRG6	1.367	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	COL4A4	ADGRG6	1.27	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	COL4A5	ADGRG6	1.059	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	ENTPD1	ADORA2B	0.25	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	APP	CD74	0.643	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	APP	TNFRSF21	0.453	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	BDNF	SORT1	0.141	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	CLSTN1	NRXN1	0.78	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	NLGN4X	NRXN1	0.808	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	NLGN4Y	NRXN1	0.828	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA3	EPHA2	2.81	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA4	EPHA2	2.796	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA3	EPHA3	0.206	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA4	EPHA3	0.192	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	LGALS9	HAVCR2	0.981	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	LGALS9	P4HB	0.392	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	NPPA	NPR1	3.488	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	DLL3	NOTCH2	0.211	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	PGF	FLT1	0.004	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	VEGFB	FLT1	0.111	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	PGF	NRP2	2.852	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	SEMA7A	PLXNC1	0.566	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	BTLA	TNFRSF14	0.369	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	WNT16	SFRP4	1.349	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	WNT2B	SFRP4	1.284	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	WNT3	SFRP4	1.329	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD141-positive myeloid dendritic cell	MPZL1	MPZL1	0.374	29	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	CEACAM1	CD209	0.873	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	COL4A3	ADGRG6	0.735	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	COL4A4	ADGRG6	0.638	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	COL4A5	ADGRG6	0.426	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	ENTPD1	ADORA2B	1.278	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	ENTPD1	ADORA3	1.424	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	APP	CD74	0.403	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	APP	TNFRSF21	1.39	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	BDNF	SORT1	0.661	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
B cell|CD1c-positive myeloid dendritic cell	C4A	C5AR2	1.418	32	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM268.NKXB.243_reg1
