source	target	count
B cell	CD141-positive myeloid dendritic cell	144
B cell	CD1c-positive myeloid dendritic cell	146
B cell	T cell	261
B cell	classical monocyte	125
B cell	effector CD4-positive, alpha-beta T cell	266
B cell	effector CD8-positive, alpha-beta T cell	274
B cell	endothelial cell	274
B cell	erythrocyte	31
B cell	hematopoietic stem cell	80
B cell	innate lymphoid cell	201
B cell	intermediate monocyte	142
B cell	macrophage	284
B cell	mast cell	47
B cell	mature NK T cell	168
B cell	mature conventional dendritic cell	115
B cell	neutrophil	66
B cell	non-classical monocyte	80
B cell	plasma cell	133
B cell	regulatory T cell	197
B cell	stromal cell	214
B cell	type I NK T cell	248
CD141-positive myeloid dendritic cell	B cell	166
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	106
CD141-positive myeloid dendritic cell	T cell	183
CD141-positive myeloid dendritic cell	classical monocyte	96
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	190
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	191
CD141-positive myeloid dendritic cell	endothelial cell	177
CD141-positive myeloid dendritic cell	erythrocyte	25
CD141-positive myeloid dendritic cell	hematopoietic stem cell	51
CD141-positive myeloid dendritic cell	innate lymphoid cell	152
CD141-positive myeloid dendritic cell	intermediate monocyte	103
CD141-positive myeloid dendritic cell	macrophage	186
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	123
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	86
CD141-positive myeloid dendritic cell	neutrophil	50
CD141-positive myeloid dendritic cell	non-classical monocyte	60
CD141-positive myeloid dendritic cell	plasma cell	80
CD141-positive myeloid dendritic cell	regulatory T cell	139
CD141-positive myeloid dendritic cell	stromal cell	126
CD141-positive myeloid dendritic cell	type I NK T cell	182
CD1c-positive myeloid dendritic cell	B cell	131
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	77
CD1c-positive myeloid dendritic cell	T cell	146
CD1c-positive myeloid dendritic cell	classical monocyte	83
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	150
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	154
CD1c-positive myeloid dendritic cell	endothelial cell	131
CD1c-positive myeloid dendritic cell	erythrocyte	19
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	39
CD1c-positive myeloid dendritic cell	innate lymphoid cell	115
CD1c-positive myeloid dendritic cell	intermediate monocyte	85
CD1c-positive myeloid dendritic cell	macrophage	147
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	95
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	66
CD1c-positive myeloid dendritic cell	neutrophil	46
CD1c-positive myeloid dendritic cell	non-classical monocyte	52
CD1c-positive myeloid dendritic cell	plasma cell	73
CD1c-positive myeloid dendritic cell	regulatory T cell	115
CD1c-positive myeloid dendritic cell	stromal cell	89
CD1c-positive myeloid dendritic cell	type I NK T cell	146
T cell	B cell	249
T cell	CD141-positive myeloid dendritic cell	163
T cell	CD1c-positive myeloid dendritic cell	154
T cell	classical monocyte	137
T cell	effector CD4-positive, alpha-beta T cell	278
T cell	effector CD8-positive, alpha-beta T cell	277
T cell	endothelial cell	288
T cell	erythrocyte	32
T cell	hematopoietic stem cell	83
T cell	innate lymphoid cell	212
T cell	intermediate monocyte	148
T cell	macrophage	292
T cell	mast cell	52
T cell	mature NK T cell	176
T cell	mature conventional dendritic cell	125
T cell	neutrophil	76
T cell	non-classical monocyte	90
T cell	plasma cell	136
T cell	regulatory T cell	206
T cell	stromal cell	218
T cell	type I NK T cell	255
classical monocyte	B cell	121
classical monocyte	CD141-positive myeloid dendritic cell	76
classical monocyte	CD1c-positive myeloid dendritic cell	87
classical monocyte	T cell	133
classical monocyte	effector CD4-positive, alpha-beta T cell	138
classical monocyte	effector CD8-positive, alpha-beta T cell	134
classical monocyte	endothelial cell	126
classical monocyte	erythrocyte	18
classical monocyte	hematopoietic stem cell	43
classical monocyte	innate lymphoid cell	104
classical monocyte	intermediate monocyte	86
classical monocyte	macrophage	135
classical monocyte	mast cell	28
classical monocyte	mature NK T cell	84
classical monocyte	mature conventional dendritic cell	58
classical monocyte	neutrophil	44
classical monocyte	non-classical monocyte	51
classical monocyte	plasma cell	64
classical monocyte	regulatory T cell	104
classical monocyte	stromal cell	73
classical monocyte	type I NK T cell	134
effector CD4-positive, alpha-beta T cell	B cell	264
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	165
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	160
effector CD4-positive, alpha-beta T cell	T cell	283
effector CD4-positive, alpha-beta T cell	classical monocyte	144
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	293
effector CD4-positive, alpha-beta T cell	endothelial cell	303
effector CD4-positive, alpha-beta T cell	erythrocyte	34
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	83
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	218
effector CD4-positive, alpha-beta T cell	intermediate monocyte	160
effector CD4-positive, alpha-beta T cell	macrophage	307
effector CD4-positive, alpha-beta T cell	mast cell	51
effector CD4-positive, alpha-beta T cell	mature NK T cell	183
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	125
effector CD4-positive, alpha-beta T cell	neutrophil	78
