source	target	count
B cell	CD141-positive myeloid dendritic cell	132
B cell	CD1c-positive myeloid dendritic cell	143
B cell	T cell	251
B cell	classical monocyte	121
B cell	effector CD4-positive, alpha-beta T cell	252
B cell	effector CD8-positive, alpha-beta T cell	258
B cell	endothelial cell	258
B cell	erythrocyte	25
B cell	hematopoietic stem cell	64
B cell	innate lymphoid cell	195
B cell	intermediate monocyte	124
B cell	macrophage	237
B cell	mast cell	46
B cell	mature NK T cell	157
B cell	mature conventional dendritic cell	108
B cell	neutrophil	64
B cell	non-classical monocyte	76
B cell	plasma cell	130
B cell	regulatory T cell	186
B cell	stromal cell	198
B cell	type I NK T cell	230
CD141-positive myeloid dendritic cell	B cell	160
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	103
CD141-positive myeloid dendritic cell	T cell	180
CD141-positive myeloid dendritic cell	classical monocyte	90
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	183
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	185
CD141-positive myeloid dendritic cell	endothelial cell	168
CD141-positive myeloid dendritic cell	erythrocyte	23
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	148
CD141-positive myeloid dendritic cell	intermediate monocyte	91
CD141-positive myeloid dendritic cell	macrophage	168
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	116
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	82
CD141-positive myeloid dendritic cell	neutrophil	49
CD141-positive myeloid dendritic cell	non-classical monocyte	56
CD141-positive myeloid dendritic cell	plasma cell	85
CD141-positive myeloid dendritic cell	regulatory T cell	135
CD141-positive myeloid dendritic cell	stromal cell	118
CD141-positive myeloid dendritic cell	type I NK T cell	175
CD1c-positive myeloid dendritic cell	B cell	128
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	76
CD1c-positive myeloid dendritic cell	T cell	148
CD1c-positive myeloid dendritic cell	classical monocyte	82
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	148
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	155
CD1c-positive myeloid dendritic cell	endothelial cell	128
CD1c-positive myeloid dendritic cell	erythrocyte	19
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	30
CD1c-positive myeloid dendritic cell	innate lymphoid cell	119
CD1c-positive myeloid dendritic cell	intermediate monocyte	76
CD1c-positive myeloid dendritic cell	macrophage	135
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	94
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	66
CD1c-positive myeloid dendritic cell	neutrophil	45
CD1c-positive myeloid dendritic cell	non-classical monocyte	51
CD1c-positive myeloid dendritic cell	plasma cell	80
CD1c-positive myeloid dendritic cell	regulatory T cell	113
CD1c-positive myeloid dendritic cell	stromal cell	89
CD1c-positive myeloid dendritic cell	type I NK T cell	145
T cell	B cell	250
T cell	CD141-positive myeloid dendritic cell	155
T cell	CD1c-positive myeloid dendritic cell	154
T cell	classical monocyte	135
T cell	effector CD4-positive, alpha-beta T cell	274
T cell	effector CD8-positive, alpha-beta T cell	275
T cell	endothelial cell	280
T cell	erythrocyte	32
T cell	hematopoietic stem cell	67
T cell	innate lymphoid cell	215
T cell	intermediate monocyte	137
T cell	macrophage	259
T cell	mast cell	51
T cell	mature NK T cell	175
T cell	mature conventional dendritic cell	125
T cell	neutrophil	74
T cell	non-classical monocyte	88
T cell	plasma cell	143
T cell	regulatory T cell	204
T cell	stromal cell	210
T cell	type I NK T cell	250
classical monocyte	B cell	113
classical monocyte	CD141-positive myeloid dendritic cell	74
classical monocyte	CD1c-positive myeloid dendritic cell	87
classical monocyte	T cell	134
classical monocyte	effector CD4-positive, alpha-beta T cell	132
classical monocyte	effector CD8-positive, alpha-beta T cell	134
classical monocyte	endothelial cell	123
classical monocyte	erythrocyte	18
classical monocyte	hematopoietic stem cell	31
classical monocyte	innate lymphoid cell	104
classical monocyte	intermediate monocyte	79
classical monocyte	macrophage	123
classical monocyte	mast cell	28
classical monocyte	mature NK T cell	84
classical monocyte	mature conventional dendritic cell	58
classical monocyte	neutrophil	43
classical monocyte	non-classical monocyte	50
classical monocyte	plasma cell	69
classical monocyte	regulatory T cell	102
classical monocyte	stromal cell	72
classical monocyte	type I NK T cell	131
effector CD4-positive, alpha-beta T cell	B cell	260
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	160
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	160
effector CD4-positive, alpha-beta T cell	T cell	279
effector CD4-positive, alpha-beta T cell	classical monocyte	143
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	291
effector CD4-positive, alpha-beta T cell	endothelial cell	297
effector CD4-positive, alpha-beta T cell	erythrocyte	34
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	69
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	222
effector CD4-positive, alpha-beta T cell	intermediate monocyte	149
effector CD4-positive, alpha-beta T cell	macrophage	275
effector CD4-positive, alpha-beta T cell	mast cell	51
effector CD4-positive, alpha-beta T cell	mature NK T cell	182
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	125
effector CD4-positive, alpha-beta T cell	neutrophil	78
effector CD4-positive, alpha-beta T cell	non-classical monocyte	96
effector CD4-positive, alpha-beta T cell	plasma cell	152
effector CD4-positive, alpha-beta T cell	regulatory T cell	218
