source	target	count
B cell	CD141-positive myeloid dendritic cell	116
B cell	CD1c-positive myeloid dendritic cell	102
B cell	T cell	212
B cell	classical monocyte	89
B cell	effector CD4-positive, alpha-beta T cell	226
B cell	effector CD8-positive, alpha-beta T cell	215
B cell	endothelial cell	216
B cell	erythrocyte	23
B cell	hematopoietic stem cell	67
B cell	innate lymphoid cell	168
B cell	intermediate monocyte	107
B cell	macrophage	199
B cell	mast cell	41
B cell	mature NK T cell	138
B cell	mature conventional dendritic cell	87
B cell	neutrophil	61
B cell	non-classical monocyte	69
B cell	plasma cell	120
B cell	regulatory T cell	165
B cell	stromal cell	160
B cell	type I NK T cell	199
CD141-positive myeloid dendritic cell	B cell	137
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	75
CD141-positive myeloid dendritic cell	T cell	163
CD141-positive myeloid dendritic cell	classical monocyte	75
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	170
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	166
CD141-positive myeloid dendritic cell	endothelial cell	156
CD141-positive myeloid dendritic cell	erythrocyte	23
CD141-positive myeloid dendritic cell	hematopoietic stem cell	48
CD141-positive myeloid dendritic cell	innate lymphoid cell	136
CD141-positive myeloid dendritic cell	intermediate monocyte	79
CD141-positive myeloid dendritic cell	macrophage	149
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	109
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	75
CD141-positive myeloid dendritic cell	neutrophil	46
CD141-positive myeloid dendritic cell	non-classical monocyte	51
CD141-positive myeloid dendritic cell	plasma cell	80
CD141-positive myeloid dendritic cell	regulatory T cell	127
CD141-positive myeloid dendritic cell	stromal cell	108
CD141-positive myeloid dendritic cell	type I NK T cell	163
CD1c-positive myeloid dendritic cell	B cell	95
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	61
CD1c-positive myeloid dendritic cell	T cell	119
CD1c-positive myeloid dendritic cell	classical monocyte	60
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	122
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	127
CD1c-positive myeloid dendritic cell	endothelial cell	102
CD1c-positive myeloid dendritic cell	erythrocyte	16
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	33
CD1c-positive myeloid dendritic cell	innate lymphoid cell	92
CD1c-positive myeloid dendritic cell	intermediate monocyte	65
CD1c-positive myeloid dendritic cell	macrophage	113
CD1c-positive myeloid dendritic cell	mast cell	23
CD1c-positive myeloid dendritic cell	mature NK T cell	76
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	49
CD1c-positive myeloid dendritic cell	neutrophil	40
CD1c-positive myeloid dendritic cell	non-classical monocyte	43
CD1c-positive myeloid dendritic cell	plasma cell	66
CD1c-positive myeloid dendritic cell	regulatory T cell	92
CD1c-positive myeloid dendritic cell	stromal cell	66
CD1c-positive myeloid dendritic cell	type I NK T cell	122
T cell	B cell	220
T cell	CD141-positive myeloid dendritic cell	147
T cell	CD1c-positive myeloid dendritic cell	116
T cell	classical monocyte	111
T cell	effector CD4-positive, alpha-beta T cell	262
T cell	effector CD8-positive, alpha-beta T cell	254
T cell	endothelial cell	261
T cell	erythrocyte	33
T cell	hematopoietic stem cell	82
T cell	innate lymphoid cell	202
T cell	intermediate monocyte	124
T cell	macrophage	239
T cell	mast cell	51
T cell	mature NK T cell	166
T cell	mature conventional dendritic cell	111
T cell	neutrophil	75
T cell	non-classical monocyte	85
T cell	plasma cell	141
T cell	regulatory T cell	197
T cell	stromal cell	202
T cell	type I NK T cell	239
classical monocyte	B cell	93
classical monocyte	CD141-positive myeloid dendritic cell	61
classical monocyte	CD1c-positive myeloid dendritic cell	62
classical monocyte	T cell	114
classical monocyte	effector CD4-positive, alpha-beta T cell	116
classical monocyte	effector CD8-positive, alpha-beta T cell	116
classical monocyte	endothelial cell	101
classical monocyte	erythrocyte	15
classical monocyte	hematopoietic stem cell	36
classical monocyte	innate lymphoid cell	85
classical monocyte	intermediate monocyte	68
classical monocyte	macrophage	105
classical monocyte	mast cell	24
classical monocyte	mature NK T cell	77
classical monocyte	mature conventional dendritic cell	45
classical monocyte	neutrophil	42
classical monocyte	non-classical monocyte	44
classical monocyte	plasma cell	58
classical monocyte	regulatory T cell	91
classical monocyte	stromal cell	59
classical monocyte	type I NK T cell	116
effector CD4-positive, alpha-beta T cell	B cell	238
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	155
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	124
effector CD4-positive, alpha-beta T cell	T cell	267
effector CD4-positive, alpha-beta T cell	classical monocyte	118
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	273
effector CD4-positive, alpha-beta T cell	endothelial cell	285
effector CD4-positive, alpha-beta T cell	erythrocyte	34
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	83
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	214
effector CD4-positive, alpha-beta T cell	intermediate monocyte	136
effector CD4-positive, alpha-beta T cell	macrophage	257
effector CD4-positive, alpha-beta T cell	mast cell	52
effector CD4-positive, alpha-beta T cell	mature NK T cell	177
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	114
effector CD4-positive, alpha-beta T cell	neutrophil	79
effector CD4-positive, alpha-beta T cell	non-classical monocyte	90
effector CD4-positive, alpha-beta T cell	plasma cell	149
effector CD4-positive, alpha-beta T cell	regulatory T cell	214
effector CD4-positive, alpha-beta T cell	stromal cell	221
effector CD4-positive, alpha-beta T cell	type I NK T cell	254
effector CD8-positive, alpha-beta T cell	B cell	234
effector CD8-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	154
effector CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	124
effector CD8-positive, alpha-beta T cell	T cell	263
effector CD8-positive, alpha-beta T cell	classical monocyte	118
effector CD8-positive, alpha-beta T cell	effector CD4-positive, alpha-beta T cell	274
effector CD8-positive, alpha-beta T cell	endothelial cell	273
effector CD8-positive, alpha-beta T cell	erythrocyte	32
effector CD8-positive, alpha-beta T cell	hematopoietic stem cell	82
effector CD8-positive, alpha-beta T cell	innate lymphoid cell	218
effector CD8-positive, alpha-beta T cell	intermediate monocyte	130
effector CD8-positive, alpha-beta T cell	macrophage	249
effector CD8-positive, alpha-beta T cell	mast cell	54
effector CD8-positive, alpha-beta T cell	mature NK T cell	175
effector CD8-positive, alpha-beta T cell	mature conventional dendritic cell	113
effector CD8-positive, alpha-beta T cell	neutrophil	78
effector CD8-positive, alpha-beta T cell	non-classical monocyte	91
effector CD8-positive, alpha-beta T cell	plasma cell	150
effector CD8-positive, alpha-beta T cell	regulatory T cell	214
effector CD8-positive, alpha-beta T cell	stromal cell	218
effector CD8-positive, alpha-beta T cell	type I NK T cell	251
endothelial cell	B cell	209
endothelial cell	CD141-positive myeloid dendritic cell	137
endothelial cell	CD1c-positive myeloid dendritic cell	105
endothelial cell	T cell	249
endothelial cell	classical monocyte	108
endothelial cell	effector CD4-positive, alpha-beta T cell	259
endothelial cell	effector CD8-positive, alpha-beta T cell	249
endothelial cell	erythrocyte	34
endothelial cell	hematopoietic stem cell	71
endothelial cell	innate lymphoid cell	193
endothelial cell	intermediate monocyte	123
endothelial cell	macrophage	250
endothelial cell	mast cell	39
endothelial cell	mature NK T cell	162
endothelial cell	mature conventional dendritic cell	103
endothelial cell	neutrophil	67
endothelial cell	non-classical monocyte	76
endothelial cell	plasma cell	133
endothelial cell	regulatory T cell	196
endothelial cell	stromal cell	200
endothelial cell	type I NK T cell	234
erythrocyte	B cell	32
erythrocyte	CD141-positive myeloid dendritic cell	23
erythrocyte	CD1c-positive myeloid dendritic cell	26
erythrocyte	T cell	48
erythrocyte	classical monocyte	27
erythrocyte	effector CD4-positive, alpha-beta T cell	49
erythrocyte	effector CD8-positive, alpha-beta T cell	47
erythrocyte	endothelial cell	34
erythrocyte	hematopoietic stem cell	13
erythrocyte	innate lymphoid cell	37
erythrocyte	intermediate monocyte	25
erythrocyte	macrophage	41
erythrocyte	mast cell	10
erythrocyte	mature NK T cell	28
erythrocyte	mature conventional dendritic cell	17
erythrocyte	neutrophil	16
erythrocyte	non-classical monocyte	15
erythrocyte	plasma cell	20
erythrocyte	regulatory T cell	34
erythrocyte	stromal cell	18
erythrocyte	type I NK T cell	50
hematopoietic stem cell	B cell	72
hematopoietic stem cell	CD141-positive myeloid dendritic cell	50
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	42
hematopoietic stem cell	T cell	92
hematopoietic stem cell	classical monocyte	44
hematopoietic stem cell	effector CD4-positive, alpha-beta T cell	96
hematopoietic stem cell	effector CD8-positive, alpha-beta T cell	92
hematopoietic stem cell	endothelial cell	82
hematopoietic stem cell	erythrocyte	12
hematopoietic stem cell	innate lymphoid cell	72
hematopoietic stem cell	intermediate monocyte	46
hematopoietic stem cell	macrophage	82
hematopoietic stem cell	mast cell	18
hematopoietic stem cell	mature NK T cell	59
hematopoietic stem cell	mature conventional dendritic cell	38
hematopoietic stem cell	neutrophil	24
hematopoietic stem cell	non-classical monocyte	30
hematopoietic stem cell	plasma cell	38
hematopoietic stem cell	regulatory T cell	72
hematopoietic stem cell	stromal cell	57
hematopoietic stem cell	type I NK T cell	87
innate lymphoid cell	B cell	188
innate lymphoid cell	CD141-positive myeloid dendritic cell	131
innate lymphoid cell	CD1c-positive myeloid dendritic cell	103
innate lymphoid cell	T cell	211
innate lymphoid cell	classical monocyte	93
innate lymphoid cell	effector CD4-positive, alpha-beta T cell	223
innate lymphoid cell	effector CD8-positive, alpha-beta T cell	219
innate lymphoid cell	endothelial cell	217
innate lymphoid cell	erythrocyte	28
innate lymphoid cell	hematopoietic stem cell	72
innate lymphoid cell	intermediate monocyte	106
innate lymphoid cell	macrophage	206
innate lymphoid cell	mast cell	46
innate lymphoid cell	mature NK T cell	143
innate lymphoid cell	mature conventional dendritic cell	95
innate lymphoid cell	neutrophil	65
innate lymphoid cell	non-classical monocyte	69
innate lymphoid cell	plasma cell	122
innate lymphoid cell	regulatory T cell	172
innate lymphoid cell	stromal cell	168
innate lymphoid cell	type I NK T cell	208
intermediate monocyte	B cell	106
intermediate monocyte	CD141-positive myeloid dendritic cell	69
intermediate monocyte	CD1c-positive myeloid dendritic cell	66
intermediate monocyte	T cell	127
intermediate monocyte	classical monocyte	67
intermediate monocyte	effector CD4-positive, alpha-beta T cell	129
intermediate monocyte	effector CD8-positive, alpha-beta T cell	133
intermediate monocyte	endothelial cell	108
intermediate monocyte	erythrocyte	19
intermediate monocyte	hematopoietic stem cell	37
intermediate monocyte	innate lymphoid cell	102
intermediate monocyte	macrophage	117
intermediate monocyte	mast cell	27
intermediate monocyte	mature NK T cell	90
intermediate monocyte	mature conventional dendritic cell	58
