source	target	count
B cell	CD141-positive myeloid dendritic cell	142
B cell	CD1c-positive myeloid dendritic cell	145
B cell	T cell	255
B cell	classical monocyte	124
B cell	effector CD4-positive, alpha-beta T cell	258
B cell	effector CD8-positive, alpha-beta T cell	269
B cell	endothelial cell	269
B cell	erythrocyte	29
B cell	hematopoietic stem cell	78
B cell	innate lymphoid cell	195
B cell	intermediate monocyte	138
B cell	macrophage	262
B cell	mast cell	46
B cell	mature NK T cell	156
B cell	mature conventional dendritic cell	113
B cell	neutrophil	65
B cell	non-classical monocyte	79
B cell	plasma cell	134
B cell	regulatory T cell	195
B cell	stromal cell	206
B cell	type I NK T cell	238
CD141-positive myeloid dendritic cell	B cell	169
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	106
CD141-positive myeloid dendritic cell	T cell	185
CD141-positive myeloid dendritic cell	classical monocyte	96
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	186
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	191
CD141-positive myeloid dendritic cell	endothelial cell	176
CD141-positive myeloid dendritic cell	erythrocyte	25
CD141-positive myeloid dendritic cell	hematopoietic stem cell	51
CD141-positive myeloid dendritic cell	innate lymphoid cell	146
CD141-positive myeloid dendritic cell	intermediate monocyte	101
CD141-positive myeloid dendritic cell	macrophage	181
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	115
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	86
CD141-positive myeloid dendritic cell	neutrophil	50
CD141-positive myeloid dendritic cell	non-classical monocyte	60
CD141-positive myeloid dendritic cell	plasma cell	88
CD141-positive myeloid dendritic cell	regulatory T cell	141
CD141-positive myeloid dendritic cell	stromal cell	123
CD141-positive myeloid dendritic cell	type I NK T cell	178
CD1c-positive myeloid dendritic cell	B cell	134
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	77
CD1c-positive myeloid dendritic cell	T cell	146
CD1c-positive myeloid dendritic cell	classical monocyte	83
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	147
