source	target	count
B cell	CD141-positive myeloid dendritic cell	121
B cell	CD1c-positive myeloid dendritic cell	95
B cell	T cell	216
B cell	classical monocyte	111
B cell	effector CD4-positive, alpha-beta T cell	221
B cell	effector CD8-positive, alpha-beta T cell	212
B cell	endothelial cell	204
B cell	erythrocyte	22
B cell	hematopoietic stem cell	60
B cell	innate lymphoid cell	164
B cell	intermediate monocyte	119
B cell	macrophage	201
B cell	mast cell	44
B cell	mature NK T cell	119
B cell	mature conventional dendritic cell	85
B cell	neutrophil	54
B cell	non-classical monocyte	56
B cell	plasma cell	109
B cell	regulatory T cell	155
B cell	stromal cell	178
B cell	type I NK T cell	199
CD141-positive myeloid dendritic cell	B cell	138
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	68
CD141-positive myeloid dendritic cell	T cell	150
CD141-positive myeloid dendritic cell	classical monocyte	84
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	162
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	155
CD141-positive myeloid dendritic cell	endothelial cell	141
CD141-positive myeloid dendritic cell	erythrocyte	20
CD141-positive myeloid dendritic cell	hematopoietic stem cell	39
CD141-positive myeloid dendritic cell	innate lymphoid cell	129
CD141-positive myeloid dendritic cell	intermediate monocyte	87
CD141-positive myeloid dendritic cell	macrophage	145
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	91
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	69
CD141-positive myeloid dendritic cell	neutrophil	40
CD141-positive myeloid dendritic cell	non-classical monocyte	37
CD141-positive myeloid dendritic cell	plasma cell	71
CD141-positive myeloid dendritic cell	regulatory T cell	112
CD141-positive myeloid dendritic cell	stromal cell	108
CD141-positive myeloid dendritic cell	type I NK T cell	153
CD1c-positive myeloid dendritic cell	B cell	93
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	60
CD1c-positive myeloid dendritic cell	T cell	99
CD1c-positive myeloid dendritic cell	classical monocyte	63
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	111
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	107
CD1c-positive myeloid dendritic cell	endothelial cell	93
CD1c-positive myeloid dendritic cell	erythrocyte	12
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	24
CD1c-positive myeloid dendritic cell	innate lymphoid cell	84
CD1c-positive myeloid dendritic cell	intermediate monocyte	65
CD1c-positive myeloid dendritic cell	macrophage	106
CD1c-positive myeloid dendritic cell	mast cell	23
CD1c-positive myeloid dendritic cell	mature NK T cell	59
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	44
CD1c-positive myeloid dendritic cell	neutrophil	35
CD1c-positive myeloid dendritic cell	non-classical monocyte	27
CD1c-positive myeloid dendritic cell	plasma cell	52
