source	target	count
B cell	CD141-positive myeloid dendritic cell	130
B cell	CD1c-positive myeloid dendritic cell	114
B cell	T cell	241
B cell	classical monocyte	117
B cell	effector CD4-positive, alpha-beta T cell	240
B cell	effector CD8-positive, alpha-beta T cell	248
B cell	endothelial cell	242
B cell	erythrocyte	23
B cell	hematopoietic stem cell	66
B cell	innate lymphoid cell	185
B cell	intermediate monocyte	127
B cell	macrophage	236
B cell	mast cell	44
B cell	mature NK T cell	146
B cell	mature conventional dendritic cell	98
B cell	neutrophil	63
B cell	non-classical monocyte	68
B cell	plasma cell	125
B cell	regulatory T cell	183
B cell	stromal cell	192
B cell	type I NK T cell	218
CD141-positive myeloid dendritic cell	B cell	148
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	87
CD141-positive myeloid dendritic cell	T cell	178
CD141-positive myeloid dendritic cell	classical monocyte	93
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	178
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	181
CD141-positive myeloid dendritic cell	endothelial cell	165
CD141-positive myeloid dendritic cell	erythrocyte	23
CD141-positive myeloid dendritic cell	hematopoietic stem cell	46
CD141-positive myeloid dendritic cell	innate lymphoid cell	145
CD141-positive myeloid dendritic cell	intermediate monocyte	94
CD141-positive myeloid dendritic cell	macrophage	171
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	108
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	79
CD141-positive myeloid dendritic cell	neutrophil	49
CD141-positive myeloid dendritic cell	non-classical monocyte	49
CD141-positive myeloid dendritic cell	plasma cell	85
CD141-positive myeloid dendritic cell	regulatory T cell	137
CD141-positive myeloid dendritic cell	stromal cell	118
CD141-positive myeloid dendritic cell	type I NK T cell	168
CD1c-positive myeloid dendritic cell	B cell	112
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	71
CD1c-positive myeloid dendritic cell	T cell	132
CD1c-positive myeloid dendritic cell	classical monocyte	76
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	130
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	141
CD1c-positive myeloid dendritic cell	endothelial cell	118
CD1c-positive myeloid dendritic cell	erythrocyte	16
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	38
CD1c-positive myeloid dendritic cell	innate lymphoid cell	104
CD1c-positive myeloid dendritic cell	intermediate monocyte	72
CD1c-positive myeloid dendritic cell	macrophage	133
CD1c-positive myeloid dendritic cell	mast cell	28
CD1c-positive myeloid dendritic cell	mature NK T cell	78
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	55
CD1c-positive myeloid dendritic cell	neutrophil	44
CD1c-positive myeloid dendritic cell	non-classical monocyte	42
CD1c-positive myeloid dendritic cell	plasma cell	74
CD1c-positive myeloid dendritic cell	regulatory T cell	108
CD1c-positive myeloid dendritic cell	stromal cell	84
CD1c-positive myeloid dendritic cell	type I NK T cell	129
T cell	B cell	224
T cell	CD141-positive myeloid dendritic cell	153
T cell	CD1c-positive myeloid dendritic cell	127
T cell	classical monocyte	134
T cell	effector CD4-positive, alpha-beta T cell	262
T cell	effector CD8-positive, alpha-beta T cell	266
T cell	endothelial cell	265
T cell	erythrocyte	32
T cell	hematopoietic stem cell	73
T cell	innate lymphoid cell	205
T cell	intermediate monocyte	137
T cell	macrophage	260
T cell	mast cell	51
T cell	mature NK T cell	158
T cell	mature conventional dendritic cell	115
T cell	neutrophil	73
T cell	non-classical monocyte	75
T cell	plasma cell	140
T cell	regulatory T cell	202
T cell	stromal cell	207
T cell	type I NK T cell	240
classical monocyte	B cell	107
classical monocyte	CD141-positive myeloid dendritic cell	73
classical monocyte	CD1c-positive myeloid dendritic cell	73
classical monocyte	T cell	131
classical monocyte	effector CD4-positive, alpha-beta T cell	128
classical monocyte	effector CD8-positive, alpha-beta T cell	132
classical monocyte	endothelial cell	119
classical monocyte	erythrocyte	18
classical monocyte	hematopoietic stem cell	40
classical monocyte	innate lymphoid cell	103
classical monocyte	intermediate monocyte	75
classical monocyte	macrophage	127
classical monocyte	mast cell	28
classical monocyte	mature NK T cell	76
classical monocyte	mature conventional dendritic cell	54
classical monocyte	neutrophil	43
classical monocyte	non-classical monocyte	43
classical monocyte	plasma cell	70
classical monocyte	regulatory T cell	104
classical monocyte	stromal cell	72
classical monocyte	type I NK T cell	128
effector CD4-positive, alpha-beta T cell	B cell	235
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	161
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	135
effector CD4-positive, alpha-beta T cell	T cell	274
effector CD4-positive, alpha-beta T cell	classical monocyte	144
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	285
effector CD4-positive, alpha-beta T cell	endothelial cell	283
effector CD4-positive, alpha-beta T cell	erythrocyte	34
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	73
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	213
