source	target	count
B cell	CD141-positive myeloid dendritic cell	127
B cell	CD1c-positive myeloid dendritic cell	140
B cell	T cell	245
B cell	classical monocyte	114
B cell	effector CD4-positive, alpha-beta T cell	252
B cell	effector CD8-positive, alpha-beta T cell	240
B cell	endothelial cell	243
B cell	erythrocyte	23
B cell	hematopoietic stem cell	64
B cell	innate lymphoid cell	193
B cell	intermediate monocyte	131
B cell	macrophage	238
B cell	mast cell	44
B cell	mature NK T cell	141
B cell	mature conventional dendritic cell	104
B cell	neutrophil	62
B cell	non-classical monocyte	61
B cell	plasma cell	122
B cell	regulatory T cell	181
B cell	stromal cell	196
B cell	type I NK T cell	217
CD141-positive myeloid dendritic cell	B cell	156
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	101
CD141-positive myeloid dendritic cell	T cell	172
CD141-positive myeloid dendritic cell	classical monocyte	84
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	179
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	171
CD141-positive myeloid dendritic cell	endothelial cell	153
CD141-positive myeloid dendritic cell	erythrocyte	23
CD141-positive myeloid dendritic cell	hematopoietic stem cell	40
CD141-positive myeloid dendritic cell	innate lymphoid cell	144
CD141-positive myeloid dendritic cell	intermediate monocyte	94
CD141-positive myeloid dendritic cell	macrophage	164
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	101
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	81
CD141-positive myeloid dendritic cell	neutrophil	46
CD141-positive myeloid dendritic cell	non-classical monocyte	41
CD141-positive myeloid dendritic cell	plasma cell	76
CD141-positive myeloid dendritic cell	regulatory T cell	130
CD141-positive myeloid dendritic cell	stromal cell	113
CD141-positive myeloid dendritic cell	type I NK T cell	165
CD1c-positive myeloid dendritic cell	B cell	131
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	76
CD1c-positive myeloid dendritic cell	T cell	146
CD1c-positive myeloid dendritic cell	classical monocyte	77
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	148
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	141
CD1c-positive myeloid dendritic cell	endothelial cell	119
CD1c-positive myeloid dendritic cell	erythrocyte	16
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	30
CD1c-positive myeloid dendritic cell	innate lymphoid cell	118
CD1c-positive myeloid dendritic cell	intermediate monocyte	80
CD1c-positive myeloid dendritic cell	macrophage	138
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	86
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	66
CD1c-positive myeloid dendritic cell	neutrophil	46
CD1c-positive myeloid dendritic cell	non-classical monocyte	35
CD1c-positive myeloid dendritic cell	plasma cell	71
CD1c-positive myeloid dendritic cell	regulatory T cell	115
CD1c-positive myeloid dendritic cell	stromal cell	84
CD1c-positive myeloid dendritic cell	type I NK T cell	141
T cell	B cell	243
T cell	CD141-positive myeloid dendritic cell	146
T cell	CD1c-positive myeloid dendritic cell	151
T cell	classical monocyte	123
T cell	effector CD4-positive, alpha-beta T cell	268
T cell	effector CD8-positive, alpha-beta T cell	250
T cell	endothelial cell	261
T cell	erythrocyte	29
T cell	hematopoietic stem cell	66
T cell	innate lymphoid cell	205
T cell	intermediate monocyte	139
T cell	macrophage	254
T cell	mast cell	49
T cell	mature NK T cell	152
T cell	mature conventional dendritic cell	121
T cell	neutrophil	71
T cell	non-classical monocyte	62
T cell	plasma cell	129
T cell	regulatory T cell	197
T cell	stromal cell	202
T cell	type I NK T cell	233
classical monocyte	B cell	115
classical monocyte	CD141-positive myeloid dendritic cell	68
classical monocyte	CD1c-positive myeloid dendritic cell	81
classical monocyte	T cell	127
classical monocyte	effector CD4-positive, alpha-beta T cell	127
classical monocyte	effector CD8-positive, alpha-beta T cell	120
classical monocyte	endothelial cell	112
classical monocyte	erythrocyte	16
classical monocyte	hematopoietic stem cell	29
classical monocyte	innate lymphoid cell	98
classical monocyte	intermediate monocyte	76
classical monocyte	macrophage	122
classical monocyte	mast cell	25
classical monocyte	mature NK T cell	70
classical monocyte	mature conventional dendritic cell	54
classical monocyte	neutrophil	40
classical monocyte	non-classical monocyte	33
classical monocyte	plasma cell	56
classical monocyte	regulatory T cell	96
classical monocyte	stromal cell	66
classical monocyte	type I NK T cell	123
effector CD4-positive, alpha-beta T cell	B cell	249
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	150
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	152
effector CD4-positive, alpha-beta T cell	T cell	273
effector CD4-positive, alpha-beta T cell	classical monocyte	126
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	265
effector CD4-positive, alpha-beta T cell	endothelial cell	272
effector CD4-positive, alpha-beta T cell	erythrocyte	29
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	69
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	218
effector CD4-positive, alpha-beta T cell	intermediate monocyte	145
effector CD4-positive, alpha-beta T cell	macrophage	261
effector CD4-positive, alpha-beta T cell	mast cell	50
effector CD4-positive, alpha-beta T cell	mature NK T cell	160
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	121
effector CD4-positive, alpha-beta T cell	neutrophil	72
effector CD4-positive, alpha-beta T cell	non-classical monocyte	67
effector CD4-positive, alpha-beta T cell	plasma cell	136
effector CD4-positive, alpha-beta T cell	regulatory T cell	206
effector CD4-positive, alpha-beta T cell	stromal cell	212
effector CD4-positive, alpha-beta T cell	type I NK T cell	244
effector CD8-positive, alpha-beta T cell	B cell	256
effector CD8-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	153
effector CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	157
effector CD8-positive, alpha-beta T cell	T cell	276
effector CD8-positive, alpha-beta T cell	classical monocyte	129
effector CD8-positive, alpha-beta T cell	effector CD4-positive, alpha-beta T cell	283
effector CD8-positive, alpha-beta T cell	endothelial cell	270
effector CD8-positive, alpha-beta T cell	erythrocyte	29
effector CD8-positive, alpha-beta T cell	hematopoietic stem cell	70
effector CD8-positive, alpha-beta T cell	innate lymphoid cell	227
effector CD8-positive, alpha-beta T cell	intermediate monocyte	144
effector CD8-positive, alpha-beta T cell	macrophage	265
effector CD8-positive, alpha-beta T cell	mast cell	53
effector CD8-positive, alpha-beta T cell	mature NK T cell	161
effector CD8-positive, alpha-beta T cell	mature conventional dendritic cell	126
effector CD8-positive, alpha-beta T cell	neutrophil	74
effector CD8-positive, alpha-beta T cell	non-classical monocyte	70
effector CD8-positive, alpha-beta T cell	plasma cell	143
effector CD8-positive, alpha-beta T cell	regulatory T cell	209
effector CD8-positive, alpha-beta T cell	stromal cell	216
effector CD8-positive, alpha-beta T cell	type I NK T cell	250
endothelial cell	B cell	218
endothelial cell	CD141-positive myeloid dendritic cell	128
endothelial cell	CD1c-positive myeloid dendritic cell	140
endothelial cell	T cell	247
endothelial cell	classical monocyte	125
endothelial cell	effector CD4-positive, alpha-beta T cell	255
endothelial cell	effector CD8-positive, alpha-beta T cell	239
endothelial cell	erythrocyte	29
endothelial cell	hematopoietic stem cell	55
endothelial cell	innate lymphoid cell	198
endothelial cell	intermediate monocyte	146
endothelial cell	macrophage	258
endothelial cell	mast cell	36
endothelial cell	mature NK T cell	137
endothelial cell	mature conventional dendritic cell	115
endothelial cell	neutrophil	66
endothelial cell	non-classical monocyte	58
endothelial cell	plasma cell	114
endothelial cell	regulatory T cell	183
endothelial cell	stromal cell	183
endothelial cell	type I NK T cell	228
erythrocyte	B cell	37
erythrocyte	CD141-positive myeloid dendritic cell	22
erythrocyte	CD1c-positive myeloid dendritic cell	30
erythrocyte	T cell	47
erythrocyte	classical monocyte	26
erythrocyte	effector CD4-positive, alpha-beta T cell	50
erythrocyte	effector CD8-positive, alpha-beta T cell	46
erythrocyte	endothelial cell	31
erythrocyte	hematopoietic stem cell	10
erythrocyte	innate lymphoid cell	37
erythrocyte	intermediate monocyte	32
erythrocyte	macrophage	43
erythrocyte	mast cell	9
erythrocyte	mature NK T cell	24
erythrocyte	mature conventional dendritic cell	17
erythrocyte	neutrophil	15
erythrocyte	non-classical monocyte	15
erythrocyte	plasma cell	20
erythrocyte	regulatory T cell	33
erythrocyte	stromal cell	19
erythrocyte	type I NK T cell	48
hematopoietic stem cell	B cell	58
hematopoietic stem cell	CD141-positive myeloid dendritic cell	38
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	45
hematopoietic stem cell	T cell	71
hematopoietic stem cell	classical monocyte	32
hematopoietic stem cell	effector CD4-positive, alpha-beta T cell	72
hematopoietic stem cell	effector CD8-positive, alpha-beta T cell	64
hematopoietic stem cell	endothelial cell	61
hematopoietic stem cell	erythrocyte	10
hematopoietic stem cell	innate lymphoid cell	57
hematopoietic stem cell	intermediate monocyte	43
hematopoietic stem cell	macrophage	68
hematopoietic stem cell	mast cell	15
hematopoietic stem cell	mature NK T cell	42
hematopoietic stem cell	mature conventional dendritic cell	34
hematopoietic stem cell	neutrophil	18
hematopoietic stem cell	non-classical monocyte	21
