source	target	count
B cell	CD141-positive myeloid dendritic cell	129
B cell	CD1c-positive myeloid dendritic cell	119
B cell	T cell	242
B cell	classical monocyte	114
B cell	effector CD4-positive, alpha-beta T cell	256
B cell	effector CD8-positive, alpha-beta T cell	254
B cell	endothelial cell	233
B cell	erythrocyte	24
B cell	hematopoietic stem cell	62
B cell	innate lymphoid cell	194
B cell	intermediate monocyte	130
B cell	macrophage	233
B cell	mast cell	44
B cell	mature NK T cell	151
B cell	mature conventional dendritic cell	110
B cell	neutrophil	61
B cell	non-classical monocyte	74
B cell	plasma cell	131
B cell	regulatory T cell	187
B cell	stromal cell	192
B cell	type I NK T cell	225
CD141-positive myeloid dendritic cell	B cell	153
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	89
CD141-positive myeloid dendritic cell	T cell	179
CD141-positive myeloid dendritic cell	classical monocyte	90
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	191
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	189
CD141-positive myeloid dendritic cell	endothelial cell	163
CD141-positive myeloid dendritic cell	erythrocyte	24
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	150
CD141-positive myeloid dendritic cell	intermediate monocyte	99
CD141-positive myeloid dendritic cell	macrophage	172
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	117
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	84
CD141-positive myeloid dendritic cell	neutrophil	48
CD141-positive myeloid dendritic cell	non-classical monocyte	58
CD141-positive myeloid dendritic cell	plasma cell	87
CD141-positive myeloid dendritic cell	regulatory T cell	139
CD141-positive myeloid dendritic cell	stromal cell	121
CD141-positive myeloid dendritic cell	type I NK T cell	179
CD1c-positive myeloid dendritic cell	B cell	109
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	68
CD1c-positive myeloid dendritic cell	T cell	133
CD1c-positive myeloid dendritic cell	classical monocyte	73
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	138
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	142
CD1c-positive myeloid dendritic cell	endothelial cell	114
CD1c-positive myeloid dendritic cell	erythrocyte	14
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	27
CD1c-positive myeloid dendritic cell	innate lymphoid cell	108
CD1c-positive myeloid dendritic cell	intermediate monocyte	75
CD1c-positive myeloid dendritic cell	macrophage	128
CD1c-positive myeloid dendritic cell	mast cell	25
CD1c-positive myeloid dendritic cell	mature NK T cell	82
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	59
CD1c-positive myeloid dendritic cell	neutrophil	43
CD1c-positive myeloid dendritic cell	non-classical monocyte	48
CD1c-positive myeloid dendritic cell	plasma cell	75
CD1c-positive myeloid dendritic cell	regulatory T cell	107
CD1c-positive myeloid dendritic cell	stromal cell	84
CD1c-positive myeloid dendritic cell	type I NK T cell	135
T cell	B cell	235
T cell	CD141-positive myeloid dendritic cell	157
T cell	CD1c-positive myeloid dendritic cell	132
T cell	classical monocyte	131
T cell	effector CD4-positive, alpha-beta T cell	284
T cell	effector CD8-positive, alpha-beta T cell	275
T cell	endothelial cell	262
T cell	erythrocyte	31
T cell	hematopoietic stem cell	68
T cell	innate lymphoid cell	214
T cell	intermediate monocyte	144
T cell	macrophage	263
T cell	mast cell	52
T cell	mature NK T cell	175
T cell	mature conventional dendritic cell	126
T cell	neutrophil	74
T cell	non-classical monocyte	88
T cell	plasma cell	146
