source	target	count
B cell	CD141-positive myeloid dendritic cell	16
B cell	CD1c-positive myeloid dendritic cell	18
B cell	T cell	10
B cell	classical monocyte	15
B cell	effector CD4-positive, alpha-beta T cell	9
B cell	effector CD8-positive, alpha-beta T cell	6
B cell	endothelial cell	31
B cell	erythrocyte	2
B cell	hematopoietic stem cell	7
B cell	innate lymphoid cell	9
B cell	intermediate monocyte	19
B cell	macrophage	25
B cell	mast cell	5
B cell	mature NK T cell	11
B cell	mature conventional dendritic cell	16
B cell	neutrophil	10
B cell	non-classical monocyte	9
B cell	plasma cell	5
B cell	regulatory T cell	11
B cell	stromal cell	34
B cell	type I NK T cell	6
CD141-positive myeloid dendritic cell	B cell	12
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	21
CD141-positive myeloid dendritic cell	T cell	14
CD141-positive myeloid dendritic cell	classical monocyte	18
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	7
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	4
CD141-positive myeloid dendritic cell	endothelial cell	33
CD141-positive myeloid dendritic cell	erythrocyte	5
CD141-positive myeloid dendritic cell	hematopoietic stem cell	6
CD141-positive myeloid dendritic cell	innate lymphoid cell	11
CD141-positive myeloid dendritic cell	intermediate monocyte	17
CD141-positive myeloid dendritic cell	macrophage	32
CD141-positive myeloid dendritic cell	mast cell	2
CD141-positive myeloid dendritic cell	mature NK T cell	9
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	19
CD141-positive myeloid dendritic cell	neutrophil	10
CD141-positive myeloid dendritic cell	non-classical monocyte	11
CD141-positive myeloid dendritic cell	plasma cell	8
CD141-positive myeloid dendritic cell	regulatory T cell	6
CD141-positive myeloid dendritic cell	stromal cell	42
CD141-positive myeloid dendritic cell	type I NK T cell	7
CD1c-positive myeloid dendritic cell	B cell	14
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	17
CD1c-positive myeloid dendritic cell	T cell	13
CD1c-positive myeloid dendritic cell	classical monocyte	18
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	9
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	6
CD1c-positive myeloid dendritic cell	endothelial cell	35
CD1c-positive myeloid dendritic cell	erythrocyte	3
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	5
CD1c-positive myeloid dendritic cell	innate lymphoid cell	10
CD1c-positive myeloid dendritic cell	intermediate monocyte	24
CD1c-positive myeloid dendritic cell	macrophage	41
CD1c-positive myeloid dendritic cell	mast cell	4
CD1c-positive myeloid dendritic cell	mature NK T cell	13
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	17
CD1c-positive myeloid dendritic cell	neutrophil	16
CD1c-positive myeloid dendritic cell	non-classical monocyte	12
CD1c-positive myeloid dendritic cell	plasma cell	11
CD1c-positive myeloid dendritic cell	regulatory T cell	12
CD1c-positive myeloid dendritic cell	stromal cell	36
CD1c-positive myeloid dendritic cell	type I NK T cell	6
T cell	B cell	8
T cell	CD141-positive myeloid dendritic cell	24
T cell	CD1c-positive myeloid dendritic cell	14
T cell	classical monocyte	14
T cell	effector CD4-positive, alpha-beta T cell	11
T cell	effector CD8-positive, alpha-beta T cell	6
T cell	endothelial cell	32
T cell	erythrocyte	3
T cell	hematopoietic stem cell	6
T cell	innate lymphoid cell	11
T cell	intermediate monocyte	14
T cell	macrophage	23
T cell	mast cell	7
T cell	mature NK T cell	19
T cell	mature conventional dendritic cell	17
T cell	neutrophil	7
T cell	non-classical monocyte	9
T cell	plasma cell	7
T cell	regulatory T cell	9
T cell	stromal cell	42
T cell	type I NK T cell	13
classical monocyte	B cell	9
classical monocyte	CD141-positive myeloid dendritic cell	12
classical monocyte	CD1c-positive myeloid dendritic cell	19
classical monocyte	T cell	10
classical monocyte	effector CD4-positive, alpha-beta T cell	4
classical monocyte	effector CD8-positive, alpha-beta T cell	3
classical monocyte	endothelial cell	36
classical monocyte	erythrocyte	3
classical monocyte	hematopoietic stem cell	3
classical monocyte	innate lymphoid cell	7
classical monocyte	intermediate monocyte	15
classical monocyte	macrophage	30
classical monocyte	mast cell	2
classical monocyte	mature NK T cell	6
classical monocyte	mature conventional dendritic cell	10
classical monocyte	neutrophil	7
classical monocyte	non-classical monocyte	9
classical monocyte	plasma cell	10
classical monocyte	regulatory T cell	5
classical monocyte	stromal cell	24
classical monocyte	type I NK T cell	5
effector CD4-positive, alpha-beta T cell	B cell	12
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	23
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	18
effector CD4-positive, alpha-beta T cell	T cell	16
effector CD4-positive, alpha-beta T cell	classical monocyte	17
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	4
effector CD4-positive, alpha-beta T cell	endothelial cell	37
effector CD4-positive, alpha-beta T cell	erythrocyte	2
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	7
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	9
effector CD4-positive, alpha-beta T cell	intermediate monocyte	21
effector CD4-positive, alpha-beta T cell	macrophage	26
effector CD4-positive, alpha-beta T cell	mast cell	3
effector CD4-positive, alpha-beta T cell	mature NK T cell	8
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	14
effector CD4-positive, alpha-beta T cell	neutrophil	6
effector CD4-positive, alpha-beta T cell	non-classical monocyte	12
effector CD4-positive, alpha-beta T cell	plasma cell	11
effector CD4-positive, alpha-beta T cell	regulatory T cell	6
effector CD4-positive, alpha-beta T cell	stromal cell	38
effector CD4-positive, alpha-beta T cell	type I NK T cell	8
effector CD8-positive, alpha-beta T cell	B cell	13
effector CD8-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	15
effector CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	19
