column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.035	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.027	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.463	1	Adipocytes	D Cells	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.027	1	Adipocytes	Enterocytes	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.069	1	Adipocytes	Enteroendocrine	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.135	1	Adipocytes	I Cells	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.105	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.044	1	Adipocytes	Mo Cells	small_intestine	HBM629.DBKM.347_reg001
Adipocytes|TA1	CD96	NECTIN1	0.026	1	Adipocytes	TA1	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	CCL25	ACKR4	0.005	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	CCL25	CCR9	0.037	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	LGALS3	MERTK	0.009	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	GAS6	MERTK	0.008	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	SEMA4D	PLXNB1	0.003	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	SEMA4D	PTPRC	0.142	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	SST	SSTR1	0.008	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|CD8	ALCAM	CD6	0.013	8	B Cells	CD8	small_intestine	HBM629.DBKM.347_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.125	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.004	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.06	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.059	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.033	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB1	0.003	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM629.DBKM.347_reg001
