source	target	count
B cell	CD141-positive myeloid dendritic cell	26
B cell	CD1c-positive myeloid dendritic cell	32
B cell	T cell	13
B cell	classical monocyte	25
B cell	effector CD4-positive, alpha-beta T cell	15
B cell	effector CD8-positive, alpha-beta T cell	16
B cell	endothelial cell	54
B cell	erythrocyte	3
B cell	hematopoietic stem cell	16
B cell	innate lymphoid cell	11
B cell	intermediate monocyte	32
B cell	macrophage	44
B cell	mast cell	12
B cell	mature NK T cell	10
B cell	mature conventional dendritic cell	26
B cell	neutrophil	13
B cell	non-classical monocyte	12
B cell	plasma cell	15
B cell	regulatory T cell	20
B cell	stromal cell	51
B cell	type I NK T cell	16
CD141-positive myeloid dendritic cell	B cell	21
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	32
CD141-positive myeloid dendritic cell	T cell	16
CD141-positive myeloid dendritic cell	classical monocyte	26
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	14
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	12
CD141-positive myeloid dendritic cell	endothelial cell	50
CD141-positive myeloid dendritic cell	erythrocyte	7
CD141-positive myeloid dendritic cell	hematopoietic stem cell	12
CD141-positive myeloid dendritic cell	innate lymphoid cell	13
CD141-positive myeloid dendritic cell	intermediate monocyte	34
CD141-positive myeloid dendritic cell	macrophage	46
CD141-positive myeloid dendritic cell	mast cell	8
CD141-positive myeloid dendritic cell	mature NK T cell	10
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	26
CD141-positive myeloid dendritic cell	neutrophil	10
CD141-positive myeloid dendritic cell	non-classical monocyte	14
CD141-positive myeloid dendritic cell	plasma cell	19
CD141-positive myeloid dendritic cell	regulatory T cell	16
CD141-positive myeloid dendritic cell	stromal cell	51
CD141-positive myeloid dendritic cell	type I NK T cell	16
CD1c-positive myeloid dendritic cell	B cell	20
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	27
CD1c-positive myeloid dendritic cell	T cell	12
CD1c-positive myeloid dendritic cell	classical monocyte	29
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	11
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	16
CD1c-positive myeloid dendritic cell	endothelial cell	46
CD1c-positive myeloid dendritic cell	erythrocyte	6
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	12
CD1c-positive myeloid dendritic cell	innate lymphoid cell	14
CD1c-positive myeloid dendritic cell	intermediate monocyte	36
CD1c-positive myeloid dendritic cell	macrophage	53
CD1c-positive myeloid dendritic cell	mast cell	8
CD1c-positive myeloid dendritic cell	mature NK T cell	10
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	27
CD1c-positive myeloid dendritic cell	neutrophil	16
CD1c-positive myeloid dendritic cell	non-classical monocyte	15
CD1c-positive myeloid dendritic cell	plasma cell	24
CD1c-positive myeloid dendritic cell	regulatory T cell	20
CD1c-positive myeloid dendritic cell	stromal cell	46
CD1c-positive myeloid dendritic cell	type I NK T cell	17
T cell	B cell	10
T cell	CD141-positive myeloid dendritic cell	20
T cell	CD1c-positive myeloid dendritic cell	16
T cell	classical monocyte	10
T cell	effector CD4-positive, alpha-beta T cell	9
T cell	effector CD8-positive, alpha-beta T cell	7
T cell	endothelial cell	32
