source	target	count
B cell	CD141-positive myeloid dendritic cell	143
B cell	CD1c-positive myeloid dendritic cell	145
B cell	T cell	251
B cell	classical monocyte	122
B cell	effector CD4-positive, alpha-beta T cell	249
B cell	effector CD8-positive, alpha-beta T cell	259
B cell	endothelial cell	254
B cell	erythrocyte	25
B cell	hematopoietic stem cell	65
B cell	innate lymphoid cell	198
B cell	intermediate monocyte	131
B cell	macrophage	255
B cell	mast cell	47
B cell	mature NK T cell	150
B cell	mature conventional dendritic cell	113
B cell	neutrophil	66
B cell	non-classical monocyte	79
B cell	plasma cell	135
B cell	regulatory T cell	187
B cell	stromal cell	209
B cell	type I NK T cell	230
CD141-positive myeloid dendritic cell	B cell	161
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	106
CD141-positive myeloid dendritic cell	T cell	180
CD141-positive myeloid dendritic cell	classical monocyte	94
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	180
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	184
CD141-positive myeloid dendritic cell	endothelial cell	166
CD141-positive myeloid dendritic cell	erythrocyte	24
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	149
CD141-positive myeloid dendritic cell	intermediate monocyte	95
CD141-positive myeloid dendritic cell	macrophage	179
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	114
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	86
CD141-positive myeloid dendritic cell	neutrophil	50
CD141-positive myeloid dendritic cell	non-classical monocyte	60
CD141-positive myeloid dendritic cell	plasma cell	86
CD141-positive myeloid dendritic cell	regulatory T cell	134
CD141-positive myeloid dendritic cell	stromal cell	126
CD141-positive myeloid dendritic cell	type I NK T cell	172
CD1c-positive myeloid dendritic cell	B cell	125
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	77
CD1c-positive myeloid dendritic cell	T cell	143
CD1c-positive myeloid dendritic cell	classical monocyte	81
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	141
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	149
CD1c-positive myeloid dendritic cell	endothelial cell	124
CD1c-positive myeloid dendritic cell	erythrocyte	16
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	30
CD1c-positive myeloid dendritic cell	innate lymphoid cell	115
CD1c-positive myeloid dendritic cell	intermediate monocyte	83
CD1c-positive myeloid dendritic cell	macrophage	141
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	86
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	66
CD1c-positive myeloid dendritic cell	neutrophil	46
CD1c-positive myeloid dendritic cell	non-classical monocyte	52
CD1c-positive myeloid dendritic cell	plasma cell	80
CD1c-positive myeloid dendritic cell	regulatory T cell	112
CD1c-positive myeloid dendritic cell	stromal cell	89
CD1c-positive myeloid dendritic cell	type I NK T cell	140
T cell	B cell	228
T cell	CD141-positive myeloid dendritic cell	156
T cell	CD1c-positive myeloid dendritic cell	146
T cell	classical monocyte	125
