source	target	count
B cell	CD141-positive myeloid dendritic cell	122
B cell	CD1c-positive myeloid dendritic cell	104
B cell	T cell	219
B cell	classical monocyte	108
B cell	effector CD4-positive, alpha-beta T cell	231
B cell	effector CD8-positive, alpha-beta T cell	236
B cell	endothelial cell	226
B cell	erythrocyte	21
B cell	hematopoietic stem cell	67
B cell	innate lymphoid cell	180
B cell	intermediate monocyte	120
B cell	macrophage	218
B cell	mast cell	42
B cell	mature NK T cell	141
B cell	mature conventional dendritic cell	93
B cell	neutrophil	60
B cell	non-classical monocyte	55
B cell	plasma cell	114
B cell	regulatory T cell	167
B cell	stromal cell	178
B cell	type I NK T cell	201
CD141-positive myeloid dendritic cell	B cell	149
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	83
CD141-positive myeloid dendritic cell	T cell	175
CD141-positive myeloid dendritic cell	classical monocyte	90
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	181
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	187
CD141-positive myeloid dendritic cell	endothelial cell	171
CD141-positive myeloid dendritic cell	erythrocyte	21
CD141-positive myeloid dendritic cell	hematopoietic stem cell	51
CD141-positive myeloid dendritic cell	innate lymphoid cell	150
CD141-positive myeloid dendritic cell	intermediate monocyte	95
CD141-positive myeloid dendritic cell	macrophage	169
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	118
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	83
CD141-positive myeloid dendritic cell	neutrophil	50
CD141-positive myeloid dendritic cell	non-classical monocyte	47
CD141-positive myeloid dendritic cell	plasma cell	83
CD141-positive myeloid dendritic cell	regulatory T cell	133
CD141-positive myeloid dendritic cell	stromal cell	119
CD141-positive myeloid dendritic cell	type I NK T cell	169
CD1c-positive myeloid dendritic cell	B cell	103
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	64
CD1c-positive myeloid dendritic cell	T cell	126
CD1c-positive myeloid dendritic cell	classical monocyte	73
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	126
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	133
CD1c-positive myeloid dendritic cell	endothelial cell	111
CD1c-positive myeloid dendritic cell	erythrocyte	15
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	35
CD1c-positive myeloid dendritic cell	innate lymphoid cell	104
CD1c-positive myeloid dendritic cell	intermediate monocyte	73
CD1c-positive myeloid dendritic cell	macrophage	124
CD1c-positive myeloid dendritic cell	mast cell	25
CD1c-positive myeloid dendritic cell	mature NK T cell	82
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	57
CD1c-positive myeloid dendritic cell	neutrophil	42
CD1c-positive myeloid dendritic cell	non-classical monocyte	42
CD1c-positive myeloid dendritic cell	plasma cell	65
CD1c-positive myeloid dendritic cell	regulatory T cell	94
CD1c-positive myeloid dendritic cell	stromal cell	74
CD1c-positive myeloid dendritic cell	type I NK T cell	125
T cell	B cell	224
T cell	CD141-positive myeloid dendritic cell	155
T cell	CD1c-positive myeloid dendritic cell	120
T cell	classical monocyte	131
T cell	effector CD4-positive, alpha-beta T cell	266
T cell	effector CD8-positive, alpha-beta T cell	271
T cell	endothelial cell	272
T cell	erythrocyte	29
T cell	hematopoietic stem cell	81
T cell	innate lymphoid cell	212
T cell	intermediate monocyte	141
T cell	macrophage	257
T cell	mast cell	51
