source	target	count
B cell	CD141-positive myeloid dendritic cell	120
B cell	CD1c-positive myeloid dendritic cell	104
B cell	T cell	216
B cell	classical monocyte	98
B cell	effector CD4-positive, alpha-beta T cell	220
B cell	effector CD8-positive, alpha-beta T cell	226
B cell	endothelial cell	200
B cell	erythrocyte	21
B cell	hematopoietic stem cell	57
B cell	innate lymphoid cell	163
B cell	intermediate monocyte	107
B cell	macrophage	204
B cell	mast cell	41
B cell	mature NK T cell	129
B cell	mature conventional dendritic cell	98
B cell	neutrophil	56
B cell	non-classical monocyte	47
B cell	plasma cell	109
B cell	regulatory T cell	164
B cell	stromal cell	167
B cell	type I NK T cell	197
CD141-positive myeloid dendritic cell	B cell	142
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	82
CD141-positive myeloid dendritic cell	T cell	173
CD141-positive myeloid dendritic cell	classical monocyte	79
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	179
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	176
CD141-positive myeloid dendritic cell	endothelial cell	153
CD141-positive myeloid dendritic cell	erythrocyte	20
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	138
CD141-positive myeloid dendritic cell	intermediate monocyte	88
CD141-positive myeloid dendritic cell	macrophage	162
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	103
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	81
CD141-positive myeloid dendritic cell	neutrophil	47
CD141-positive myeloid dendritic cell	non-classical monocyte	37
CD141-positive myeloid dendritic cell	plasma cell	78
CD141-positive myeloid dendritic cell	regulatory T cell	130
CD141-positive myeloid dendritic cell	stromal cell	113
CD141-positive myeloid dendritic cell	type I NK T cell	168
CD1c-positive myeloid dendritic cell	B cell	102
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	67
CD1c-positive myeloid dendritic cell	T cell	127
CD1c-positive myeloid dendritic cell	classical monocyte	65
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	130
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	132
CD1c-positive myeloid dendritic cell	endothelial cell	103
CD1c-positive myeloid dendritic cell	erythrocyte	14
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	26
CD1c-positive myeloid dendritic cell	innate lymphoid cell	98
CD1c-positive myeloid dendritic cell	intermediate monocyte	68
CD1c-positive myeloid dendritic cell	macrophage	121
CD1c-positive myeloid dendritic cell	mast cell	24
CD1c-positive myeloid dendritic cell	mature NK T cell	72
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	55
CD1c-positive myeloid dendritic cell	neutrophil	40
CD1c-positive myeloid dendritic cell	non-classical monocyte	30
CD1c-positive myeloid dendritic cell	plasma cell	66
CD1c-positive myeloid dendritic cell	regulatory T cell	99
CD1c-positive myeloid dendritic cell	stromal cell	78
CD1c-positive myeloid dendritic cell	type I NK T cell	125
T cell	B cell	215
T cell	CD141-positive myeloid dendritic cell	152
T cell	CD1c-positive myeloid dendritic cell	124
T cell	classical monocyte	120
T cell	effector CD4-positive, alpha-beta T cell	264
T cell	effector CD8-positive, alpha-beta T cell	264
T cell	endothelial cell	246
T cell	erythrocyte	29
T cell	hematopoietic stem cell	67
T cell	innate lymphoid cell	200
T cell	intermediate monocyte	134
T cell	macrophage	247
T cell	mast cell	50
T cell	mature NK T cell	156
T cell	mature conventional dendritic cell	122
T cell	neutrophil	72
