source	target	count
B cell	CD141-positive myeloid dendritic cell	122
B cell	CD1c-positive myeloid dendritic cell	91
B cell	T cell	215
B cell	classical monocyte	93
B cell	effector CD4-positive, alpha-beta T cell	227
B cell	effector CD8-positive, alpha-beta T cell	226
B cell	endothelial cell	202
B cell	erythrocyte	22
B cell	hematopoietic stem cell	57
B cell	innate lymphoid cell	176
B cell	intermediate monocyte	115
B cell	macrophage	212
B cell	mast cell	40
B cell	mature NK T cell	134
B cell	mature conventional dendritic cell	50
B cell	neutrophil	56
B cell	non-classical monocyte	57
B cell	plasma cell	119
B cell	regulatory T cell	156
B cell	stromal cell	162
B cell	type I NK T cell	200
CD141-positive myeloid dendritic cell	B cell	139
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	74
CD141-positive myeloid dendritic cell	T cell	170
CD141-positive myeloid dendritic cell	classical monocyte	81
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	180
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	177
CD141-positive myeloid dendritic cell	endothelial cell	157
CD141-positive myeloid dendritic cell	erythrocyte	21
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	144
CD141-positive myeloid dendritic cell	intermediate monocyte	92
CD141-positive myeloid dendritic cell	macrophage	165
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	109
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	51
CD141-positive myeloid dendritic cell	neutrophil	47
CD141-positive myeloid dendritic cell	non-classical monocyte	43
CD141-positive myeloid dendritic cell	plasma cell	84
CD141-positive myeloid dendritic cell	regulatory T cell	125
CD141-positive myeloid dendritic cell	stromal cell	116
CD141-positive myeloid dendritic cell	type I NK T cell	168
CD1c-positive myeloid dendritic cell	B cell	82
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	60
CD1c-positive myeloid dendritic cell	T cell	107
CD1c-positive myeloid dendritic cell	classical monocyte	60
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	111
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	113
CD1c-positive myeloid dendritic cell	endothelial cell	86
CD1c-positive myeloid dendritic cell	erythrocyte	15
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	23
CD1c-positive myeloid dendritic cell	innate lymphoid cell	90
CD1c-positive myeloid dendritic cell	intermediate monocyte	61
CD1c-positive myeloid dendritic cell	macrophage	107
CD1c-positive myeloid dendritic cell	mast cell	21
CD1c-positive myeloid dendritic cell	mature NK T cell	67
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	32
CD1c-positive myeloid dendritic cell	neutrophil	36
CD1c-positive myeloid dendritic cell	non-classical monocyte	31
CD1c-positive myeloid dendritic cell	plasma cell	61
CD1c-positive myeloid dendritic cell	regulatory T cell	80
CD1c-positive myeloid dendritic cell	stromal cell	61
CD1c-positive myeloid dendritic cell	type I NK T cell	112
T cell	B cell	199
T cell	CD141-positive myeloid dendritic cell	149
T cell	CD1c-positive myeloid dendritic cell	104
T cell	classical monocyte	113
T cell	effector CD4-positive, alpha-beta T cell	258
T cell	effector CD8-positive, alpha-beta T cell	251
T cell	endothelial cell	239
T cell	erythrocyte	30
T cell	hematopoietic stem cell	67
T cell	innate lymphoid cell	202
T cell	intermediate monocyte	131
T cell	macrophage	244
T cell	mast cell	49
T cell	mature NK T cell	154
T cell	mature conventional dendritic cell	63
T cell	neutrophil	69
T cell	non-classical monocyte	65
T cell	plasma cell	137
T cell	regulatory T cell	181
T cell	stromal cell	196
