source	target	count
B cell	CD141-positive myeloid dendritic cell	136
B cell	CD1c-positive myeloid dendritic cell	144
B cell	T cell	256
B cell	classical monocyte	124
B cell	effector CD4-positive, alpha-beta T cell	261
B cell	effector CD8-positive, alpha-beta T cell	265
B cell	endothelial cell	258
B cell	erythrocyte	25
B cell	hematopoietic stem cell	65
B cell	innate lymphoid cell	201
B cell	intermediate monocyte	132
B cell	macrophage	250
B cell	mast cell	47
B cell	mature NK T cell	147
B cell	mature conventional dendritic cell	111
B cell	neutrophil	64
B cell	non-classical monocyte	77
B cell	plasma cell	134
B cell	regulatory T cell	195
B cell	stromal cell	208
B cell	type I NK T cell	239
CD141-positive myeloid dendritic cell	B cell	164
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	105
CD141-positive myeloid dendritic cell	T cell	183
CD141-positive myeloid dendritic cell	classical monocyte	94
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	188
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	190
CD141-positive myeloid dendritic cell	endothelial cell	171
CD141-positive myeloid dendritic cell	erythrocyte	24
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	152
CD141-positive myeloid dendritic cell	intermediate monocyte	99
CD141-positive myeloid dendritic cell	macrophage	175
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	108
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	84
CD141-positive myeloid dendritic cell	neutrophil	48
CD141-positive myeloid dendritic cell	non-classical monocyte	58
CD141-positive myeloid dendritic cell	plasma cell	87
CD141-positive myeloid dendritic cell	regulatory T cell	141
CD141-positive myeloid dendritic cell	stromal cell	124
CD141-positive myeloid dendritic cell	type I NK T cell	179
CD1c-positive myeloid dendritic cell	B cell	131
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	76
CD1c-positive myeloid dendritic cell	T cell	148
CD1c-positive myeloid dendritic cell	classical monocyte	83
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	150
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	153
CD1c-positive myeloid dendritic cell	endothelial cell	127
CD1c-positive myeloid dendritic cell	erythrocyte	16
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	30
CD1c-positive myeloid dendritic cell	innate lymphoid cell	120
CD1c-positive myeloid dendritic cell	intermediate monocyte	80
CD1c-positive myeloid dendritic cell	macrophage	140
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	85
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	66
CD1c-positive myeloid dendritic cell	neutrophil	46
CD1c-positive myeloid dendritic cell	non-classical monocyte	51
CD1c-positive myeloid dendritic cell	plasma cell	79
CD1c-positive myeloid dendritic cell	regulatory T cell	118
CD1c-positive myeloid dendritic cell	stromal cell	89
CD1c-positive myeloid dendritic cell	type I NK T cell	146
T cell	B cell	252
T cell	CD141-positive myeloid dendritic cell	158
T cell	CD1c-positive myeloid dendritic cell	155
T cell	classical monocyte	137
T cell	effector CD4-positive, alpha-beta T cell	284
T cell	effector CD8-positive, alpha-beta T cell	282
T cell	endothelial cell	283
T cell	erythrocyte	31
T cell	hematopoietic stem cell	69
T cell	innate lymphoid cell	220
T cell	intermediate monocyte	143
T cell	macrophage	272
T cell	mast cell	52
T cell	mature NK T cell	164
T cell	mature conventional dendritic cell	127
T cell	neutrophil	74
T cell	non-classical monocyte	89
T cell	plasma cell	150
T cell	regulatory T cell	213
T cell	stromal cell	221
T cell	type I NK T cell	256
classical monocyte	B cell	120
classical monocyte	CD141-positive myeloid dendritic cell	74
classical monocyte	CD1c-positive myeloid dendritic cell	87
classical monocyte	T cell	134
classical monocyte	effector CD4-positive, alpha-beta T cell	136
classical monocyte	effector CD8-positive, alpha-beta T cell	134
classical monocyte	endothelial cell	120
classical monocyte	erythrocyte	16
classical monocyte	hematopoietic stem cell	31
classical monocyte	innate lymphoid cell	105
classical monocyte	intermediate monocyte	82
classical monocyte	macrophage	126
classical monocyte	mast cell	28
classical monocyte	mature NK T cell	74
classical monocyte	mature conventional dendritic cell	58
classical monocyte	neutrophil	44
classical monocyte	non-classical monocyte	50
classical monocyte	plasma cell	70
classical monocyte	regulatory T cell	106
