source	target	count
B cell	CD141-positive myeloid dendritic cell	118
B cell	CD1c-positive myeloid dendritic cell	124
B cell	T cell	245
B cell	classical monocyte	116
B cell	effector CD4-positive, alpha-beta T cell	246
B cell	effector CD8-positive, alpha-beta T cell	257
B cell	endothelial cell	251
B cell	erythrocyte	23
B cell	hematopoietic stem cell	62
B cell	innate lymphoid cell	184
B cell	intermediate monocyte	127
B cell	macrophage	229
B cell	mast cell	45
B cell	mature NK T cell	142
B cell	mature conventional dendritic cell	101
B cell	neutrophil	65
B cell	non-classical monocyte	76
B cell	plasma cell	129
B cell	regulatory T cell	187
B cell	stromal cell	198
B cell	type I NK T cell	221
CD141-positive myeloid dendritic cell	B cell	140
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	86
CD141-positive myeloid dendritic cell	T cell	165
CD141-positive myeloid dendritic cell	classical monocyte	84
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	170
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	170
CD141-positive myeloid dendritic cell	endothelial cell	158
CD141-positive myeloid dendritic cell	erythrocyte	21
CD141-positive myeloid dendritic cell	hematopoietic stem cell	39
CD141-positive myeloid dendritic cell	innate lymphoid cell	132
CD141-positive myeloid dendritic cell	intermediate monocyte	91
CD141-positive myeloid dendritic cell	macrophage	154
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	96
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	75
CD141-positive myeloid dendritic cell	neutrophil	48
CD141-positive myeloid dendritic cell	non-classical monocyte	56
CD141-positive myeloid dendritic cell	plasma cell	79
CD141-positive myeloid dendritic cell	regulatory T cell	127
CD141-positive myeloid dendritic cell	stromal cell	109
CD141-positive myeloid dendritic cell	type I NK T cell	163
CD1c-positive myeloid dendritic cell	B cell	115
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	65
CD1c-positive myeloid dendritic cell	T cell	138
CD1c-positive myeloid dendritic cell	classical monocyte	77
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	138
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	145
CD1c-positive myeloid dendritic cell	endothelial cell	124
CD1c-positive myeloid dendritic cell	erythrocyte	14
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	30
CD1c-positive myeloid dendritic cell	innate lymphoid cell	104
CD1c-positive myeloid dendritic cell	intermediate monocyte	76
CD1c-positive myeloid dendritic cell	macrophage	129
CD1c-positive myeloid dendritic cell	mast cell	28
CD1c-positive myeloid dendritic cell	mature NK T cell	76
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	57
CD1c-positive myeloid dendritic cell	neutrophil	46
CD1c-positive myeloid dendritic cell	non-classical monocyte	51
CD1c-positive myeloid dendritic cell	plasma cell	76
CD1c-positive myeloid dendritic cell	regulatory T cell	106
CD1c-positive myeloid dendritic cell	stromal cell	86
CD1c-positive myeloid dendritic cell	type I NK T cell	137
T cell	B cell	227
T cell	CD141-positive myeloid dendritic cell	131
T cell	CD1c-positive myeloid dendritic cell	132
T cell	classical monocyte	125
T cell	effector CD4-positive, alpha-beta T cell	265
T cell	effector CD8-positive, alpha-beta T cell	266
T cell	endothelial cell	271
T cell	erythrocyte	29
T cell	hematopoietic stem cell	67
T cell	innate lymphoid cell	197
T cell	intermediate monocyte	137
T cell	macrophage	246
T cell	mast cell	50
T cell	mature NK T cell	149
T cell	mature conventional dendritic cell	115
T cell	neutrophil	72
T cell	non-classical monocyte	86
T cell	plasma cell	139
T cell	regulatory T cell	197
T cell	stromal cell	207
T cell	type I NK T cell	238
classical monocyte	B cell	103
classical monocyte	CD141-positive myeloid dendritic cell	61
classical monocyte	CD1c-positive myeloid dendritic cell	71
classical monocyte	T cell	127
classical monocyte	effector CD4-positive, alpha-beta T cell	127
classical monocyte	effector CD8-positive, alpha-beta T cell	127
classical monocyte	endothelial cell	118
classical monocyte	erythrocyte	16
classical monocyte	hematopoietic stem cell	29
classical monocyte	innate lymphoid cell	93
classical monocyte	intermediate monocyte	76
classical monocyte	macrophage	117
classical monocyte	mast cell	25
classical monocyte	mature NK T cell	67
classical monocyte	mature conventional dendritic cell	51
classical monocyte	neutrophil	40
classical monocyte	non-classical monocyte	46
classical monocyte	plasma cell	65
classical monocyte	regulatory T cell	95
classical monocyte	stromal cell	67
classical monocyte	type I NK T cell	125
effector CD4-positive, alpha-beta T cell	B cell	239
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	138
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	140
effector CD4-positive, alpha-beta T cell	T cell	268
effector CD4-positive, alpha-beta T cell	classical monocyte	133
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	284
effector CD4-positive, alpha-beta T cell	endothelial cell	289
effector CD4-positive, alpha-beta T cell	erythrocyte	30
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	69
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	205
effector CD4-positive, alpha-beta T cell	intermediate monocyte	149
effector CD4-positive, alpha-beta T cell	macrophage	259
effector CD4-positive, alpha-beta T cell	mast cell	51
effector CD4-positive, alpha-beta T cell	mature NK T cell	161
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	119
effector CD4-positive, alpha-beta T cell	neutrophil	78
effector CD4-positive, alpha-beta T cell	non-classical monocyte	95
effector CD4-positive, alpha-beta T cell	plasma cell	148
effector CD4-positive, alpha-beta T cell	regulatory T cell	212
effector CD4-positive, alpha-beta T cell	stromal cell	225
effector CD4-positive, alpha-beta T cell	type I NK T cell	249
effector CD8-positive, alpha-beta T cell	B cell	248
effector CD8-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	136
effector CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	141
effector CD8-positive, alpha-beta T cell	T cell	272
effector CD8-positive, alpha-beta T cell	classical monocyte	134
effector CD8-positive, alpha-beta T cell	effector CD4-positive, alpha-beta T cell	279
effector CD8-positive, alpha-beta T cell	endothelial cell	282
effector CD8-positive, alpha-beta T cell	erythrocyte	30
effector CD8-positive, alpha-beta T cell	hematopoietic stem cell	69
effector CD8-positive, alpha-beta T cell	innate lymphoid cell	211
effector CD8-positive, alpha-beta T cell	intermediate monocyte	147
effector CD8-positive, alpha-beta T cell	macrophage	258
effector CD8-positive, alpha-beta T cell	mast cell	54
effector CD8-positive, alpha-beta T cell	mature NK T cell	165
effector CD8-positive, alpha-beta T cell	mature conventional dendritic cell	117
effector CD8-positive, alpha-beta T cell	neutrophil	77
effector CD8-positive, alpha-beta T cell	non-classical monocyte	96
effector CD8-positive, alpha-beta T cell	plasma cell	156
effector CD8-positive, alpha-beta T cell	regulatory T cell	215
effector CD8-positive, alpha-beta T cell	stromal cell	222
effector CD8-positive, alpha-beta T cell	type I NK T cell	251
endothelial cell	B cell	214
endothelial cell	CD141-positive myeloid dendritic cell	118
endothelial cell	CD1c-positive myeloid dendritic cell	125
endothelial cell	T cell	252
endothelial cell	classical monocyte	126
endothelial cell	effector CD4-positive, alpha-beta T cell	262
endothelial cell	effector CD8-positive, alpha-beta T cell	260
endothelial cell	erythrocyte	29
endothelial cell	hematopoietic stem cell	54
endothelial cell	innate lymphoid cell	193
endothelial cell	intermediate monocyte	140
endothelial cell	macrophage	251
endothelial cell	mast cell	39
endothelial cell	mature NK T cell	143
endothelial cell	mature conventional dendritic cell	107
endothelial cell	neutrophil	67
endothelial cell	non-classical monocyte	83
endothelial cell	plasma cell	130
endothelial cell	regulatory T cell	199
endothelial cell	stromal cell	199
endothelial cell	type I NK T cell	236
erythrocyte	B cell	35
erythrocyte	CD141-positive myeloid dendritic cell	21
erythrocyte	CD1c-positive myeloid dendritic cell	28
erythrocyte	T cell	48
erythrocyte	classical monocyte	30
erythrocyte	effector CD4-positive, alpha-beta T cell	50
erythrocyte	effector CD8-positive, alpha-beta T cell	48
erythrocyte	endothelial cell	34
erythrocyte	hematopoietic stem cell	10
erythrocyte	innate lymphoid cell	37
erythrocyte	intermediate monocyte	30
erythrocyte	macrophage	40
erythrocyte	mast cell	10
erythrocyte	mature NK T cell	26
erythrocyte	mature conventional dendritic cell	18
erythrocyte	neutrophil	16
erythrocyte	non-classical monocyte	17
erythrocyte	plasma cell	20
erythrocyte	regulatory T cell	34
erythrocyte	stromal cell	19
erythrocyte	type I NK T cell	50
hematopoietic stem cell	B cell	54
hematopoietic stem cell	CD141-positive myeloid dendritic cell	34
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	39
hematopoietic stem cell	T cell	72
hematopoietic stem cell	classical monocyte	36
hematopoietic stem cell	effector CD4-positive, alpha-beta T cell	71
hematopoietic stem cell	effector CD8-positive, alpha-beta T cell	69
hematopoietic stem cell	endothelial cell	64
hematopoietic stem cell	erythrocyte	10
hematopoietic stem cell	innate lymphoid cell	54
hematopoietic stem cell	intermediate monocyte	43
hematopoietic stem cell	macrophage	64
hematopoietic stem cell	mast cell	15
hematopoietic stem cell	mature NK T cell	44
hematopoietic stem cell	mature conventional dendritic cell	33
hematopoietic stem cell	neutrophil	18
hematopoietic stem cell	non-classical monocyte	25
hematopoietic stem cell	plasma cell	27
hematopoietic stem cell	regulatory T cell	48
hematopoietic stem cell	stromal cell	46
hematopoietic stem cell	type I NK T cell	65
innate lymphoid cell	B cell	191
innate lymphoid cell	CD141-positive myeloid dendritic cell	113
innate lymphoid cell	CD1c-positive myeloid dendritic cell	113
innate lymphoid cell	T cell	212
innate lymphoid cell	classical monocyte	104
innate lymphoid cell	effector CD4-positive, alpha-beta T cell	218
innate lymphoid cell	effector CD8-positive, alpha-beta T cell	224
innate lymphoid cell	endothelial cell	216
innate lymphoid cell	erythrocyte	24
innate lymphoid cell	hematopoietic stem cell	59
innate lymphoid cell	intermediate monocyte	118
innate lymphoid cell	macrophage	205
innate lymphoid cell	mast cell	44
innate lymphoid cell	mature NK T cell	129
innate lymphoid cell	mature conventional dendritic cell	97
innate lymphoid cell	neutrophil	63
innate lymphoid cell	non-classical monocyte	69
innate lymphoid cell	plasma cell	120
innate lymphoid cell	regulatory T cell	167
innate lymphoid cell	stromal cell	160
