source	target	count
B cell	CD141-positive myeloid dendritic cell	144
B cell	CD1c-positive myeloid dendritic cell	146
B cell	T cell	257
B cell	classical monocyte	124
B cell	effector CD4-positive, alpha-beta T cell	263
B cell	effector CD8-positive, alpha-beta T cell	270
B cell	endothelial cell	267
B cell	erythrocyte	30
B cell	hematopoietic stem cell	66
B cell	innate lymphoid cell	203
B cell	intermediate monocyte	137
B cell	macrophage	261
B cell	mast cell	46
B cell	mature NK T cell	150
B cell	mature conventional dendritic cell	113
B cell	neutrophil	66
B cell	non-classical monocyte	60
B cell	plasma cell	130
B cell	regulatory T cell	196
B cell	stromal cell	210
B cell	type I NK T cell	234
CD141-positive myeloid dendritic cell	B cell	169
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	106
CD141-positive myeloid dendritic cell	T cell	183
CD141-positive myeloid dendritic cell	classical monocyte	95
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	189
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	188
CD141-positive myeloid dendritic cell	endothelial cell	172
CD141-positive myeloid dendritic cell	erythrocyte	25
CD141-positive myeloid dendritic cell	hematopoietic stem cell	42
CD141-positive myeloid dendritic cell	innate lymphoid cell	151
CD141-positive myeloid dendritic cell	intermediate monocyte	101
CD141-positive myeloid dendritic cell	macrophage	180
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	111
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	86
CD141-positive myeloid dendritic cell	neutrophil	50
CD141-positive myeloid dendritic cell	non-classical monocyte	47
CD141-positive myeloid dendritic cell	plasma cell	82
CD141-positive myeloid dendritic cell	regulatory T cell	141
CD141-positive myeloid dendritic cell	stromal cell	126
CD141-positive myeloid dendritic cell	type I NK T cell	172
CD1c-positive myeloid dendritic cell	B cell	135
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	77
CD1c-positive myeloid dendritic cell	T cell	146
CD1c-positive myeloid dendritic cell	classical monocyte	82
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	147
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	151
CD1c-positive myeloid dendritic cell	endothelial cell	126
CD1c-positive myeloid dendritic cell	erythrocyte	19
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	30
CD1c-positive myeloid dendritic cell	innate lymphoid cell	117
CD1c-positive myeloid dendritic cell	intermediate monocyte	82
CD1c-positive myeloid dendritic cell	macrophage	141
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	84
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	66
CD1c-positive myeloid dendritic cell	neutrophil	46
CD1c-positive myeloid dendritic cell	non-classical monocyte	44
CD1c-positive myeloid dendritic cell	plasma cell	76
CD1c-positive myeloid dendritic cell	regulatory T cell	115
CD1c-positive myeloid dendritic cell	stromal cell	88
CD1c-positive myeloid dendritic cell	type I NK T cell	141
T cell	B cell	257
T cell	CD141-positive myeloid dendritic cell	162
T cell	CD1c-positive myeloid dendritic cell	155
T cell	classical monocyte	137
T cell	effector CD4-positive, alpha-beta T cell	273
T cell	effector CD8-positive, alpha-beta T cell	273
T cell	endothelial cell	278
T cell	erythrocyte	32
T cell	hematopoietic stem cell	69
T cell	innate lymphoid cell	214
T cell	intermediate monocyte	145
T cell	macrophage	273
T cell	mast cell	52
T cell	mature NK T cell	158
T cell	mature conventional dendritic cell	126
T cell	neutrophil	75
T cell	non-classical monocyte	70
T cell	plasma cell	139
T cell	regulatory T cell	207
T cell	stromal cell	213
T cell	type I NK T cell	243
classical monocyte	B cell	123
classical monocyte	CD141-positive myeloid dendritic cell	76
classical monocyte	CD1c-positive myeloid dendritic cell	87
classical monocyte	T cell	134
classical monocyte	effector CD4-positive, alpha-beta T cell	134
classical monocyte	effector CD8-positive, alpha-beta T cell	133
classical monocyte	endothelial cell	123
classical monocyte	erythrocyte	18
classical monocyte	hematopoietic stem cell	31
classical monocyte	innate lymphoid cell	104
classical monocyte	intermediate monocyte	84
classical monocyte	macrophage	131
classical monocyte	mast cell	28
classical monocyte	mature NK T cell	76
classical monocyte	mature conventional dendritic cell	58
classical monocyte	neutrophil	44
classical monocyte	non-classical monocyte	42
classical monocyte	plasma cell	69
classical monocyte	regulatory T cell	104
classical monocyte	stromal cell	73
classical monocyte	type I NK T cell	132
effector CD4-positive, alpha-beta T cell	B cell	271
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	166
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	158
effector CD4-positive, alpha-beta T cell	T cell	280
effector CD4-positive, alpha-beta T cell	classical monocyte	142
effector CD4-positive, alpha-beta T cell	effector CD8-positive, alpha-beta T cell	288
effector CD4-positive, alpha-beta T cell	endothelial cell	297
effector CD4-positive, alpha-beta T cell	erythrocyte	33
effector CD4-positive, alpha-beta T cell	hematopoietic stem cell	68
effector CD4-positive, alpha-beta T cell	innate lymphoid cell	221
effector CD4-positive, alpha-beta T cell	intermediate monocyte	155
effector CD4-positive, alpha-beta T cell	macrophage	285
effector CD4-positive, alpha-beta T cell	mast cell	51
effector CD4-positive, alpha-beta T cell	mature NK T cell	164
effector CD4-positive, alpha-beta T cell	mature conventional dendritic cell	125
effector CD4-positive, alpha-beta T cell	neutrophil	76
