source	target	count
B cell	CD141-positive myeloid dendritic cell	107
B cell	CD1c-positive myeloid dendritic cell	132
B cell	T cell	226
B cell	classical monocyte	108
B cell	effector CD4-positive, alpha-beta T cell	230
B cell	effector CD8-positive, alpha-beta T cell	220
B cell	endothelial cell	214
B cell	erythrocyte	23
B cell	hematopoietic stem cell	42
B cell	innate lymphoid cell	174
B cell	intermediate monocyte	114
B cell	macrophage	206
B cell	mast cell	42
B cell	mature NK T cell	128
B cell	mature conventional dendritic cell	97
B cell	neutrophil	55
B cell	non-classical monocyte	45
B cell	plasma cell	120
B cell	regulatory T cell	165
B cell	stromal cell	178
B cell	type I NK T cell	205
CD141-positive myeloid dendritic cell	B cell	141
CD141-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	99
CD141-positive myeloid dendritic cell	T cell	165
CD141-positive myeloid dendritic cell	classical monocyte	83
CD141-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	160
CD141-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	158
CD141-positive myeloid dendritic cell	endothelial cell	137
CD141-positive myeloid dendritic cell	erythrocyte	20
CD141-positive myeloid dendritic cell	hematopoietic stem cell	27
CD141-positive myeloid dendritic cell	innate lymphoid cell	134
CD141-positive myeloid dendritic cell	intermediate monocyte	88
CD141-positive myeloid dendritic cell	macrophage	150
CD141-positive myeloid dendritic cell	mast cell	30
CD141-positive myeloid dendritic cell	mature NK T cell	95
CD141-positive myeloid dendritic cell	mature conventional dendritic cell	78
CD141-positive myeloid dendritic cell	neutrophil	44
CD141-positive myeloid dendritic cell	non-classical monocyte	36
CD141-positive myeloid dendritic cell	plasma cell	76
CD141-positive myeloid dendritic cell	regulatory T cell	122
CD141-positive myeloid dendritic cell	stromal cell	107
CD141-positive myeloid dendritic cell	type I NK T cell	158
CD1c-positive myeloid dendritic cell	B cell	122
CD1c-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	68
CD1c-positive myeloid dendritic cell	T cell	142
CD1c-positive myeloid dendritic cell	classical monocyte	77
CD1c-positive myeloid dendritic cell	effector CD4-positive, alpha-beta T cell	140
CD1c-positive myeloid dendritic cell	effector CD8-positive, alpha-beta T cell	140
CD1c-positive myeloid dendritic cell	endothelial cell	112
CD1c-positive myeloid dendritic cell	erythrocyte	17
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	22
CD1c-positive myeloid dendritic cell	innate lymphoid cell	110
CD1c-positive myeloid dendritic cell	intermediate monocyte	76
CD1c-positive myeloid dendritic cell	macrophage	133
CD1c-positive myeloid dendritic cell	mast cell	30
CD1c-positive myeloid dendritic cell	mature NK T cell	84
CD1c-positive myeloid dendritic cell	mature conventional dendritic cell	65
CD1c-positive myeloid dendritic cell	neutrophil	44
CD1c-positive myeloid dendritic cell	non-classical monocyte	37
CD1c-positive myeloid dendritic cell	plasma cell	74
CD1c-positive myeloid dendritic cell	regulatory T cell	109
CD1c-positive myeloid dendritic cell	stromal cell	86
CD1c-positive myeloid dendritic cell	type I NK T cell	138
T cell	B cell	219
T cell	CD141-positive myeloid dendritic cell	125
T cell	CD1c-positive myeloid dendritic cell	146
T cell	classical monocyte	121
T cell	effector CD4-positive, alpha-beta T cell	244
T cell	effector CD8-positive, alpha-beta T cell	235
T cell	endothelial cell	238
T cell	erythrocyte	27
T cell	hematopoietic stem cell	46
T cell	innate lymphoid cell	192
T cell	intermediate monocyte	131
T cell	macrophage	231
T cell	mast cell	47
T cell	mature NK T cell	146
T cell	mature conventional dendritic cell	115
T cell	neutrophil	66
T cell	non-classical monocyte	53
T cell	plasma cell	126
T cell	regulatory T cell	186
T cell	stromal cell	195
T cell	type I NK T cell	226
classical monocyte	B cell	105
classical monocyte	CD141-positive myeloid dendritic cell	59
classical monocyte	CD1c-positive myeloid dendritic cell	80
classical monocyte	T cell	124
classical monocyte	effector CD4-positive, alpha-beta T cell	118
classical monocyte	effector CD8-positive, alpha-beta T cell	118
classical monocyte	endothelial cell	106
classical monocyte	erythrocyte	17
classical monocyte	hematopoietic stem cell	20
classical monocyte	innate lymphoid cell	91
classical monocyte	intermediate monocyte	73
classical monocyte	macrophage	115
classical monocyte	mast cell	24
classical monocyte	mature NK T cell	68
classical monocyte	mature conventional dendritic cell	52
classical monocyte	neutrophil	37
classical monocyte	non-classical monocyte	30
classical monocyte	plasma cell	58
classical monocyte	regulatory T cell	90
classical monocyte	stromal cell	66
classical monocyte	type I NK T cell	123
effector CD4-positive, alpha-beta T cell	B cell	220
effector CD4-positive, alpha-beta T cell	CD141-positive myeloid dendritic cell	126
effector CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	146
effector CD4-positive, alpha-beta T cell	T cell	256
effector CD4-positive, alpha-beta T cell	classical monocyte	125
