source	target	count
B Cells	Best4+ Enterocytes	2
B Cells	CD8	14
B Cells	Crypt Fibroblasts 1 WNT2B+	12
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	6
B Cells	CyclingTA 1	3
B Cells	D Cells	5
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	14
B Cells	Endothelial-Venules	9
B Cells	Enterochromaffin	13
B Cells	Enterocytes	10
B Cells	Enteroendocrine	2
B Cells	EnteroendocrineUn	6
B Cells	EnteroendocrineUn 1	4
B Cells	Epithelial	5
B Cells	Glia	2
B Cells	Goblet	3
B Cells	I Cells	11
B Cells	ICC	1
B Cells	Immature Enterocytes	13
B Cells	Immature Goblet	7
B Cells	K Cells	5
B Cells	Lymphatic Endothelial Cells	8
B Cells	Mast	3
B Cells	Mo Cells	7
B Cells	Mono_Macrophages	13
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	2
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	6
B Cells	NEUROG3high	5
B Cells	Neurons	5
B Cells	Pericytes	2
B Cells	Plasma	4
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	4
B Cells	Stem	4
B Cells	TA1	10
B Cells	TA2	13
B Cells	Villus Fibroblasts WNT5B+	11
Best4+ Enterocytes	B Cells	4
Best4+ Enterocytes	CD8	24
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	23
Best4+ Enterocytes	Crypt Fibroblasts 2	3
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	12
Best4+ Enterocytes	CyclingTA 1	11
Best4+ Enterocytes	D Cells	11
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	25
Best4+ Enterocytes	Endothelial-Venules	17
Best4+ Enterocytes	Enterochromaffin	23
Best4+ Enterocytes	Enterocytes	16
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	14
Best4+ Enterocytes	EnteroendocrineUn 1	7
Best4+ Enterocytes	Epithelial	8
Best4+ Enterocytes	Glia	7
Best4+ Enterocytes	Goblet	6
Best4+ Enterocytes	I Cells	18
Best4+ Enterocytes	ICC	1
Best4+ Enterocytes	Immature Enterocytes	23
Best4+ Enterocytes	Immature Goblet	14
Best4+ Enterocytes	K Cells	9
Best4+ Enterocytes	Lymphatic Endothelial Cells	13
Best4+ Enterocytes	Mast	3
Best4+ Enterocytes	Mo Cells	18
Best4+ Enterocytes	Mono_Macrophages	21
Best4+ Enterocytes	Myofibroblasts/SM 1	19
Best4+ Enterocytes	Myofibroblasts/SM 2	7
Best4+ Enterocytes	Myofibroblasts/SM 3	3
Best4+ Enterocytes	Myofibroblasts/SM DES High	11
Best4+ Enterocytes	NEUROG3high	8
Best4+ Enterocytes	Neurons	11
Best4+ Enterocytes	Pericytes	2
Best4+ Enterocytes	Plasma	5
