column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	CD96	NECTIN1	0.006	1	B Cells	Best4+ Enterocytes	small_intestine	HBM236.WBFT.443_reg002
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.044	2	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
B Cells|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.043	2	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
B Cells|Endothelial-Venules	APOA1	ABCA1	0.04	1	B Cells	Endothelial-Venules	small_intestine	HBM236.WBFT.443_reg002
B Cells|Immature Enterocytes	APOA1	ABCA1	0.036	1	B Cells	Immature Enterocytes	small_intestine	HBM236.WBFT.443_reg002
B Cells|Mono_Macrophages	APOA1	ABCA1	0.221	1	B Cells	Mono_Macrophages	small_intestine	HBM236.WBFT.443_reg002
B Cells|Myofibroblasts/SM 1	APOA1	ABCA1	0.038	1	B Cells	Myofibroblasts/SM 1	small_intestine	HBM236.WBFT.443_reg002
B Cells|Myofibroblasts/SM DES High	APOA1	ABCA1	0.036	1	B Cells	Myofibroblasts/SM DES High	small_intestine	HBM236.WBFT.443_reg002
B Cells|Villus Fibroblasts WNT5B+	APOA1	ABCA1	0.037	1	B Cells	Villus Fibroblasts WNT5B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|CD8	NECTIN1	NECTIN3	0.003	5	Best4+ Enterocytes	CD8	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|CD8	APP	CD74	0.086	5	Best4+ Enterocytes	CD8	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|CD8	APP	SORL1	0.086	5	Best4+ Enterocytes	CD8	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|CD8	IL1RAP	PTPRF	0.097	5	Best4+ Enterocytes	CD8	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|CD8	ALCAM	CD6	0.088	5	Best4+ Enterocytes	CD8	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	NECTIN1	NECTIN3	0.093	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	DSC2	DSG2	0.094	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.11	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.086	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.268	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.263	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	IL1RAP	PTPRF	0.03	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	FGFR4	TGFBR3	0.021	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.048	9	Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|DC	APP	CD74	0.142	1	Best4+ Enterocytes	DC	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Endothelial-CD36+ Microvascular	APP	CD74	0.402	2	Best4+ Enterocytes	Endothelial-CD36+ Microvascular	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Endothelial-CD36+ Microvascular	APP	SORL1	0.243	2	Best4+ Enterocytes	Endothelial-CD36+ Microvascular	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Endothelial-Venules	APP	SORL1	0.085	3	Best4+ Enterocytes	Endothelial-Venules	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Endothelial-Venules	APOA1	ABCA1	0.264	3	Best4+ Enterocytes	Endothelial-Venules	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Endothelial-Venules	FGFR4	TGFBR3	0.011	3	Best4+ Enterocytes	Endothelial-Venules	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Enterocytes	NECTIN1	NECTIN3	0.006	2	Best4+ Enterocytes	Enterocytes	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Enterocytes	APP	CD74	0.128	2	Best4+ Enterocytes	Enterocytes	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Epithelial	DSC2	DSG2	0.007	2	Best4+ Enterocytes	Epithelial	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Epithelial	IL1RAP	PTPRF	0.015	2	Best4+ Enterocytes	Epithelial	small_intestine	HBM236.WBFT.443_reg002
Best4+ Enterocytes|Goblet	APP	SORL1	0.083	1	Best4+ Enterocytes	Goblet	small_intestine	HBM236.WBFT.443_reg002
