source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	D Cells	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Immature Goblet	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
Adipocytes	Mono_Macrophages	1
Adipocytes	TA1	1
B Cells	Best4+ Enterocytes	3
B Cells	CD4	1
B Cells	CD8	16
B Cells	Crypt Fibroblasts 1 WNT2B+	15
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	8
B Cells	CyclingTA 1	3
B Cells	D Cells	4
B Cells	DC	5
B Cells	Endothelial-CD36+ Microvascular	8
B Cells	Endothelial-Venules	6
B Cells	Enterochromaffin	12
B Cells	Enterocytes	9
B Cells	Enteroendocrine	3
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	6
B Cells	Epithelial	3
B Cells	Glia	2
B Cells	Goblet	3
B Cells	I Cells	11
B Cells	ICC	2
B Cells	Immature Enterocytes	16
B Cells	Immature Goblet	5
B Cells	Lymphatic Endothelial Cells	3
B Cells	Mo Cells	10
B Cells	Mono_Macrophages	13
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	10
B Cells	Myofibroblasts/SM 3	4
B Cells	Myofibroblasts/SM DES High	6
B Cells	NEUROG3high	6
B Cells	Neurons	5
B Cells	Pericytes	8
B Cells	Plasma	6
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	3
B Cells	TA1	11
B Cells	TA2	7
B Cells	Villus Fibroblasts WNT5B+	9
Best4+ Enterocytes	B Cells	3
Best4+ Enterocytes	CD4	1
Best4+ Enterocytes	CD8	18
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	21
Best4+ Enterocytes	Crypt Fibroblasts 2	3
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	12
Best4+ Enterocytes	CyclingTA 1	4
Best4+ Enterocytes	D Cells	7
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	11
Best4+ Enterocytes	Endothelial-Venules	12
Best4+ Enterocytes	Enterochromaffin	14
Best4+ Enterocytes	Enterocytes	13
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	13
Best4+ Enterocytes	EnteroendocrineUn 1	5
Best4+ Enterocytes	Epithelial	7
Best4+ Enterocytes	Glia	7
Best4+ Enterocytes	Goblet	6
Best4+ Enterocytes	I Cells	15
Best4+ Enterocytes	ICC	6
Best4+ Enterocytes	Immature Enterocytes	18
Best4+ Enterocytes	Immature Goblet	9
Best4+ Enterocytes	Lymphatic Endothelial Cells	6
Best4+ Enterocytes	Mo Cells	20
Best4+ Enterocytes	Mono_Macrophages	17
Best4+ Enterocytes	Myofibroblasts/SM 1	17
