column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.101	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.475	1	Adipocytes	D Cells	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.101	1	Adipocytes	Enterocytes	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.126	1	Adipocytes	Enteroendocrine	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.147	1	Adipocytes	I Cells	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.1	1	Adipocytes	Immature Goblet	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.138	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.129	1	Adipocytes	Mo Cells	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|Mono_Macrophages	CD96	NECTIN1	0.108	1	Adipocytes	Mono_Macrophages	small_intestine	HBM253.MXKW.373_reg001
Adipocytes|TA1	CD96	NECTIN1	0.1	1	Adipocytes	TA1	small_intestine	HBM253.MXKW.373_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.142	3	B Cells	Best4+ Enterocytes	small_intestine	HBM253.MXKW.373_reg001
B Cells|Best4+ Enterocytes	SEMA4D	PLXNB2	0.005	3	B Cells	Best4+ Enterocytes	small_intestine	HBM253.MXKW.373_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.007	3	B Cells	Best4+ Enterocytes	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD4	ALCAM	CD6	0.005	1	B Cells	CD4	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.013	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	APP	CD74	0.011	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	APP	SORL1	0.008	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	APP	TNFRSF21	0.01	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	APLP2	PIGR	0.294	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	APOA1	ABCA1	0.161	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	LRPAP1	SORT1	0.005	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	CCL25	ACKR4	0.002	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	CCL25	CCR9	0.053	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	LGALS3	MERTK	0.012	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	GAS6	MERTK	0.011	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	SEMA4D	PLXNB1	0.005	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	SEMA4D	PTPRC	0.201	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	TAC3	TACR1	0.002	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	ALCAM	CD6	0.009	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|CD8	PPIA	BSG	0.007	16	B Cells	CD8	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.019	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.012	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.009	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.011	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.448	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.229	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.003	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.005	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.03	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.029	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.022	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.007	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.015	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.004	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.027	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.099	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 2	PPIA	BSG	0.013	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.011	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APP	PLXNA4	0.01	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PLXNA4	0.01	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.081	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.175	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	LGALS3	MERTK	0.012	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	GAS6	MERTK	0.011	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	SEMA4D	PLXNB1	0.01	8	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM253.MXKW.373_reg001
B Cells|CyclingTA 1	NECTIN2	NECTIN3	0.008	3	B Cells	CyclingTA 1	small_intestine	HBM253.MXKW.373_reg001
B Cells|CyclingTA 1	APP	CD74	0.007	3	B Cells	CyclingTA 1	small_intestine	HBM253.MXKW.373_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.013	3	B Cells	CyclingTA 1	small_intestine	HBM253.MXKW.373_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.38	4	B Cells	D Cells	small_intestine	HBM253.MXKW.373_reg001
B Cells|D Cells	APP	CD74	0.381	4	B Cells	D Cells	small_intestine	HBM253.MXKW.373_reg001
B Cells|D Cells	APLP2	PIGR	2.631	4	B Cells	D Cells	small_intestine	HBM253.MXKW.373_reg001
B Cells|D Cells	SST	SSTR2	0.376	4	B Cells	D Cells	small_intestine	HBM253.MXKW.373_reg001
