source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	Crypt Fibroblasts 1 WNT2B+	1
Adipocytes	D Cells	1
Adipocytes	Endothelial-CD36+ Microvascular	1
Adipocytes	Enterochromaffin	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Immature Goblet	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
B Cells	Best4+ Enterocytes	3
B Cells	CD8	21
B Cells	Crypt Fibroblasts 1 WNT2B+	27
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	10
B Cells	CyclingTA 1	6
B Cells	D Cells	6
B Cells	DC	5
B Cells	Endothelial-CD36+ Microvascular	27
B Cells	Endothelial-Venules	11
B Cells	Enterochromaffin	15
B Cells	Enterocytes	13
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn 1	5
B Cells	Epithelial	3
B Cells	Glia	2
B Cells	Goblet	5
B Cells	I Cells	13
B Cells	ICC	8
B Cells	Immature Enterocytes	18
B Cells	Immature Goblet	8
B Cells	K Cells	6
B Cells	Lymphatic Endothelial Cells	5
B Cells	Mo Cells	17
B Cells	Mono_Macrophages	25
B Cells	Myofibroblasts/SM 1	14
B Cells	Myofibroblasts/SM 2	12
B Cells	Myofibroblasts/SM 3	5
B Cells	Myofibroblasts/SM DES High	9
B Cells	NEUROG3high	3
B Cells	NK	1
B Cells	Neurons	4
B Cells	Pericytes	10
B Cells	Plasma	9
B Cells	S Cells	4
B Cells	Secretory Specialized MUC6+	6
B Cells	Stem	1
B Cells	TA1	13
B Cells	TA2	14
B Cells	Villus Fibroblasts WNT5B+	20
Best4+ Enterocytes	B Cells	6
Best4+ Enterocytes	CD8	12
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	19
Best4+ Enterocytes	Crypt Fibroblasts 2	2
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	9
Best4+ Enterocytes	CyclingTA 1	4
Best4+ Enterocytes	D Cells	7
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	18
Best4+ Enterocytes	Endothelial-Venules	10
Best4+ Enterocytes	Enterochromaffin	11
Best4+ Enterocytes	Enterocytes	12
Best4+ Enterocytes	Enteroendocrine	3
Best4+ Enterocytes	EnteroendocrineUn 1	3
Best4+ Enterocytes	Epithelial	4
Best4+ Enterocytes	Glia	4
Best4+ Enterocytes	Goblet	5
Best4+ Enterocytes	I Cells	10
Best4+ Enterocytes	ICC	3
Best4+ Enterocytes	Immature Enterocytes	13
Best4+ Enterocytes	Immature Goblet	8
Best4+ Enterocytes	K Cells	7
Best4+ Enterocytes	Lymphatic Endothelial Cells	5
Best4+ Enterocytes	Mo Cells	13
Best4+ Enterocytes	Mono_Macrophages	16
Best4+ Enterocytes	Myofibroblasts/SM 1	12
Best4+ Enterocytes	Myofibroblasts/SM 2	13
Best4+ Enterocytes	Myofibroblasts/SM 3	5
Best4+ Enterocytes	Myofibroblasts/SM DES High	5
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	6
Best4+ Enterocytes	Pericytes	9
Best4+ Enterocytes	Plasma	6
Best4+ Enterocytes	S Cells	5
Best4+ Enterocytes	Secretory Specialized MUC6+	4
Best4+ Enterocytes	Stem	2
Best4+ Enterocytes	TA1	7
Best4+ Enterocytes	TA2	9
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	10
CD8	B Cells	13
CD8	Best4+ Enterocytes	6
CD8	CD4	1
CD8	Crypt Fibroblasts 1 WNT2B+	66
CD8	Crypt Fibroblasts 2	3
CD8	Crypt Fibroblasts 3 RSPO3+	20
CD8	CyclingTA 1	13
CD8	D Cells	26
CD8	DC	11
CD8	Endothelial-CD36+ Microvascular	67
CD8	Endothelial-Venules	33
CD8	Enterochromaffin	39
CD8	Enterocytes	33
CD8	Enteroendocrine	12
CD8	EnteroendocrineUn 1	17
CD8	Epithelial	8
CD8	Glia	11
CD8	Goblet	11
CD8	I Cells	35
CD8	ICC	20
CD8	Immature Enterocytes	42
CD8	Immature Goblet	19
CD8	K Cells	14
CD8	Lymphatic Endothelial Cells	22
CD8	Mo Cells	43
CD8	Mono_Macrophages	68
CD8	Myofibroblasts/SM 1	45
CD8	Myofibroblasts/SM 2	29
CD8	Myofibroblasts/SM 3	19
CD8	Myofibroblasts/SM DES High	24
CD8	NEUROG3high	8
CD8	NK	1
CD8	Neurons	16
CD8	Pericytes	29
CD8	Plasma	25
CD8	S Cells	8
CD8	Secretory Specialized MUC6+	7
CD8	Stem	2
CD8	TA1	32
CD8	TA2	30
CD8	Villus Fibroblasts WNT5B+	43
Crypt Fibroblasts 1 WNT2B+	Adipocytes	1
Crypt Fibroblasts 1 WNT2B+	B Cells	30
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	13
Crypt Fibroblasts 1 WNT2B+	CD8	87
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	8
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	44
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	26
Crypt Fibroblasts 1 WNT2B+	D Cells	55
Crypt Fibroblasts 1 WNT2B+	DC	18
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	123
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	63
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	88
Crypt Fibroblasts 1 WNT2B+	Enterocytes	64
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	27
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	40
Crypt Fibroblasts 1 WNT2B+	Epithelial	27
Crypt Fibroblasts 1 WNT2B+	Glia	33
Crypt Fibroblasts 1 WNT2B+	Goblet	22
Crypt Fibroblasts 1 WNT2B+	I Cells	80
Crypt Fibroblasts 1 WNT2B+	ICC	37
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	90
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	39
Crypt Fibroblasts 1 WNT2B+	K Cells	26
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	49
Crypt Fibroblasts 1 WNT2B+	Mo Cells	93
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	127
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	85
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	56
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	42
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	49
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	15
Crypt Fibroblasts 1 WNT2B+	NK	1
Crypt Fibroblasts 1 WNT2B+	Neurons	50
Crypt Fibroblasts 1 WNT2B+	Pericytes	64
Crypt Fibroblasts 1 WNT2B+	Plasma	60
Crypt Fibroblasts 1 WNT2B+	S Cells	21
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	13
Crypt Fibroblasts 1 WNT2B+	Stem	7
Crypt Fibroblasts 1 WNT2B+	TA1	54
Crypt Fibroblasts 1 WNT2B+	TA2	72
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	82
Crypt Fibroblasts 2	B Cells	2
Crypt Fibroblasts 2	Best4+ Enterocytes	2
Crypt Fibroblasts 2	CD8	9
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	10
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	8
Crypt Fibroblasts 2	CyclingTA 1	2
Crypt Fibroblasts 2	D Cells	6
Crypt Fibroblasts 2	DC	3
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	12
Crypt Fibroblasts 2	Endothelial-Venules	6
Crypt Fibroblasts 2	Enterochromaffin	9
Crypt Fibroblasts 2	Enterocytes	5
Crypt Fibroblasts 2	Enteroendocrine	4
Crypt Fibroblasts 2	EnteroendocrineUn 1	2
Crypt Fibroblasts 2	Epithelial	2
Crypt Fibroblasts 2	Glia	1
Crypt Fibroblasts 2	Goblet	3
Crypt Fibroblasts 2	I Cells	5
Crypt Fibroblasts 2	ICC	5
Crypt Fibroblasts 2	Immature Enterocytes	6
Crypt Fibroblasts 2	Immature Goblet	2
Crypt Fibroblasts 2	K Cells	3
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	5
Crypt Fibroblasts 2	Mo Cells	9
Crypt Fibroblasts 2	Mono_Macrophages	13
Crypt Fibroblasts 2	Myofibroblasts/SM 1	6
Crypt Fibroblasts 2	Myofibroblasts/SM 2	6
Crypt Fibroblasts 2	Myofibroblasts/SM 3	3
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	5
Crypt Fibroblasts 2	NEUROG3high	2
Crypt Fibroblasts 2	NK	1
Crypt Fibroblasts 2	Neurons	4
Crypt Fibroblasts 2	Pericytes	5
Crypt Fibroblasts 2	Plasma	7
Crypt Fibroblasts 2	S Cells	2
Crypt Fibroblasts 2	Secretory Specialized MUC6+	2
Crypt Fibroblasts 2	Stem	1
Crypt Fibroblasts 2	TA1	6
Crypt Fibroblasts 2	TA2	5
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	7
Crypt Fibroblasts 3 RSPO3+	B Cells	9
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	3
Crypt Fibroblasts 3 RSPO3+	CD8	27
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	46
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	4
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	11
Crypt Fibroblasts 3 RSPO3+	D Cells	15
Crypt Fibroblasts 3 RSPO3+	DC	3
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	41
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	25
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	23
Crypt Fibroblasts 3 RSPO3+	Enterocytes	19
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	9
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	8
Crypt Fibroblasts 3 RSPO3+	Epithelial	12
Crypt Fibroblasts 3 RSPO3+	Glia	5
Crypt Fibroblasts 3 RSPO3+	Goblet	10
Crypt Fibroblasts 3 RSPO3+	I Cells	26
Crypt Fibroblasts 3 RSPO3+	ICC	16
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	31
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	13
Crypt Fibroblasts 3 RSPO3+	K Cells	12
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	18
Crypt Fibroblasts 3 RSPO3+	Mo Cells	26
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	40
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 1	31
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 2	21
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 3	15
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	18
Crypt Fibroblasts 3 RSPO3+	NEUROG3high	4
Crypt Fibroblasts 3 RSPO3+	NK	1
Crypt Fibroblasts 3 RSPO3+	Neurons	14
Crypt Fibroblasts 3 RSPO3+	Pericytes	18
Crypt Fibroblasts 3 RSPO3+	Plasma	17
Crypt Fibroblasts 3 RSPO3+	S Cells	10
Crypt Fibroblasts 3 RSPO3+	Secretory Specialized MUC6+	6
Crypt Fibroblasts 3 RSPO3+	Stem	4
Crypt Fibroblasts 3 RSPO3+	TA1	18
Crypt Fibroblasts 3 RSPO3+	TA2	28
Crypt Fibroblasts 3 RSPO3+	Villus Fibroblasts WNT5B+	33
CyclingTA 1	B Cells	7
CyclingTA 1	Best4+ Enterocytes	1
CyclingTA 1	CD8	21
CyclingTA 1	Crypt Fibroblasts 1 WNT2B+	31
CyclingTA 1	Crypt Fibroblasts 2	2
