column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.028	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.026	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.207	1	Adipocytes	D Cells	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Endothelial-CD36+ Microvascular	CD96	NECTIN1	0.026	1	Adipocytes	Endothelial-CD36+ Microvascular	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Enterochromaffin	CD96	NECTIN1	0.04	1	Adipocytes	Enterochromaffin	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.025	1	Adipocytes	Enterocytes	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.035	1	Adipocytes	Enteroendocrine	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.055	1	Adipocytes	I Cells	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.026	1	Adipocytes	Immature Goblet	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.358	1	Adipocytes	K Cells	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.031	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM334.RPTP.997_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.084	1	Adipocytes	Mo Cells	small_intestine	HBM334.RPTP.997_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.035	3	B Cells	Best4+ Enterocytes	small_intestine	HBM334.RPTP.997_reg001
B Cells|Best4+ Enterocytes	SEMA4D	PLXNB2	0.002	3	B Cells	Best4+ Enterocytes	small_intestine	HBM334.RPTP.997_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.007	3	B Cells	Best4+ Enterocytes	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	APP	CD74	0.012	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	APP	SORL1	0.008	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	APP	TNFRSF21	0.007	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	APLP2	PIGR	0.46	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	APOA1	ABCA1	0.096	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	CCL25	CCR9	0.073	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
B Cells|CD8	EFNB1	EPHB2	0.075	21	B Cells	CD8	small_intestine	HBM334.RPTP.997_reg001
