source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	Crypt Fibroblasts 1 WNT2B+	1
Adipocytes	D Cells	1
Adipocytes	Enterocytes	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
B Cells	CD8	9
B Cells	Crypt Fibroblasts 1 WNT2B+	8
B Cells	Crypt Fibroblasts 3 RSPO3+	3
B Cells	D Cells	4
B Cells	DC	2
B Cells	Endothelial-CD36+ Microvascular	8
B Cells	Endothelial-Venules	3
B Cells	Enterochromaffin	3
B Cells	Enterocytes	3
B Cells	Epithelial	2
B Cells	Goblet	3
B Cells	I Cells	6
B Cells	ICC	1
B Cells	Immature Enterocytes	6
B Cells	Immature Goblet	2
B Cells	K Cells	5
B Cells	Lymphatic Endothelial Cells	4
B Cells	Mo Cells	7
B Cells	Mono_Macrophages	11
B Cells	Myofibroblasts/SM 1	4
B Cells	Myofibroblasts/SM 2	4
B Cells	Myofibroblasts/SM DES High	4
B Cells	NEUROG3high	2
B Cells	Pericytes	4
B Cells	Plasma	4
B Cells	S Cells	1
B Cells	Secretory Specialized MUC6+	3
B Cells	TA1	5
B Cells	TA2	3
B Cells	Villus Fibroblasts WNT5B+	5
Best4+ Enterocytes	B Cells	1
Best4+ Enterocytes	CD8	25
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	29
Best4+ Enterocytes	Crypt Fibroblasts 2	8
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	14
Best4+ Enterocytes	CyclingTA 1	5
Best4+ Enterocytes	D Cells	12
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	25
Best4+ Enterocytes	Endothelial-Venules	16
Best4+ Enterocytes	Enterochromaffin	12
Best4+ Enterocytes	Enterocytes	17
Best4+ Enterocytes	Enteroendocrine	1
Best4+ Enterocytes	EnteroendocrineUn 1	4
Best4+ Enterocytes	Epithelial	7
Best4+ Enterocytes	Glia	7
Best4+ Enterocytes	Goblet	9
Best4+ Enterocytes	I Cells	18
Best4+ Enterocytes	ICC	8
Best4+ Enterocytes	Immature Enterocytes	17
Best4+ Enterocytes	Immature Goblet	13
Best4+ Enterocytes	K Cells	16
Best4+ Enterocytes	Lymphatic Endothelial Cells	8
Best4+ Enterocytes	Mo Cells	23
Best4+ Enterocytes	Mono_Macrophages	26
Best4+ Enterocytes	Myofibroblasts/SM 1	19
Best4+ Enterocytes	Myofibroblasts/SM 2	16
Best4+ Enterocytes	Myofibroblasts/SM 3	9
Best4+ Enterocytes	Myofibroblasts/SM DES High	8
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	Neurons	12
Best4+ Enterocytes	Pericytes	14
Best4+ Enterocytes	Plasma	11
Best4+ Enterocytes	S Cells	8
Best4+ Enterocytes	Secretory Specialized MUC6+	4
Best4+ Enterocytes	Stem	3
Best4+ Enterocytes	TA1	13
Best4+ Enterocytes	TA2	13
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	23
CD4	Best4+ Enterocytes	1
CD4	CD8	2
CD4	Crypt Fibroblasts 1 WNT2B+	1
CD4	Crypt Fibroblasts 2	1
CD4	Crypt Fibroblasts 3 RSPO3+	1
CD4	D Cells	1
CD4	Endothelial-CD36+ Microvascular	1
CD4	Endothelial-Venules	1
CD4	Enterochromaffin	1
CD4	Enterocytes	1
CD4	EnteroendocrineUn 1	1
CD4	Epithelial	1
CD4	Glia	2
CD4	Goblet	1
CD4	I Cells	3
CD4	ICC	2
CD4	Immature Enterocytes	3
CD4	Immature Goblet	1
CD4	K Cells	1
CD4	Lymphatic Endothelial Cells	2
CD4	Mo Cells	2
CD4	Mono_Macrophages	2
CD4	Myofibroblasts/SM 1	2
CD4	Myofibroblasts/SM 2	1
CD4	Myofibroblasts/SM 3	2
CD4	Myofibroblasts/SM DES High	1
CD4	Neurons	3
CD4	Pericytes	1
CD4	Plasma	2
CD4	S Cells	1
CD4	TA1	1
CD4	TA2	3
CD4	Villus Fibroblasts WNT5B+	2
CD8	B Cells	6
CD8	Best4+ Enterocytes	6
CD8	Crypt Fibroblasts 1 WNT2B+	90
CD8	Crypt Fibroblasts 2	19
CD8	Crypt Fibroblasts 3 RSPO3+	25
CD8	CyclingTA 1	10
CD8	D Cells	32
CD8	DC	13
CD8	Endothelial-CD36+ Microvascular	81
CD8	Endothelial-Venules	42
CD8	Enterochromaffin	32
CD8	Enterocytes	39
CD8	Enteroendocrine	2
CD8	EnteroendocrineUn 1	11
CD8	Epithelial	17
CD8	Glia	12
CD8	Goblet	17
CD8	I Cells	51
CD8	ICC	27
CD8	Immature Enterocytes	41
CD8	Immature Goblet	23
CD8	K Cells	35
CD8	Lymphatic Endothelial Cells	21
CD8	Mo Cells	56
CD8	Mono_Macrophages	84
CD8	Myofibroblasts/SM 1	60
CD8	Myofibroblasts/SM 2	40
CD8	Myofibroblasts/SM 3	25
CD8	Myofibroblasts/SM DES High	33
CD8	NEUROG3high	10
CD8	Neurons	32
CD8	Pericytes	43
CD8	Plasma	34
CD8	S Cells	19
CD8	Secretory Specialized MUC6+	7
CD8	Stem	6
CD8	TA1	38
CD8	TA2	32
CD8	Villus Fibroblasts WNT5B+	65
Crypt Fibroblasts 1 WNT2B+	B Cells	11
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	13
Crypt Fibroblasts 1 WNT2B+	CD8	93
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	33
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	46
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	11
Crypt Fibroblasts 1 WNT2B+	D Cells	40
Crypt Fibroblasts 1 WNT2B+	DC	19
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	118
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	59
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	59
Crypt Fibroblasts 1 WNT2B+	Enterocytes	61
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	22
Crypt Fibroblasts 1 WNT2B+	Epithelial	35
Crypt Fibroblasts 1 WNT2B+	Glia	30
Crypt Fibroblasts 1 WNT2B+	Goblet	31
Crypt Fibroblasts 1 WNT2B+	I Cells	86
Crypt Fibroblasts 1 WNT2B+	ICC	34
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	69
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	38
Crypt Fibroblasts 1 WNT2B+	K Cells	44
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	35
Crypt Fibroblasts 1 WNT2B+	Mo Cells	77
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	134
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	88
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	58
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	43
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	44
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	14
Crypt Fibroblasts 1 WNT2B+	Neurons	62
Crypt Fibroblasts 1 WNT2B+	Pericytes	72
Crypt Fibroblasts 1 WNT2B+	Plasma	53
Crypt Fibroblasts 1 WNT2B+	S Cells	33
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	10
Crypt Fibroblasts 1 WNT2B+	Stem	6
Crypt Fibroblasts 1 WNT2B+	TA1	52
Crypt Fibroblasts 1 WNT2B+	TA2	53
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	96
Crypt Fibroblasts 2	B Cells	2
Crypt Fibroblasts 2	Best4+ Enterocytes	5
Crypt Fibroblasts 2	CD8	29
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	34
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	18
Crypt Fibroblasts 2	CyclingTA 1	5
Crypt Fibroblasts 2	D Cells	12
Crypt Fibroblasts 2	DC	7
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	36
Crypt Fibroblasts 2	Endothelial-Venules	20
Crypt Fibroblasts 2	Enterochromaffin	17
Crypt Fibroblasts 2	Enterocytes	20
Crypt Fibroblasts 2	EnteroendocrineUn 1	4
Crypt Fibroblasts 2	Epithelial	11
Crypt Fibroblasts 2	Glia	8
Crypt Fibroblasts 2	Goblet	9
Crypt Fibroblasts 2	I Cells	20
Crypt Fibroblasts 2	ICC	9
Crypt Fibroblasts 2	Immature Enterocytes	22
Crypt Fibroblasts 2	Immature Goblet	13
Crypt Fibroblasts 2	K Cells	13
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	11
Crypt Fibroblasts 2	Mo Cells	27
Crypt Fibroblasts 2	Mono_Macrophages	41
Crypt Fibroblasts 2	Myofibroblasts/SM 1	26
Crypt Fibroblasts 2	Myofibroblasts/SM 2	17
Crypt Fibroblasts 2	Myofibroblasts/SM 3	13
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	11
Crypt Fibroblasts 2	NEUROG3high	3
Crypt Fibroblasts 2	Neurons	15
Crypt Fibroblasts 2	Pericytes	21
Crypt Fibroblasts 2	Plasma	14
Crypt Fibroblasts 2	S Cells	9
Crypt Fibroblasts 2	Secretory Specialized MUC6+	3
Crypt Fibroblasts 2	Stem	4
Crypt Fibroblasts 2	TA1	15
Crypt Fibroblasts 2	TA2	15
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	29
Crypt Fibroblasts 3 RSPO3+	B Cells	1
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	5
Crypt Fibroblasts 3 RSPO3+	CD8	40
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	56
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	17
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	8
Crypt Fibroblasts 3 RSPO3+	D Cells	16
Crypt Fibroblasts 3 RSPO3+	DC	4
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	50
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	26
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	19
Crypt Fibroblasts 3 RSPO3+	Enterocytes	24
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	3
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	7
Crypt Fibroblasts 3 RSPO3+	Epithelial	18
Crypt Fibroblasts 3 RSPO3+	Glia	6
Crypt Fibroblasts 3 RSPO3+	Goblet	12
Crypt Fibroblasts 3 RSPO3+	I Cells	34
Crypt Fibroblasts 3 RSPO3+	ICC	21
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	30
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	16
Crypt Fibroblasts 3 RSPO3+	K Cells	22
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	13
Crypt Fibroblasts 3 RSPO3+	Mo Cells	32
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	53
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 1	41
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 2	27
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 3	18
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	22
Crypt Fibroblasts 3 RSPO3+	NEUROG3high	6
Crypt Fibroblasts 3 RSPO3+	Neurons	25
Crypt Fibroblasts 3 RSPO3+	Pericytes	22
Crypt Fibroblasts 3 RSPO3+	Plasma	23
Crypt Fibroblasts 3 RSPO3+	S Cells	19
Crypt Fibroblasts 3 RSPO3+	Secretory Specialized MUC6+	3
Crypt Fibroblasts 3 RSPO3+	Stem	4
Crypt Fibroblasts 3 RSPO3+	TA1	22
Crypt Fibroblasts 3 RSPO3+	TA2	29
Crypt Fibroblasts 3 RSPO3+	Villus Fibroblasts WNT5B+	45
CyclingTA 1	B Cells	1
CyclingTA 1	Best4+ Enterocytes	3
