column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.13	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM398.SWKV.256_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.125	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.581	1	Adipocytes	D Cells	small_intestine	HBM398.SWKV.256_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.126	1	Adipocytes	Enterocytes	small_intestine	HBM398.SWKV.256_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.239	1	Adipocytes	K Cells	small_intestine	HBM398.SWKV.256_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.131	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM398.SWKV.256_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.173	1	Adipocytes	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.162	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	APOA1	ABCA1	0.035	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	LRPAP1	SORT1	0.009	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	LGALS3	MERTK	0.077	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	SEMA4D	PLXNB2	0.001	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	SEMA4D	CD72	0.009	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	SEMA4D	PLXNB1	0.007	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	SEMA4D	PTPRC	0.506	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|CD8	SST	SSTR1	0.002	9	B Cells	CD8	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.018	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.009	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.053	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.013	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.035	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.001	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB1	0.001	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.015	8	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.047	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	LGALS3	MERTK	0.002	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM398.SWKV.256_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTH1	SCARA5	0.016	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM398.SWKV.256_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.479	4	B Cells	D Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|D Cells	LRPAP1	SORT1	0.023	4	B Cells	D Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|D Cells	SEMA4D	PLXNB1	0.008	4	B Cells	D Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|D Cells	SST	SSTR2	0.457	4	B Cells	D Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|DC	SEMA4D	PLXNB2	0.063	2	B Cells	DC	small_intestine	HBM398.SWKV.256_reg001
B Cells|DC	SEMA4D	PTPRC	0.188	2	B Cells	DC	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	NECTIN3	0.006	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	TIGIT	0.033	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	HEBP1	FPR3	0.005	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	APOA1	ABCA1	0.039	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	LRPAP1	SORT1	0.049	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	LGALS3	MERTK	0.005	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	SEMA4D	PLXNB1	0.071	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-CD36+ Microvascular	SEMA4D	PTPRC	0.003	8	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-Venules	NECTIN2	NECTIN3	0.002	3	B Cells	Endothelial-Venules	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-Venules	LRPAP1	SORT1	0.003	3	B Cells	Endothelial-Venules	small_intestine	HBM398.SWKV.256_reg001
B Cells|Endothelial-Venules	CD24	SELP	0.007	3	B Cells	Endothelial-Venules	small_intestine	HBM398.SWKV.256_reg001
B Cells|Enterochromaffin	NECTIN2	NECTIN3	0.501	3	B Cells	Enterochromaffin	small_intestine	HBM398.SWKV.256_reg001
B Cells|Enterochromaffin	LRPAP1	SORT1	0.184	3	B Cells	Enterochromaffin	small_intestine	HBM398.SWKV.256_reg001
B Cells|Enterochromaffin	SST	SSTR2	0.107	3	B Cells	Enterochromaffin	small_intestine	HBM398.SWKV.256_reg001
B Cells|Enterocytes	NECTIN2	NECTIN3	0.002	3	B Cells	Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Enterocytes	APOA1	ABCA1	0.032	3	B Cells	Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Enterocytes	LRPAP1	SORT1	0.002	3	B Cells	Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Epithelial	LRPAP1	SORT1	0.001	2	B Cells	Epithelial	small_intestine	HBM398.SWKV.256_reg001
B Cells|Epithelial	LGALS3	MERTK	0.001	2	B Cells	Epithelial	small_intestine	HBM398.SWKV.256_reg001
B Cells|Goblet	NECTIN2	NECTIN3	0.002	3	B Cells	Goblet	small_intestine	HBM398.SWKV.256_reg001
B Cells|Goblet	HEBP1	FPR3	0.002	3	B Cells	Goblet	small_intestine	HBM398.SWKV.256_reg001
B Cells|Goblet	SST	SSTR1	0.002	3	B Cells	Goblet	small_intestine	HBM398.SWKV.256_reg001
B Cells|I Cells	NECTIN2	NECTIN3	0.308	6	B Cells	I Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|I Cells	NECTIN2	TIGIT	0.039	6	B Cells	I Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|I Cells	LRPAP1	SORT1	0.27	6	B Cells	I Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|I Cells	SEMA4D	PLXNB2	0.193	6	B Cells	I Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|I Cells	SEMA4D	PLXNB1	0.308	6	B Cells	I Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|I Cells	SST	SSTR2	0.251	6	B Cells	I Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|ICC	APOA1	ABCA1	0.045	1	B Cells	ICC	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Enterocytes	NECTIN2	NECTIN3	0.003	6	B Cells	Immature Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Enterocytes	APOA1	ABCA1	0.032	6	B Cells	Immature Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Enterocytes	LRPAP1	SORT1	0.002	6	B Cells	Immature Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Enterocytes	LGALS3	MERTK	0.001	6	B Cells	Immature Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Enterocytes	SEMA4D	PTPRC	0.001	6	B Cells	Immature Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Enterocytes	SST	SSTR1	0.002	6	B Cells	Immature Enterocytes	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Goblet	NECTIN2	NECTIN3	0.002	2	B Cells	Immature Goblet	small_intestine	HBM398.SWKV.256_reg001
B Cells|Immature Goblet	SEMA4D	PLXNB2	0.001	2	B Cells	Immature Goblet	small_intestine	HBM398.SWKV.256_reg001
B Cells|K Cells	NECTIN2	NECTIN3	0.296	5	B Cells	K Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|K Cells	HEBP1	FPR3	0.092	5	B Cells	K Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|K Cells	LRPAP1	SORT1	0.047	5	B Cells	K Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|K Cells	SST	SSTR1	0.319	5	B Cells	K Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|K Cells	CD44	TYROBP	0.092	5	B Cells	K Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Lymphatic Endothelial Cells	APOA1	ABCA1	0.039	4	B Cells	Lymphatic Endothelial Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Lymphatic Endothelial Cells	LRPAP1	SORT1	0.008	4	B Cells	Lymphatic Endothelial Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Lymphatic Endothelial Cells	SEMA4D	PLXNB1	0.003	4	B Cells	Lymphatic Endothelial Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Lymphatic Endothelial Cells	CD44	TYROBP	0.008	4	B Cells	Lymphatic Endothelial Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	NECTIN2	NECTIN3	0.096	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	HEBP1	FPR3	0.025	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	APOA1	ABCA1	0.104	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	LGALS3	MERTK	0.287	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	SEMA4D	PLXNB2	0.238	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	SEMA4D	PLXNB1	0.143	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mo Cells	SST	SSTR2	0.287	7	B Cells	Mo Cells	small_intestine	HBM398.SWKV.256_reg001
B Cells|Mono_Macrophages	NECTIN2	NECTIN3	0.001	11	B Cells	Mono_Macrophages	small_intestine	HBM398.SWKV.256_reg001
