source	target	count
B Cells	Best4+ Enterocytes	4
B Cells	CD8	19
B Cells	Crypt Fibroblasts 1 WNT2B+	19
B Cells	Crypt Fibroblasts 2	5
B Cells	Crypt Fibroblasts 3 RSPO3+	8
B Cells	CyclingTA 1	6
B Cells	D Cells	1
B Cells	DC	4
B Cells	Endothelial-CD36+ Microvascular	18
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	12
B Cells	Enterocytes	14
B Cells	Enteroendocrine	5
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	4
B Cells	Epithelial	9
B Cells	Glia	2
B Cells	Goblet	6
B Cells	I Cells	14
B Cells	ICC	3
B Cells	Immature Enterocytes	18
B Cells	Immature Goblet	12
B Cells	Lymphatic Endothelial Cells	9
B Cells	Mast	3
B Cells	Mo Cells	9
B Cells	Mono_Macrophages	25
B Cells	Myofibroblasts/SM 1	15
B Cells	Myofibroblasts/SM 2	6
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	14
B Cells	Neurons	6
B Cells	Pericytes	2
B Cells	Plasma	6
B Cells	S Cells	7
B Cells	Secretory Specialized MUC6+	8
B Cells	Stem	3
B Cells	TA1	13
B Cells	TA2	21
B Cells	Villus Fibroblasts WNT5B+	6
Best4+ Enterocytes	B Cells	8
Best4+ Enterocytes	CD8	24
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	28
Best4+ Enterocytes	Crypt Fibroblasts 2	7
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	13
Best4+ Enterocytes	CyclingTA 1	11
Best4+ Enterocytes	D Cells	7
Best4+ Enterocytes	DC	2
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	28
Best4+ Enterocytes	Endothelial-Venules	24
Best4+ Enterocytes	Enterochromaffin	17
Best4+ Enterocytes	Enterocytes	19
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	8
Best4+ Enterocytes	EnteroendocrineUn 1	3
Best4+ Enterocytes	Epithelial	10
Best4+ Enterocytes	Glia	3
Best4+ Enterocytes	Goblet	11
Best4+ Enterocytes	I Cells	20
Best4+ Enterocytes	ICC	7
Best4+ Enterocytes	Immature Enterocytes	23
Best4+ Enterocytes	Immature Goblet	17
Best4+ Enterocytes	Lymphatic Endothelial Cells	19
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	12
Best4+ Enterocytes	Mono_Macrophages	39
Best4+ Enterocytes	Myofibroblasts/SM 1	21
Best4+ Enterocytes	Myofibroblasts/SM 2	13
Best4+ Enterocytes	Myofibroblasts/SM 3	6
Best4+ Enterocytes	Myofibroblasts/SM DES High	17
Best4+ Enterocytes	Neurons	5
Best4+ Enterocytes	Pericytes	2
Best4+ Enterocytes	Plasma	13
Best4+ Enterocytes	S Cells	12
Best4+ Enterocytes	Secretory Specialized MUC6+	6
Best4+ Enterocytes	Stem	12
Best4+ Enterocytes	TA1	15
Best4+ Enterocytes	TA2	19
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	12
CD8	B Cells	19
CD8	Best4+ Enterocytes	25
CD8	CD4	1
CD8	Crypt Fibroblasts 1 WNT2B+	71
CD8	Crypt Fibroblasts 2	20
CD8	Crypt Fibroblasts 3 RSPO3+	22
CD8	CyclingTA 1	21
CD8	D Cells	17
CD8	DC	12
CD8	Endothelial-CD36+ Microvascular	67
CD8	Endothelial-Venules	52
CD8	Enterochromaffin	37
CD8	Enterocytes	45
CD8	Enteroendocrine	13
CD8	EnteroendocrineUn	13
CD8	EnteroendocrineUn 1	13
CD8	Epithelial	18
CD8	Glia	10
CD8	Goblet	24
CD8	I Cells	44
CD8	ICC	14
CD8	Immature Enterocytes	65
CD8	Immature Goblet	35
CD8	Lymphatic Endothelial Cells	39
CD8	Mast	5
CD8	Mo Cells	28
CD8	Mono_Macrophages	95
CD8	Myofibroblasts/SM 1	55
CD8	Myofibroblasts/SM 2	20
CD8	Myofibroblasts/SM 3	14
CD8	Myofibroblasts/SM DES High	45
CD8	Neurons	18
CD8	Pericytes	4
CD8	Plasma	25
CD8	S Cells	22
CD8	Secretory Specialized MUC6+	10
CD8	Stem	26
CD8	TA1	42
CD8	TA2	52
CD8	Villus Fibroblasts WNT5B+	26
Crypt Fibroblasts 1 WNT2B+	B Cells	18
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	29
Crypt Fibroblasts 1 WNT2B+	CD8	72
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	31
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	36
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	28
Crypt Fibroblasts 1 WNT2B+	D Cells	19
Crypt Fibroblasts 1 WNT2B+	DC	16
