column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	NECTIN2	NECTIN3	0.098	4	B Cells	Best4+ Enterocytes	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.197	4	B Cells	Best4+ Enterocytes	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Best4+ Enterocytes	LGALS3	MERTK	0.06	4	B Cells	Best4+ Enterocytes	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Best4+ Enterocytes	GAS6	MERTK	0.06	4	B Cells	Best4+ Enterocytes	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.096	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	APP	CD74	0.115	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	APP	PLXNA4	0.108	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	APLP2	PLXNA4	0.036	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	APP	SORL1	0.128	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	APP	TNFRSF21	0.108	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	APLP2	PIGR	1.26	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	CCL25	ACKR4	0.036	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	CCL25	CCR9	0.076	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	LGALS3	MERTK	0.156	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	GAS6	MERTK	0.156	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	SEMA4D	PLXNB2	0.02	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	SEMA4D	PTPRC	0.395	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	CD160	TNFRSF14	0.117	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	WNT2B	FRZB	0.025	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	WNT2B	SFRP2	0.115	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	ALCAM	CD6	0.163	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	CD99	PILRA	0.097	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|CD8	PPIA	BSG	0.052	19	B Cells	CD8	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.229	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.022	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.166	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.115	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.147	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	1.124	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	1.422	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.051	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.091	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.091	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.336	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.054	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.033	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.038	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD160	TNFRSF14	0.023	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.034	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD99	PILRA	0.095	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.058	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM429.DWKZ.323_reg001
