source	target	count
B Cells	Best4+ Enterocytes	1
B Cells	CD8	21
B Cells	Crypt Fibroblasts 1 WNT2B+	21
B Cells	Crypt Fibroblasts 2	7
B Cells	Crypt Fibroblasts 3 RSPO3+	9
B Cells	CyclingTA 1	4
B Cells	D Cells	9
B Cells	DC	4
B Cells	Endothelial-CD36+ Microvascular	17
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	15
B Cells	Enterocytes	14
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	2
B Cells	Epithelial	10
B Cells	Glia	3
B Cells	Goblet	9
B Cells	I Cells	8
B Cells	ICC	4
B Cells	Immature Enterocytes	19
B Cells	Immature Goblet	10
B Cells	K Cells	11
B Cells	Lymphatic Endothelial Cells	8
B Cells	Mo Cells	12
B Cells	Mono_Macrophages	24
B Cells	Myofibroblasts/SM 1	15
B Cells	Myofibroblasts/SM 2	4
B Cells	Myofibroblasts/SM 3	3
B Cells	Myofibroblasts/SM DES High	12
B Cells	NK	1
B Cells	Neurons	4
B Cells	Pericytes	10
B Cells	Plasma	6
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	5
B Cells	TA1	12
B Cells	TA2	16
B Cells	Villus Fibroblasts WNT5B+	11
Best4+ Enterocytes	B Cells	7
Best4+ Enterocytes	CD8	22
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	24
Best4+ Enterocytes	Crypt Fibroblasts 2	7
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	12
Best4+ Enterocytes	CyclingTA 1	6
Best4+ Enterocytes	D Cells	8
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	18
Best4+ Enterocytes	Endothelial-Venules	16
Best4+ Enterocytes	Enterochromaffin	14
Best4+ Enterocytes	Enterocytes	15
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	2
Best4+ Enterocytes	Epithelial	6
Best4+ Enterocytes	Glia	5
Best4+ Enterocytes	Goblet	10
Best4+ Enterocytes	I Cells	10
Best4+ Enterocytes	ICC	8
Best4+ Enterocytes	Immature Enterocytes	22
Best4+ Enterocytes	Immature Goblet	16
Best4+ Enterocytes	K Cells	13
Best4+ Enterocytes	Lymphatic Endothelial Cells	12
Best4+ Enterocytes	Mo Cells	15
Best4+ Enterocytes	Mono_Macrophages	22
Best4+ Enterocytes	Myofibroblasts/SM 1	17
Best4+ Enterocytes	Myofibroblasts/SM 2	8
Best4+ Enterocytes	Myofibroblasts/SM 3	6
Best4+ Enterocytes	Myofibroblasts/SM DES High	9
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	5
Best4+ Enterocytes	Pericytes	9
Best4+ Enterocytes	Plasma	7
Best4+ Enterocytes	S Cells	6
Best4+ Enterocytes	Secretory Specialized MUC6+	5
Best4+ Enterocytes	Stem	8
Best4+ Enterocytes	TA1	10
Best4+ Enterocytes	TA2	12
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	13
CD8	B Cells	22
CD8	Best4+ Enterocytes	4
CD8	Crypt Fibroblasts 1 WNT2B+	105
CD8	Crypt Fibroblasts 2	35
CD8	Crypt Fibroblasts 3 RSPO3+	31
CD8	CyclingTA 1	24
CD8	D Cells	42
CD8	DC	22
CD8	Endothelial-CD36+ Microvascular	81
CD8	Endothelial-Venules	73
CD8	Enterochromaffin	59
CD8	Enterocytes	51
CD8	Enteroendocrine	22
CD8	EnteroendocrineUn	2
CD8	Epithelial	25
CD8	Glia	22
CD8	Goblet	35
CD8	I Cells	47
CD8	ICC	40
CD8	Immature Enterocytes	77
CD8	Immature Goblet	39
CD8	K Cells	36
CD8	Lymphatic Endothelial Cells	35
CD8	Mo Cells	57
CD8	Mono_Macrophages	99
CD8	Myofibroblasts/SM 1	78
CD8	Myofibroblasts/SM 2	23
CD8	Myofibroblasts/SM 3	27
CD8	Myofibroblasts/SM DES High	45
CD8	NK	1
CD8	Neurons	18
CD8	Pericytes	34
CD8	Plasma	47
CD8	S Cells	25
CD8	Secretory Specialized MUC6+	10
CD8	Stem	31
CD8	TA1	48
CD8	TA2	51
CD8	Villus Fibroblasts WNT5B+	65
Crypt Fibroblasts 1 WNT2B+	B Cells	29
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	12
Crypt Fibroblasts 1 WNT2B+	CD4	1
Crypt Fibroblasts 1 WNT2B+	CD8	128
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	46
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	50
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	34
Crypt Fibroblasts 1 WNT2B+	D Cells	53
Crypt Fibroblasts 1 WNT2B+	DC	31
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	122
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	102
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	98
Crypt Fibroblasts 1 WNT2B+	Enterocytes	83
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	33
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	3
Crypt Fibroblasts 1 WNT2B+	Epithelial	49
Crypt Fibroblasts 1 WNT2B+	Glia	40
Crypt Fibroblasts 1 WNT2B+	Goblet	57
Crypt Fibroblasts 1 WNT2B+	I Cells	70
Crypt Fibroblasts 1 WNT2B+	ICC	56
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	125
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	69
Crypt Fibroblasts 1 WNT2B+	K Cells	45
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	47
Crypt Fibroblasts 1 WNT2B+	Mo Cells	89
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	147
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	121
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	38
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	45
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	65
Crypt Fibroblasts 1 WNT2B+	NK	1
Crypt Fibroblasts 1 WNT2B+	Neurons	43
Crypt Fibroblasts 1 WNT2B+	Pericytes	59
Crypt Fibroblasts 1 WNT2B+	Plasma	64
Crypt Fibroblasts 1 WNT2B+	S Cells	36
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	19
Crypt Fibroblasts 1 WNT2B+	Stem	43
Crypt Fibroblasts 1 WNT2B+	TA1	68
Crypt Fibroblasts 1 WNT2B+	TA2	77
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	91
Crypt Fibroblasts 2	B Cells	9
Crypt Fibroblasts 2	Best4+ Enterocytes	4
Crypt Fibroblasts 2	CD8	41
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	43
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	18
Crypt Fibroblasts 2	CyclingTA 1	9
Crypt Fibroblasts 2	D Cells	12
Crypt Fibroblasts 2	DC	11
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	38
Crypt Fibroblasts 2	Endothelial-Venules	33
Crypt Fibroblasts 2	Enterochromaffin	29
Crypt Fibroblasts 2	Enterocytes	23
Crypt Fibroblasts 2	Enteroendocrine	10
Crypt Fibroblasts 2	EnteroendocrineUn	2
Crypt Fibroblasts 2	Epithelial	14
Crypt Fibroblasts 2	Glia	11
Crypt Fibroblasts 2	Goblet	17
Crypt Fibroblasts 2	I Cells	15
Crypt Fibroblasts 2	ICC	16
Crypt Fibroblasts 2	Immature Enterocytes	39
Crypt Fibroblasts 2	Immature Goblet	21
Crypt Fibroblasts 2	K Cells	13
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	18
Crypt Fibroblasts 2	Mo Cells	28
Crypt Fibroblasts 2	Mono_Macrophages	41
Crypt Fibroblasts 2	Myofibroblasts/SM 1	36
Crypt Fibroblasts 2	Myofibroblasts/SM 2	12
Crypt Fibroblasts 2	Myofibroblasts/SM 3	14
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	17
Crypt Fibroblasts 2	NK	1
Crypt Fibroblasts 2	Neurons	13
Crypt Fibroblasts 2	Pericytes	21
Crypt Fibroblasts 2	Plasma	15
Crypt Fibroblasts 2	S Cells	10
Crypt Fibroblasts 2	Secretory Specialized MUC6+	7
Crypt Fibroblasts 2	Stem	13
Crypt Fibroblasts 2	TA1	21
Crypt Fibroblasts 2	TA2	21
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	25
Crypt Fibroblasts 3 RSPO3+	B Cells	10
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	4
Crypt Fibroblasts 3 RSPO3+	CD8	43
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	61
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	20
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	13
Crypt Fibroblasts 3 RSPO3+	D Cells	17
Crypt Fibroblasts 3 RSPO3+	DC	7
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	51
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	40
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	32
Crypt Fibroblasts 3 RSPO3+	Enterocytes	28
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	10
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn	2
Crypt Fibroblasts 3 RSPO3+	Epithelial	18
Crypt Fibroblasts 3 RSPO3+	Glia	12
Crypt Fibroblasts 3 RSPO3+	Goblet	22
Crypt Fibroblasts 3 RSPO3+	I Cells	26
Crypt Fibroblasts 3 RSPO3+	ICC	35
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	50
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	23
Crypt Fibroblasts 3 RSPO3+	K Cells	22
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	25
Crypt Fibroblasts 3 RSPO3+	Mo Cells	27
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	56
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 1	50
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 2	13
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 3	19
