column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.026	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.021	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.445	1	Adipocytes	D Cells	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.021	1	Adipocytes	Enterocytes	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.112	1	Adipocytes	Enteroendocrine	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.103	1	Adipocytes	I Cells	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.023	1	Adipocytes	Immature Goblet	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.157	1	Adipocytes	K Cells	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.024	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.095	1	Adipocytes	Mo Cells	small_intestine	HBM475.DXDC.532_reg001
Adipocytes|TA1	CD96	NECTIN1	0.021	1	Adipocytes	TA1	small_intestine	HBM475.DXDC.532_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.089	1	B Cells	Best4+ Enterocytes	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	CDH1	KLRG1	0.005	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.056	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	APP	CD74	0.023	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	APP	SORL1	0.016	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	APP	TNFRSF21	0.014	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	APLP2	PIGR	0.553	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	APOA1	ABCA1	0.277	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	LRPAP1	SORT1	0.012	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	CCL25	ACKR4	0.022	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	CCL25	CCR9	0.052	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	LGALS3	MERTK	0.056	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	GAS6	MERTK	0.049	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	SEMA4D	PLXNB2	0.003	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	SEMA4D	PTPRC	0.175	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	SST	SSTR1	0.026	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.02	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	WNT2B	FRZB	0.007	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	ALCAM	CD6	0.061	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	PPIA	BSG	0.022	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|CD8	PTPRC	MRC1	0.021	20	B Cells	CD8	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.1	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.021	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.077	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.017	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.646	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.343	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.028	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.203	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.197	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.051	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN3	PVR	0.006	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.005	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB1	0.005	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.04	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.018	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.015	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.03	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.005	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.073	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PTPRC	MRC1	0.004	20	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 2	APP	CD74	0.015	5	B Cells	Crypt Fibroblasts 2	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.125	5	B Cells	Crypt Fibroblasts 2	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 2	LRPAP1	SORT1	0.007	5	B Cells	Crypt Fibroblasts 2	small_intestine	HBM475.DXDC.532_reg001
B Cells|Crypt Fibroblasts 2	GAS6	TYRO3	0.028	5	B Cells	Crypt Fibroblasts 2	small_intestine	HBM475.DXDC.532_reg001
