source	target	count
B Cells	Best4+ Enterocytes	2
B Cells	CD8	12
B Cells	Crypt Fibroblasts 1 WNT2B+	15
B Cells	Crypt Fibroblasts 2	6
B Cells	Crypt Fibroblasts 3 RSPO3+	3
B Cells	CyclingTA 1	7
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	15
B Cells	Endothelial-Venules	14
B Cells	Enterochromaffin	11
B Cells	Enterocytes	11
B Cells	Enteroendocrine	2
B Cells	EnteroendocrineUn	7
B Cells	EnteroendocrineUn 1	4
B Cells	Epithelial	5
B Cells	Glia	1
B Cells	Goblet	6
B Cells	I Cells	10
B Cells	ICC	3
B Cells	Immature Enterocytes	14
B Cells	Immature Goblet	9
B Cells	K Cells	7
B Cells	Lymphatic Endothelial Cells	9
B Cells	Mast	4
B Cells	Mo Cells	12
B Cells	Mono_Macrophages	22
B Cells	Myofibroblasts/SM 1	11
B Cells	Myofibroblasts/SM 2	3
B Cells	Myofibroblasts/SM DES High	6
B Cells	NEUROG3high	2
B Cells	Neurons	6
B Cells	Pericytes	4
B Cells	Plasma	4
B Cells	S Cells	7
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	5
B Cells	TA1	9
B Cells	TA2	15
B Cells	Villus Fibroblasts WNT5B+	8
Best4+ Enterocytes	B Cells	3
Best4+ Enterocytes	CD8	14
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	20
Best4+ Enterocytes	Crypt Fibroblasts 2	5
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	7
Best4+ Enterocytes	CyclingTA 1	12
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	20
Best4+ Enterocytes	Endothelial-Venules	19
Best4+ Enterocytes	Enterochromaffin	11
Best4+ Enterocytes	Enterocytes	17
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	12
Best4+ Enterocytes	EnteroendocrineUn 1	5
Best4+ Enterocytes	Epithelial	8
Best4+ Enterocytes	Glia	2
Best4+ Enterocytes	Goblet	12
Best4+ Enterocytes	I Cells	14
Best4+ Enterocytes	ICC	4
Best4+ Enterocytes	Immature Enterocytes	21
Best4+ Enterocytes	Immature Goblet	15
Best4+ Enterocytes	K Cells	8
Best4+ Enterocytes	Lymphatic Endothelial Cells	15
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	18
Best4+ Enterocytes	Mono_Macrophages	27
Best4+ Enterocytes	Myofibroblasts/SM 1	15
Best4+ Enterocytes	Myofibroblasts/SM 2	9
Best4+ Enterocytes	Myofibroblasts/SM DES High	8
Best4+ Enterocytes	NEUROG3high	2
Best4+ Enterocytes	Neurons	10
Best4+ Enterocytes	Pericytes	3
Best4+ Enterocytes	Plasma	4
Best4+ Enterocytes	S Cells	8
Best4+ Enterocytes	Secretory Specialized MUC6+	3
Best4+ Enterocytes	Stem	8
Best4+ Enterocytes	TA1	12
Best4+ Enterocytes	TA2	18
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	8
CD4	Best4+ Enterocytes	1
CD4	Enterocytes	1
CD4	Enteroendocrine	1
CD4	I Cells	1
CD4	Immature Enterocytes	1
CD4	Immature Goblet	1
CD4	K Cells	1
CD4	Mo Cells	1
CD4	Mono_Macrophages	1
CD8	B Cells	12
CD8	Best4+ Enterocytes	6
CD8	Crypt Fibroblasts 1 WNT2B+	49
CD8	Crypt Fibroblasts 2	12
CD8	Crypt Fibroblasts 3 RSPO3+	12
CD8	CyclingTA 1	20
CD8	DC	12
CD8	Endothelial-CD36+ Microvascular	52
CD8	Endothelial-Venules	36
CD8	Enterochromaffin	29
CD8	Enterocytes	32
CD8	Enteroendocrine	9
CD8	EnteroendocrineUn	16
CD8	EnteroendocrineUn 1	10
CD8	Epithelial	12
CD8	Glia	3
CD8	Goblet	18
CD8	I Cells	34
CD8	ICC	9
CD8	Immature Enterocytes	46
CD8	Immature Goblet	28
CD8	K Cells	14
CD8	Lymphatic Endothelial Cells	30
CD8	Mast	4
CD8	Mo Cells	36
CD8	Mono_Macrophages	65
CD8	Myofibroblasts/SM 1	43
CD8	Myofibroblasts/SM 2	11
CD8	Myofibroblasts/SM DES High	26
CD8	NEUROG3high	6
CD8	Neurons	17
CD8	Pericytes	8
CD8	Plasma	10
CD8	S Cells	16
CD8	Secretory Specialized MUC6+	4
CD8	Stem	12
CD8	TA1	29
CD8	TA2	40
CD8	Villus Fibroblasts WNT5B+	13
Crypt Fibroblasts 1 WNT2B+	B Cells	14
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	14
Crypt Fibroblasts 1 WNT2B+	CD8	44
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	18
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	29
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	30
Crypt Fibroblasts 1 WNT2B+	DC	23
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	85
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	71
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	46
Crypt Fibroblasts 1 WNT2B+	Enterocytes	55
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	20
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	33
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	16
Crypt Fibroblasts 1 WNT2B+	Epithelial	28
Crypt Fibroblasts 1 WNT2B+	Glia	3
Crypt Fibroblasts 1 WNT2B+	Goblet	31
Crypt Fibroblasts 1 WNT2B+	I Cells	67
Crypt Fibroblasts 1 WNT2B+	ICC	15
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	79
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	46
Crypt Fibroblasts 1 WNT2B+	K Cells	21
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	53
Crypt Fibroblasts 1 WNT2B+	Mast	11
