column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.204	2	B Cells	Best4+ Enterocytes	small_intestine	HBM523.XHWW.384_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.017	2	B Cells	Best4+ Enterocytes	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.102	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	APP	CD74	0.066	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	APP	SORL1	0.064	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	APLP2	PIGR	1.07	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	LRPAP1	SORT1	0.04	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	CCL25	ACKR4	0.014	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	CCL25	CCR9	0.049	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	LGALS3	MERTK	0.197	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	GAS6	MERTK	0.159	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	SST	SSTR1	0.173	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	ALCAM	CD6	0.157	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|CD8	PPIA	BSG	0.041	12	B Cells	CD8	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.172	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.012	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.194	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.079	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.084	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.922	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.929	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOB	APOBR	0.671	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.039	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.103	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.065	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.043	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.016	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD99	PILRA	0.049	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.024	15	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 2	NECTIN2	NECTIN3	0.103	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 2	APP	CD74	0.068	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.172	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 2	LRPAP1	SORT1	0.041	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 2	GAS6	TYRO3	0.027	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 2	PPIA	BSG	0.032	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.122	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.102	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM523.XHWW.384_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.884	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM523.XHWW.384_reg001
B Cells|CyclingTA 1	NECTIN2	NECTIN3	0.098	7	B Cells	CyclingTA 1	small_intestine	HBM523.XHWW.384_reg001
B Cells|CyclingTA 1	APP	CD74	0.063	7	B Cells	CyclingTA 1	small_intestine	HBM523.XHWW.384_reg001
B Cells|CyclingTA 1	APP	SORL1	0.067	7	B Cells	CyclingTA 1	small_intestine	HBM523.XHWW.384_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.194	7	B Cells	CyclingTA 1	small_intestine	HBM523.XHWW.384_reg001
B Cells|CyclingTA 1	GAS6	AXL	0.025	7	B Cells	CyclingTA 1	small_intestine	HBM523.XHWW.384_reg001
