source	target	count
B Cells	Best4+ Enterocytes	3
B Cells	CD8	14
B Cells	Crypt Fibroblasts 1 WNT2B+	17
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	9
B Cells	CyclingTA 1	2
B Cells	D Cells	9
B Cells	Endothelial-CD36+ Microvascular	17
B Cells	Endothelial-Venules	14
B Cells	Enterochromaffin	13
B Cells	Enterocytes	11
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	7
B Cells	Epithelial	7
B Cells	Goblet	3
B Cells	I Cells	15
B Cells	ICC	3
B Cells	Immature Enterocytes	15
B Cells	Immature Goblet	7
B Cells	Lymphatic Endothelial Cells	6
B Cells	Mo Cells	11
B Cells	Mono_Macrophages	18
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	9
B Cells	Myofibroblasts/SM 3	3
B Cells	Myofibroblasts/SM DES High	7
B Cells	NEUROG3high	2
B Cells	Neurons	5
B Cells	Pericytes	9
B Cells	Plasma	6
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	1
B Cells	TA1	10
B Cells	TA2	12
B Cells	Villus Fibroblasts WNT5B+	13
Best4+ Enterocytes	B Cells	4
Best4+ Enterocytes	CD8	12
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	17
Best4+ Enterocytes	Crypt Fibroblasts 2	2
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	9
Best4+ Enterocytes	CyclingTA 1	2
Best4+ Enterocytes	D Cells	6
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	15
Best4+ Enterocytes	Endothelial-Venules	11
Best4+ Enterocytes	Enterochromaffin	12
Best4+ Enterocytes	Enterocytes	9
Best4+ Enterocytes	Enteroendocrine	3
Best4+ Enterocytes	EnteroendocrineUn	2
Best4+ Enterocytes	EnteroendocrineUn 1	7
Best4+ Enterocytes	Epithelial	5
Best4+ Enterocytes	Goblet	3
Best4+ Enterocytes	I Cells	8
Best4+ Enterocytes	ICC	3
Best4+ Enterocytes	Immature Enterocytes	9
Best4+ Enterocytes	Immature Goblet	5
Best4+ Enterocytes	Lymphatic Endothelial Cells	4
Best4+ Enterocytes	Mo Cells	11
Best4+ Enterocytes	Mono_Macrophages	12
Best4+ Enterocytes	Myofibroblasts/SM 1	8
Best4+ Enterocytes	Myofibroblasts/SM 2	7
Best4+ Enterocytes	Myofibroblasts/SM 3	3
Best4+ Enterocytes	Myofibroblasts/SM DES High	4
Best4+ Enterocytes	NEUROG3high	2
Best4+ Enterocytes	Neurons	5
Best4+ Enterocytes	Pericytes	8
Best4+ Enterocytes	Plasma	6
Best4+ Enterocytes	S Cells	3
Best4+ Enterocytes	Secretory Specialized MUC6+	2
Best4+ Enterocytes	TA1	6
Best4+ Enterocytes	TA2	8
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	14
CD8	B Cells	13
CD8	Best4+ Enterocytes	5
CD8	CD4	1
CD8	Crypt Fibroblasts 1 WNT2B+	57
CD8	Crypt Fibroblasts 2	3
CD8	Crypt Fibroblasts 3 RSPO3+	19
CD8	CyclingTA 1	3
CD8	D Cells	25
CD8	Endothelial-CD36+ Microvascular	56
CD8	Endothelial-Venules	41
CD8	Enterochromaffin	37
CD8	Enterocytes	29
CD8	Enteroendocrine	11
CD8	EnteroendocrineUn	10
CD8	EnteroendocrineUn 1	25
CD8	Epithelial	12
CD8	Goblet	8
CD8	I Cells	44
CD8	ICC	7
CD8	Immature Enterocytes	40
CD8	Immature Goblet	17
CD8	Lymphatic Endothelial Cells	22
CD8	Mo Cells	35
CD8	Mono_Macrophages	49
CD8	Myofibroblasts/SM 1	43
CD8	Myofibroblasts/SM 2	26
CD8	Myofibroblasts/SM 3	14
CD8	Myofibroblasts/SM DES High	23
CD8	NEUROG3high	7
CD8	Neurons	18
CD8	Pericytes	23
CD8	Plasma	21
CD8	S Cells	11
CD8	Secretory Specialized MUC6+	3
CD8	Stem	5
CD8	TA1	25
CD8	TA2	26
CD8	Villus Fibroblasts WNT5B+	46
Crypt Fibroblasts 1 WNT2B+	B Cells	23
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	9
Crypt Fibroblasts 1 WNT2B+	CD8	76
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	7
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	37
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	11
Crypt Fibroblasts 1 WNT2B+	D Cells	39
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	95
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	67
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	71
Crypt Fibroblasts 1 WNT2B+	Enterocytes	53
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	23
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	19
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	38
Crypt Fibroblasts 1 WNT2B+	Epithelial	28
Crypt Fibroblasts 1 WNT2B+	Goblet	17
Crypt Fibroblasts 1 WNT2B+	I Cells	78
Crypt Fibroblasts 1 WNT2B+	ICC	13
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	73
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	27
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	34
Crypt Fibroblasts 1 WNT2B+	Mo Cells	62
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	88
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	68
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	40
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	27
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	41
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	11
Crypt Fibroblasts 1 WNT2B+	NK	1
Crypt Fibroblasts 1 WNT2B+	Neurons	42
Crypt Fibroblasts 1 WNT2B+	Pericytes	42
Crypt Fibroblasts 1 WNT2B+	Plasma	41
Crypt Fibroblasts 1 WNT2B+	S Cells	25
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	5
Crypt Fibroblasts 1 WNT2B+	Stem	6
Crypt Fibroblasts 1 WNT2B+	TA1	34
Crypt Fibroblasts 1 WNT2B+	TA2	48
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	79
Crypt Fibroblasts 2	B Cells	1
Crypt Fibroblasts 2	Best4+ Enterocytes	1
Crypt Fibroblasts 2	CD8	3
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	6
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	4
Crypt Fibroblasts 2	D Cells	3
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	8
Crypt Fibroblasts 2	Endothelial-Venules	6
Crypt Fibroblasts 2	Enterochromaffin	5
Crypt Fibroblasts 2	Enterocytes	3
Crypt Fibroblasts 2	Enteroendocrine	2
Crypt Fibroblasts 2	EnteroendocrineUn 1	1
Crypt Fibroblasts 2	Epithelial	1
Crypt Fibroblasts 2	I Cells	3
Crypt Fibroblasts 2	Immature Enterocytes	4
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	4
Crypt Fibroblasts 2	Mo Cells	5
Crypt Fibroblasts 2	Mono_Macrophages	4
Crypt Fibroblasts 2	Myofibroblasts/SM 1	4
Crypt Fibroblasts 2	Myofibroblasts/SM 2	4
Crypt Fibroblasts 2	Myofibroblasts/SM 3	1
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	4
Crypt Fibroblasts 2	NEUROG3high	1
Crypt Fibroblasts 2	Neurons	2
Crypt Fibroblasts 2	Pericytes	2
Crypt Fibroblasts 2	Plasma	2
Crypt Fibroblasts 2	S Cells	2
Crypt Fibroblasts 2	TA1	3
Crypt Fibroblasts 2	TA2	3
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	6
Crypt Fibroblasts 3 RSPO3+	B Cells	8
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	3
Crypt Fibroblasts 3 RSPO3+	CD8	29
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	44
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	4
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	7
Crypt Fibroblasts 3 RSPO3+	D Cells	14
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	41
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	27
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	22
Crypt Fibroblasts 3 RSPO3+	Enterocytes	21
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	9
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn	9
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	9
Crypt Fibroblasts 3 RSPO3+	Epithelial	9
Crypt Fibroblasts 3 RSPO3+	Goblet	8
Crypt Fibroblasts 3 RSPO3+	I Cells	29
Crypt Fibroblasts 3 RSPO3+	ICC	10
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	31
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	9
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	19
Crypt Fibroblasts 3 RSPO3+	Mo Cells	22
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	32
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 1	31
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 2	21
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 3	11
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	18
Crypt Fibroblasts 3 RSPO3+	NEUROG3high	4
Crypt Fibroblasts 3 RSPO3+	Neurons	16
Crypt Fibroblasts 3 RSPO3+	Pericytes	17
Crypt Fibroblasts 3 RSPO3+	Plasma	14
Crypt Fibroblasts 3 RSPO3+	S Cells	13
Crypt Fibroblasts 3 RSPO3+	Secretory Specialized MUC6+	3
Crypt Fibroblasts 3 RSPO3+	Stem	3
Crypt Fibroblasts 3 RSPO3+	TA1	14
Crypt Fibroblasts 3 RSPO3+	TA2	25
Crypt Fibroblasts 3 RSPO3+	Villus Fibroblasts WNT5B+	36
CyclingTA 1	B Cells	4
CyclingTA 1	CD8	13
CyclingTA 1	Crypt Fibroblasts 1 WNT2B+	17
CyclingTA 1	Crypt Fibroblasts 3 RSPO3+	7
CyclingTA 1	D Cells	7
CyclingTA 1	Endothelial-CD36+ Microvascular	17
CyclingTA 1	Endothelial-Venules	11
CyclingTA 1	Enterochromaffin	11
CyclingTA 1	Enterocytes	7
CyclingTA 1	EnteroendocrineUn	3
CyclingTA 1	EnteroendocrineUn 1	5
CyclingTA 1	Epithelial	3
CyclingTA 1	Goblet	1
CyclingTA 1	I Cells	9
CyclingTA 1	ICC	1
CyclingTA 1	Immature Enterocytes	12
CyclingTA 1	Immature Goblet	6
CyclingTA 1	Lymphatic Endothelial Cells	5
CyclingTA 1	Mo Cells	12
CyclingTA 1	Mono_Macrophages	12
CyclingTA 1	Myofibroblasts/SM 1	9
CyclingTA 1	Myofibroblasts/SM 2	5
CyclingTA 1	Myofibroblasts/SM 3	3
CyclingTA 1	Myofibroblasts/SM DES High	5
CyclingTA 1	NEUROG3high	2
CyclingTA 1	Neurons	7
CyclingTA 1	Pericytes	8
CyclingTA 1	Plasma	4
CyclingTA 1	S Cells	4
CyclingTA 1	Secretory Specialized MUC6+	2
CyclingTA 1	Stem	1
CyclingTA 1	TA1	7
CyclingTA 1	TA2	10
CyclingTA 1	Villus Fibroblasts WNT5B+	15
D Cells	B Cells	10
D Cells	Best4+ Enterocytes	3
D Cells	CD8	26
D Cells	Crypt Fibroblasts 1 WNT2B+	39
D Cells	Crypt Fibroblasts 2	1
D Cells	Crypt Fibroblasts 3 RSPO3+	12
D Cells	CyclingTA 1	3
D Cells	Endothelial-CD36+ Microvascular	37
D Cells	Endothelial-Venules	24
D Cells	Enterochromaffin	32
D Cells	Enterocytes	20
D Cells	Enteroendocrine	6
D Cells	EnteroendocrineUn	8
D Cells	EnteroendocrineUn 1	23
D Cells	Epithelial	7
D Cells	Goblet	5
D Cells	I Cells	31
D Cells	ICC	5
D Cells	Immature Enterocytes	26
D Cells	Immature Goblet	13
D Cells	Lymphatic Endothelial Cells	7
D Cells	Mo Cells	29
D Cells	Mono_Macrophages	27
D Cells	Myofibroblasts/SM 1	23
D Cells	Myofibroblasts/SM 2	18
D Cells	Myofibroblasts/SM 3	9
D Cells	Myofibroblasts/SM DES High	11
D Cells	NEUROG3high	6
D Cells	Neurons	17
D Cells	Pericytes	18
D Cells	Plasma	15
D Cells	S Cells	8
D Cells	Secretory Specialized MUC6+	2
D Cells	Stem	1
D Cells	TA1	17
D Cells	TA2	16
D Cells	Villus Fibroblasts WNT5B+	30
Endothelial-CD36+ Microvascular	B Cells	24
Endothelial-CD36+ Microvascular	Best4+ Enterocytes	7
Endothelial-CD36+ Microvascular	CD4	1
Endothelial-CD36+ Microvascular	CD8	71
Endothelial-CD36+ Microvascular	Crypt Fibroblasts 1 WNT2B+	83
Endothelial-CD36+ Microvascular	Crypt Fibroblasts 2	4
Endothelial-CD36+ Microvascular	Crypt Fibroblasts 3 RSPO3+	32
Endothelial-CD36+ Microvascular	CyclingTA 1	9
Endothelial-CD36+ Microvascular	D Cells	26
Endothelial-CD36+ Microvascular	Endothelial-Venules	64
Endothelial-CD36+ Microvascular	Enterochromaffin	53
Endothelial-CD36+ Microvascular	Enterocytes	46
Endothelial-CD36+ Microvascular	Enteroendocrine	19
Endothelial-CD36+ Microvascular	EnteroendocrineUn	16
Endothelial-CD36+ Microvascular	EnteroendocrineUn 1	33
Endothelial-CD36+ Microvascular	Epithelial	21
Endothelial-CD36+ Microvascular	Goblet	14
Endothelial-CD36+ Microvascular	I Cells	58
Endothelial-CD36+ Microvascular	ICC	11
Endothelial-CD36+ Microvascular	Immature Enterocytes	63
Endothelial-CD36+ Microvascular	Immature Goblet	18
Endothelial-CD36+ Microvascular	Lymphatic Endothelial Cells	31
Endothelial-CD36+ Microvascular	Mo Cells	52
Endothelial-CD36+ Microvascular	Mono_Macrophages	76
Endothelial-CD36+ Microvascular	Myofibroblasts/SM 1	60
Endothelial-CD36+ Microvascular	Myofibroblasts/SM 2	34
Endothelial-CD36+ Microvascular	Myofibroblasts/SM 3	18
Endothelial-CD36+ Microvascular	Myofibroblasts/SM DES High	38
Endothelial-CD36+ Microvascular	NEUROG3high	12
Endothelial-CD36+ Microvascular	Neurons	25
Endothelial-CD36+ Microvascular	Pericytes	36
Endothelial-CD36+ Microvascular	Plasma	35
Endothelial-CD36+ Microvascular	S Cells	19
Endothelial-CD36+ Microvascular	Secretory Specialized MUC6+	5
Endothelial-CD36+ Microvascular	Stem	4
Endothelial-CD36+ Microvascular	TA1	32
Endothelial-CD36+ Microvascular	TA2	40
Endothelial-CD36+ Microvascular	Villus Fibroblasts WNT5B+	67
Endothelial-Venules	B Cells	20
Endothelial-Venules	Best4+ Enterocytes	6
Endothelial-Venules	CD8	61
Endothelial-Venules	Crypt Fibroblasts 1 WNT2B+	75
Endothelial-Venules	Crypt Fibroblasts 2	5
Endothelial-Venules	Crypt Fibroblasts 3 RSPO3+	29
Endothelial-Venules	CyclingTA 1	10
Endothelial-Venules	D Cells	26
Endothelial-Venules	Endothelial-CD36+ Microvascular	75
Endothelial-Venules	Enterochromaffin	48
Endothelial-Venules	Enterocytes	39
Endothelial-Venules	Enteroendocrine	17
Endothelial-Venules	EnteroendocrineUn	15
Endothelial-Venules	EnteroendocrineUn 1	30
Endothelial-Venules	Epithelial	24
Endothelial-Venules	Goblet	14
Endothelial-Venules	I Cells	51
Endothelial-Venules	ICC	10
Endothelial-Venules	Immature Enterocytes	53
Endothelial-Venules	Immature Goblet	21
Endothelial-Venules	Lymphatic Endothelial Cells	27
Endothelial-Venules	Mo Cells	44
Endothelial-Venules	Mono_Macrophages	64
Endothelial-Venules	Myofibroblasts/SM 1	48
Endothelial-Venules	Myofibroblasts/SM 2	33
Endothelial-Venules	Myofibroblasts/SM 3	17
Endothelial-Venules	Myofibroblasts/SM DES High	31
Endothelial-Venules	NEUROG3high	9
Endothelial-Venules	NK	1
Endothelial-Venules	Neurons	26
Endothelial-Venules	Pericytes	35
Endothelial-Venules	Plasma	32
Endothelial-Venules	S Cells	19
Endothelial-Venules	Secretory Specialized MUC6+	3
Endothelial-Venules	Stem	4
Endothelial-Venules	TA1	26
Endothelial-Venules	TA2	36
Endothelial-Venules	Villus Fibroblasts WNT5B+	59
Enterochromaffin	B Cells	18
Enterochromaffin	Best4+ Enterocytes	4
Enterochromaffin	CD8	53
Enterochromaffin	Crypt Fibroblasts 1 WNT2B+	70
Enterochromaffin	Crypt Fibroblasts 2	3
Enterochromaffin	Crypt Fibroblasts 3 RSPO3+	20
Enterochromaffin	CyclingTA 1	7
Enterochromaffin	D Cells	29
Enterochromaffin	Endothelial-CD36+ Microvascular	66
Enterochromaffin	Endothelial-Venules	42
Enterochromaffin	Enterocytes	37
Enterochromaffin	Enteroendocrine	14
Enterochromaffin	EnteroendocrineUn	15
Enterochromaffin	EnteroendocrineUn 1	27
Enterochromaffin	Epithelial	16
Enterochromaffin	Goblet	11
Enterochromaffin	I Cells	51
Enterochromaffin	ICC	9
Enterochromaffin	Immature Enterocytes	49
Enterochromaffin	Immature Goblet	20
Enterochromaffin	Lymphatic Endothelial Cells	22
Enterochromaffin	Mo Cells	44
Enterochromaffin	Mono_Macrophages	51
Enterochromaffin	Myofibroblasts/SM 1	47
Enterochromaffin	Myofibroblasts/SM 2	27
Enterochromaffin	Myofibroblasts/SM 3	15
Enterochromaffin	Myofibroblasts/SM DES High	28
Enterochromaffin	NEUROG3high	9
Enterochromaffin	Neurons	29
Enterochromaffin	Pericytes	28
Enterochromaffin	Plasma	26
Enterochromaffin	S Cells	14
Enterochromaffin	Secretory Specialized MUC6+	4
Enterochromaffin	Stem	5
Enterochromaffin	TA1	26
Enterochromaffin	TA2	34
Enterochromaffin	Villus Fibroblasts WNT5B+	53
Enterocytes	B Cells	16
Enterocytes	Best4+ Enterocytes	5
Enterocytes	CD8	48
Enterocytes	Crypt Fibroblasts 1 WNT2B+	56
Enterocytes	Crypt Fibroblasts 2	2
Enterocytes	Crypt Fibroblasts 3 RSPO3+	21
Enterocytes	CyclingTA 1	6
Enterocytes	D Cells	21
Enterocytes	Endothelial-CD36+ Microvascular	54
Enterocytes	Endothelial-Venules	41
Enterocytes	Enterochromaffin	38
Enterocytes	Enteroendocrine	12
Enterocytes	EnteroendocrineUn	12
Enterocytes	EnteroendocrineUn 1	21
Enterocytes	Epithelial	13
Enterocytes	Goblet	11
Enterocytes	I Cells	42
Enterocytes	ICC	10
Enterocytes	Immature Enterocytes	38
Enterocytes	Immature Goblet	13
Enterocytes	Lymphatic Endothelial Cells	20
Enterocytes	Mo Cells	33
Enterocytes	Mono_Macrophages	44
Enterocytes	Myofibroblasts/SM 1	43
Enterocytes	Myofibroblasts/SM 2	28
Enterocytes	Myofibroblasts/SM 3	9
Enterocytes	Myofibroblasts/SM DES High	27
Enterocytes	NEUROG3high	7
Enterocytes	Neurons	16
Enterocytes	Pericytes	25
Enterocytes	Plasma	24
Enterocytes	S Cells	13
Enterocytes	Secretory Specialized MUC6+	3
Enterocytes	Stem	3
Enterocytes	TA1	25
Enterocytes	TA2	30
Enterocytes	Villus Fibroblasts WNT5B+	44
Enteroendocrine	B Cells	2
Enteroendocrine	Best4+ Enterocytes	1
Enteroendocrine	CD8	8
Enteroendocrine	Crypt Fibroblasts 1 WNT2B+	14
Enteroendocrine	Crypt Fibroblasts 2	1
Enteroendocrine	Crypt Fibroblasts 3 RSPO3+	5
Enteroendocrine	CyclingTA 1	2
Enteroendocrine	D Cells	4
Enteroendocrine	Endothelial-CD36+ Microvascular	11
Enteroendocrine	Endothelial-Venules	7
Enteroendocrine	Enterochromaffin	8
Enteroendocrine	Enterocytes	7
Enteroendocrine	EnteroendocrineUn	3
Enteroendocrine	EnteroendocrineUn 1	4
Enteroendocrine	Epithelial	2
Enteroendocrine	Goblet	3
Enteroendocrine	I Cells	7
Enteroendocrine	ICC	3
Enteroendocrine	Immature Enterocytes	7
Enteroendocrine	Immature Goblet	2
Enteroendocrine	Lymphatic Endothelial Cells	4
Enteroendocrine	Mo Cells	6
Enteroendocrine	Mono_Macrophages	12
Enteroendocrine	Myofibroblasts/SM 1	6
Enteroendocrine	Myofibroblasts/SM 2	7
Enteroendocrine	Myofibroblasts/SM 3	3
Enteroendocrine	Myofibroblasts/SM DES High	4
Enteroendocrine	NEUROG3high	1
Enteroendocrine	Neurons	3
Enteroendocrine	Pericytes	7
Enteroendocrine	Plasma	5
Enteroendocrine	S Cells	3
Enteroendocrine	Secretory Specialized MUC6+	1
Enteroendocrine	Stem	1
Enteroendocrine	TA1	3
Enteroendocrine	TA2	4
Enteroendocrine	Villus Fibroblasts WNT5B+	11
EnteroendocrineUn	B Cells	4
EnteroendocrineUn	CD8	14
EnteroendocrineUn	Crypt Fibroblasts 1 WNT2B+	18
EnteroendocrineUn	Crypt Fibroblasts 3 RSPO3+	6
EnteroendocrineUn	CyclingTA 1	1
EnteroendocrineUn	D Cells	6
EnteroendocrineUn	Endothelial-CD36+ Microvascular	17
EnteroendocrineUn	Endothelial-Venules	12
EnteroendocrineUn	Enterochromaffin	8
EnteroendocrineUn	Enterocytes	8
EnteroendocrineUn	Enteroendocrine	2
EnteroendocrineUn	EnteroendocrineUn 1	4
EnteroendocrineUn	Epithelial	3
EnteroendocrineUn	Goblet	1
EnteroendocrineUn	I Cells	11
EnteroendocrineUn	ICC	2
EnteroendocrineUn	Immature Enterocytes	13
EnteroendocrineUn	Immature Goblet	7
EnteroendocrineUn	Lymphatic Endothelial Cells	5
EnteroendocrineUn	Mo Cells	9
EnteroendocrineUn	Mono_Macrophages	15
EnteroendocrineUn	Myofibroblasts/SM 1	9
EnteroendocrineUn	Myofibroblasts/SM 2	7
EnteroendocrineUn	Myofibroblasts/SM 3	1
EnteroendocrineUn	Myofibroblasts/SM DES High	4
EnteroendocrineUn	NEUROG3high	1
EnteroendocrineUn	NK	1
EnteroendocrineUn	Neurons	3
EnteroendocrineUn	Pericytes	4
EnteroendocrineUn	Plasma	4
EnteroendocrineUn	S Cells	2
EnteroendocrineUn	Secretory Specialized MUC6+	2
EnteroendocrineUn	Stem	3
EnteroendocrineUn	TA1	7
EnteroendocrineUn	TA2	10
EnteroendocrineUn	Villus Fibroblasts WNT5B+	15
EnteroendocrineUn 1	B Cells	8
EnteroendocrineUn 1	Best4+ Enterocytes	3
EnteroendocrineUn 1	CD8	20
EnteroendocrineUn 1	Crypt Fibroblasts 1 WNT2B+	30
EnteroendocrineUn 1	Crypt Fibroblasts 2	2
EnteroendocrineUn 1	Crypt Fibroblasts 3 RSPO3+	12
EnteroendocrineUn 1	CyclingTA 1	1
EnteroendocrineUn 1	D Cells	14
